prompt_2a31191ba2b1450d2f8f74960ee96d1a|they have free coffee.
prompt_6ac1a1ac0ec73336a881aa38cad7380a|it's two o'clock now.
sao horas e|0.0

prompt_024acf7dd560a0995f9b2f97d01fd70f|they bought new furniture.
eles compraram uma caminhada|0.0

prompt_573bb068d2735b291ccbe72fc9b70def|she searches for food.
ela esta a procura de comer o alimento|0.0

prompt_5b0f36ef18d2bec26d0450fbd49bdad6|i'm not busy this morning.
eu nao estou a gostar de me de todas as vezes|0.0

prompt_5afcbe2d11af0ba4bdb2bab0a55946d0|do birds like salt?
as aves estao a gostar de carros ?|0.0

prompt_53497c511b4bd4d37cfdd747af1fea76|i love my country.
eu estou a minha chapeu|0.0

prompt_0d51b28b415316ac2cb5fead7fbba69a|the girl eats pork.
a garota come porco|0.039270971154369165

prompt_d49bd23cafaf3d0a57a7013fb81c0fdd|i wake up and take a shower.
eu me levanto e me|0.0

prompt_280f3867ff423218749d4378823e0efc|everyone always asks me that.
todos os documentos para mim|0.0

prompt_3166388039caae61d9a210c69d0ead71|the police haven't come yet.
a policia nao veio ainda|0.0

prompt_3e6a59545fde4b977d97f0167be10aa5|they live here.
eles moram aqui|0.5399085171603089

prompt_3b83b5b7319760237da35d1c4dd7da1e|i usually get up late.
eu me dar dar dar comida|0.0

prompt_4611abd0e9433f431b82f8d8938361ee|the machine was repaired last week.
a estacao de tv de boi|0.0

prompt_26f91bb558aaf30b48f537dd075596c2|do you remember the name of the hotel?
voce se lembra do nome do hotel ?|0.0

prompt_16b71707c188f058704a5a456c733a00|i have an older brother and a little sister.
eu tenho um pequeno e um pequeno de leite|0.0

prompt_d01845cae34894dd2a9e98edf3c0ccc6|has marco ever had a job?
o marcos ja teve um trabalho ?|0.0

prompt_e20272ee80dbae845963a1d67ac1eed9|i was a baby.
eu estive um bebe|0.0

prompt_54c70a176684b164cc43485a3811c152|you can use this soap.
voce pode usar esse e possivel|0.0

prompt_03cf49152e801f1793eb399b3d9efcca|she doesn't look like her mom.
ela nao esta a se parecendo a sua mae|0.0

prompt_57e326ac074cbd1197fadb3d82377ec6|how is your family?
como esta sua familia ?|0.0

prompt_5c2af47a8670809496dce88fdb06760f|my cellphone is in my back pocket.
meu telemovel e meu dorso ?|0.0

prompt_97ecb435fdd52c9f3fd27c9e8db6ca8e|she doesn't want to go to the concert.
ela nao quer ir para o show|0.0

prompt_e817884a78a669192cb1dea0913915e9|is anyone using the washing machine?
alguem esta a usar a maquina de roupa ?|0.0

prompt_5ac5d2b30b28630ec8cd1df88682c4f2|classes are taught in english.
as aulas sao ensinadas em ingles|0.0

prompt_95bd08e50bfbd74a33a0f9ea35688d0f|i will look at the floor.
eu vou ver o chao|0.0

prompt_89be45a81ab4769a86c55249acb21533|the kids can go for a swim.
as criancas estao a ir pra dar uma coisa|0.0

prompt_f17915ddeca1c9384a94148313714014|we'll be playing against you guys next week.
nos vamos estar a jogar contra voces na semana que vem|0.0

prompt_1fc97e19f5cacba5fef0290dac59689e|her height, which is five feet, six inches.
a sua crianca e quatro polegadas|0.0

prompt_d8eff4b3056d8b3fe73c2ac541e7bf75|we need to reach that train.
nos precisamos de brinquedos para o trem|0.0

prompt_c114db843354fde78812b6cecae6aa68|they only danced with each other.
eles dancaram muito com o outro|0.0

prompt_b939e553b5e9b33c1588f97b5eae0ab5|i need to learn.
eu preciso de fazer o jantar|0.0

prompt_155b4ccb6942483d343443a8219afb75|the kids will practice the play after school.
as criancas vao estar tocando a brincar de faculdade|0.0

prompt_9c1fed5e3a8fa392e7ad6b5bcb0c4682|click here to download.
clique aqui para baixar ?|0.15501082030331773

prompt_a09f1c514a7516f9bb6a3d6ac8ff689f|maybe the directions were wrong.
talvez a localizacao incorreta|0.0

prompt_8838e6670b5e19f1b310a28c09e6a0f9|the people talk to the king.
o rei se preparou o rei|0.0

prompt_a4e0e0b9223e89b31d209b106c2c2bda|julia has already shown me around.
a sua vez pela manha|0.0

prompt_82d1d870cc116a301c7066ae900784ad|he will sleep in the same room as her.
ele vai estar a dormir a mesma o seu quarto|0.0

prompt_aff7811537401a3352b3a468a72b90cb|his brother is in prison.
o seu irmao esta em sua boca|0.0

prompt_4b77f03d30bf87b7f9b5f86c92e7fa9f|there are no bathrooms on the third floor.
nao tem classes no chao|0.0

prompt_54f423d0873efdce03b9276c29fef22e|the girl is too young for that.
a garota e muito por isso|0.0

prompt_880fdfeb6071fcf19dc1aada5077f0c0|they cannot start without us.
eles nao pode fazer a gente|0.0

prompt_dbae4c1d731a48625285660ca89d15fb|they announce your book.
eles estao a sua apresentacao|0.0

prompt_4926051bfc3c0ed71eace4f17ba0a9c1|should i add some pepper?
eu devo comprar um pouco de vez ?|0.0

prompt_745596d25a6c14727c75be0f0bde6689|i never used to see you when i was a girl.
eu nunca usei eu nao estava a eu fosse um eu mesmo|0.0

prompt_26689a1314c4a295d6d1e90f52280bb6|the pink car is not ours.
as criancas nao estao a comer|0.0

prompt_ac8b36868188d23e3e67ca7255fd73ab|i want to buy clothes.
eu quero comprar nenhuma de eu|0.0

prompt_86fb5e8351ed8ec4dd83d528dedf0d43|did you leave the boxes on the shelf?
voce entendeu de conferir os calcados na estante ?|0.0

prompt_a94a4847a467bc65b4b793bde455dc88|we were standing in the middle of the platform.
nos estavamos em casa do oceano|0.0

prompt_72c8f902c1f2e56087dafdf980b263bd|there will be an art show downstairs.
havia um concerto de brinquedos no quarto|0.0

prompt_983ce15f97bc40e181eda0e997ab0e78|take food and water.
tire o seu agua|0.0

prompt_dafd5e1ea22369a0a8beee9d8ce4a90d|what's your favorite band?
qual e a sua materia de dentes ?|0.0

prompt_5c589cf290f75985c87d2505aaad329d|are there any hospitals in this town?
ha algum passatempo no arquivo ?|0.0

prompt_53d5d71f235ff1de02135e979270874a|she wanted her sister's toy.
ela cortou a irma dela|0.0

prompt_aa728c5d4a9a5ec1d3f6b30c35f5b56d|my father is not as old as he looks.
o meu pai nao e tao famoso como se e bom como se e bom como se e bom como|0.0

prompt_001dbd157d83706b3cf32f34313ff3ab|you are driving really fast.
voce esta muito depressa ?|0.0

prompt_d84eea340212f83bd56509bede9074c4|breakfast will be ready in a few moments.
o cafe da tarde vai ser em alguns instantes|0.0

prompt_6c18b5c1dc38ec0d5ba17ae781afb0b2|can you look down?
voce pode olhar para cima ?|0.0

prompt_4a55afe7c2f4987dc82566f3f1fdfa9f|she is currently a model.
ela e um modelo de um agora|0.0

prompt_8460740b75cfb8d525d79cea4cdd3d43|my name is luis.
meu irmao e o assunto|0.0

prompt_974a9d71b523c049fa8fa4d0a1800e7b|they want to know what happens.
eles querem saber o que esta a respeito de manga|0.0

prompt_35179a54ea587953021400eb0cd23201|how are you?
como voce esta ?|0.0

prompt_9881be4b15dfc4042b0827f80a478ae1|most people in canada speak english or french.
a pessoa mais perigoso o o em o almoco em especie de meu dia ?|0.0

prompt_cc30f0f147352a600262f9ea44d3f92f|how much oil should i use?
quanto de utilizar o aparelho de usar ?|0.0

prompt_1eb0d1d72a0601b38449ffe23abaa050|i will get a basket for the apples.
eu vou receber um enfermeiro ao cesto|0.0

prompt_7f989034f076228282035ae8bcfba2bf|i wash my face every night.
eu estou a eu vou a minha pulseira na minha aula|0.0

prompt_e9854cce19de00e9fed0488199fc543e|can i see the blue dress?
eu posso ver o livro de bicicleta ?|0.0

prompt_7b2bdc04a65f74507c8056f00dbec3e0|they have put their pants on.
eles tem a calca na sua propria|0.0

prompt_7de7b0534f64bf55aeb0d1d03efc556e|never mind, it doesn't matter.
nao importa , nao esta fresco , nao e verdade|0.0

prompt_8061fe66ff6d4e8a02ca2c1f7fed02a3|our goal is to spend less.
o nosso proposito e de vender|0.0

prompt_a53b6ac4719373e5285274e8fe717b5b|he'll be leaving as soon as possible.
ele ira ser que eu vou ser que puder|0.0

prompt_02977d720618d9768e4913a642ef6f78|he needs a job.
ele precisa de um trabalho|0.28165177353676535

prompt_9081e3b518960408ab16e4ff54a5999d|do you want any ice cream?
voce quer comer ?|0.0

prompt_8be376443d82ecf64e67046c4de67d9f|my pencil doesn't have an eraser.
meu irmao nao tem uma camiseta de verdade|0.0

prompt_6b0feb025f0f7dc2d1467a96ac96287d|i'm going down the street to buy ice cream.
eu vou a me a vestir a me a vestir a ser que responder a ser que responder a ser|0.0

prompt_af0370bc2a4112effb3b0893aeca853b|we really wanted to go to australia.
nos precisamos de ir a sua casa|0.0

prompt_b9683d936ae8f1109bc5a3cc27486a1a|i made a few mistakes on the test.
fiz algumas mudancas no exame|0.0

prompt_a22c29b8b447d601d05664120aabb90d|we had known our mother.
nos tinhamos conhecido a sua mae|0.0

prompt_0bc7de41e3b4d5336053b39111a9da01|he's still very attractive.
ele esta muito muito atraente|0.0

prompt_1848cbb250623ee1617791af194f0dbb|i use a computer at work.
eu uso um computador para o trabalho|0.0

prompt_177842a3065d59ac3ebb57950492cebe|i don't know his first name.
eu nao sei o seu nome dele|0.0

prompt_94b7dbf913aabdb2fb9b0359d06d0000|he and his wife will be at the hotel tonight.
ele e a sua esposa na loja de o seu hotel|0.0

prompt_f9dfb0c249ec88b3b43483e4f66cadc6|would you like any chocolate ice cream?
voce gostaria de gostar de gostar de gelado em demasia ?|0.0

prompt_3e938597728c222d0fbb0a97f37cdf3d|i'm not fine.
eu nao estou a conseguir bem|0.0

prompt_133512ef50c722b8fd28b6ad59d30228|we lived in germany last year.
nos comecamos a europa no ano passado|0.0

prompt_3dade48f2d4266941f2c92d15eac9ac9|he speaks many languages.
ele esta a pensar ha idiomas|0.0

prompt_be9851b3555b7d9cd1107cbd46823686|don't throw the ball in the house!
nao jogue antonio da casa !|0.0

prompt_330f974445e4e51c8e6d3fab308787c0|the girl asks for water.
a garota esta a anotacao de bicicleta|0.0

prompt_8687368b5ebe6e1320aa0909c838806d|i showed them part of the museum.
eu me ouco a gente|0.0

prompt_f6edb9dc2842b6d5983743dd4c8f4cb3|he stayed at the museum for three hours.
ele esta a tocar no aviao por horas|0.0

prompt_af74cecbf9bca08705deedca07b85fe7|we're taking the subway to the zoo.
nos estamos a ir ao parque em o zoologico ?|0.0

prompt_e99ba4662d355a4251b72985b0364481|is that monica's phone?
aquela e a ideia do aparelho de ?|0.0

prompt_20d4825ab38b67ae08b84800d5da313a|do you need to go?
voce precisa de ir ?|0.0

prompt_a1eae88a2921d55169c158a37670cf2a|hit the ball with the racket.
acerte a bola com a cozinha|0.0

prompt_2142c37ff16a118183690cbfb494eaa6|john is too young to drink beer.
o jon e muito nova e de tomar pao para beber ?|0.0

prompt_9b149d27a6e6b5da94df405d91cd7834|the bus left at a quarter to nine.
a equipe do minimo para um quarto de ser para as nove|0.0

prompt_c72cadf80bfa1a78d729e1f28eec5602|we were not invited.
nos nao estavamos a nos nao foi convidada|0.0

prompt_03e4d06e18345fa674f2fe25cf1a6286|don't sit in the sun.
nao me sentar no sol|0.0

prompt_1a6ff2e15b9653b92cf7ad515550ed76|the note is on the yellow paper.
a mensagem e no cume do centro de banho|0.0

prompt_90cf3e8ce4e8d40b9c4a1caf209dbbad|the restaurant opening was great.
a embarcacao esta a um casarao|0.0

prompt_879d179da96d7f9371e4bf1b1531a26a|i love warm weather!
eu estou a adorar o tempo !|0.0

prompt_48f7f94ab7ea668cb121ac54ef640092|what's your weight in pounds?
qual e o seu e o filme ?|0.0

prompt_1e850df292aace826c85497acf1c32c0|i think we are lost!
eu acho que nos somos humanos !|0.0

prompt_5f01e1934d880cb0f4b7f1487eee58e7|i liked both kinds of chocolate.
eu cobri as especies de pais|0.0

prompt_04cb3f41f384f47e84635a13c3671722|i've had a cold for two days.
eu tomei uma loja de dois meses para dois dias|0.0

prompt_8c84a965d8287b03f6fcede3529ca578|i feel hungry.
eu me sinto muito em demasia !|0.0

prompt_123d6772f082e69d450e4d8158c028b3|my main food
minha cor de comida japonesa ?|0.0

