prompt_2a31191ba2b1450d2f8f74960ee96d1a|they have free coffee.
vamos faz todas as frutas do almoco ?|0.0

prompt_5a426e6d3915a97367e9d89388e05079|the skirts are too expensive.
os legumes sao dezesseis dolares|0.0

prompt_d198f33dd74a0b35a296c6bc17a06318|i remember when i started to cover this subject.
eu sei que eu lembraria para isso voces tipo de soul|0.0

prompt_5c7abb4f25fa9c6afd32f135433661fd|you can't take a train from here.
voce nao pode dirigir um carro de ingles ?|0.0

prompt_b14cb46d74157245070aa5af69f694a8|what i want is for them to talk, they are brothers.
o que eu estou fazendo eles perderao o jogo|0.0

prompt_a04163b0c003600d0542b76000366612|the mouse learned a lot of songs in spanish.
o rato tomou muito xampu na quinta feira|0.0

prompt_41c3328244285c8b4b464efc5b1fc504|normally, men are taller than women.
tudo certo , sao mais de janeiro ?|0.0

prompt_1b703782d859ceaa3ec63951488b4787|her pants are too small.
as flores sao cerca de andar|0.0

prompt_f3163c3550a77bbcb53f96efe769824a|he is going to ireland to visit his parents, isn't he?
ele vai comecar o apartamento , o apartamento , o apartamento , o apartamento , o apartamento ,|0.0

prompt_2f8f7ccfaa43ebd633b235aaf8f286a2|mary's neck hurts when she reads.
qual posto de lavar ela escolheu ?|0.0

prompt_270ddcdfe39573ca402acc9037703bc8|who walked with you to the museum?
quem fez meu dinheiro para o museu ?|0.0

prompt_85a2c65c3b056292271d39ca7504a6c1|her marriage is over.
o nome dela e sobre todo|0.0

prompt_3b55225166af9da92de1f9c6db549e1c|what part of africa are you from?
qual e gratis ?|0.0

prompt_5b5000c41e8c8c8383918a9eedb91c89|it is a new section.
e um almoco ?|0.0

prompt_aa9209e6199b646c310e8fc7554b340c|he assumes we are human.
ele come que isso ?|0.0

prompt_3881efb817e4ca6c8fd1c00ae844d5aa|those shoes are expensive.
aqueles sapatos sao caras|0.0

prompt_d152609c6085cbdb594be4159ad36231|there was a great lack of rice that year.
havia um gato tomou aquele museu isto|0.0

prompt_d14b6e6736090a73bbfad2ce4867d4e3|how much is the rent?
quanto e o lugar ?|0.0

prompt_784da2f4c440b3c694fe1e46296d501c|julia likes music.
com aquela viagem de manha ?|0.0

prompt_170dc554aa7a0ccd62536b4bc51aa8f9|the plane will be taking off as soon as possible.
o aviao sera para a policia|0.0

prompt_99507e4637281dc7eff0013e44b3b7a8|where is the concert?
onde e o custo depois das fotos ?|0.0

prompt_ead4d9834ffdb7646451006451ba9234|can you give me another example?
voce pode me responde rapido ?|0.0

prompt_e7672ea0e54d20962e52a6a042c0bf8d|the boss knew about the problems.
o chefe disse que o calice magico !|0.0

prompt_1fdcc4b1357baba608acc538b8a8cd14|my favorite jacket.
meu chapeu de menu|0.0

prompt_fb9f2f8918f9546ca32f36b837302482|i do not think so.
eu nao estou da mae|0.0

prompt_4d8793360b5f29161f003f19f8130d66|smoking is bad for you.
quantos sao rapidos ?|0.0

prompt_d6dd45078e3d44e7b7e19f8ce132ad58|we stopped dancing at 1 a.m.
nos tinhamos conhecido a casa|0.0

prompt_f51a71bed40b9c50e66e4616f28ca44d|are you making a sandwich now?
voce esta se mudando para pedir ?|0.0

prompt_7d7f19cfb33cdeca9d9f39eb2a3bf9fd|we can try.
nos podemos ouvir de volta ?|0.0

prompt_f40d329244979433cd4e1d78dd8fa3d0|he's looking down.
ele esta saindo ?|0.0

prompt_e6d35f24a880bdc3e47c0689834d8289|don't put the bananas in the fridge.
nao coloque o trem no dia ?|0.0

prompt_492b8f02dc627e4a556eb6b4c2e626f0|we do not use the scissors.
nos nao usamos a placa|0.0

prompt_02631fa6052a288ba6b4d73fb28e9324|tax is not included.
hoje nao e caro !|0.0

prompt_0eb454283237a948cb3c52d081ae6aeb|yesterday we did not drink wine.
amanha , nao come beber|0.0

prompt_30d1b6e771f689473c9f1eef2f640d29|the woman with long hair.
o carro sempre meu time|0.0

prompt_f01bf30d5e2ec175dfe47f3a2a8fa57f|i haven't found my bracelet yet.
eu nao falo fazer isso novamente|0.0

prompt_7d880bc5ad7b6314df16d45d2640815f|my uncle is a cook at a german restaurant.
meu tio e um grande demais de um restaurante de danca|0.0

prompt_aac462e5a17a18b9b65393f1e85bf8c7|why are they playing so badly?
por que eles estao com um com o jantar ?|0.0

prompt_dbd9824d22f84fdcc11b363190177def|which form should i fill out?
com cachorros se parece ?|0.0

prompt_448644617937849208aef8caea7ae369|where do you keep the jam?
onde voce guarda o livro ?|0.0

prompt_941e27d3b5af3e4ddc300f2854fdbf66|they study together every morning.
eles fazem negocios juntos|0.0

prompt_c473320a2eb15731bd40c68402633ffd|this afternoon or this evening?
este filme ou mais ?|0.0

prompt_05d5f319feb08f87bd64af1384967e56|they are not independent.
eles nao estao estudando hoje|0.0

prompt_437e17fe7bbcf48af144722c1f43c1d8|this is my sister's pet.
este e minha irma tao divertida !|0.0

prompt_5af70670169d6503c945d5c45cdc61cf|i usually read the news on the internet.
eu gostaria a loja no banheiro ?|0.0

prompt_c919fbc4fa0e35d46c9df3bc65657904|there is no subway in this city.
nao ha mais quente facil ?|0.0

prompt_38dcdf02d8ac7944063bffe9a8a1120e|do you want to study in the united kingdom?
voce quer dar sua capa de voar ?|0.0

prompt_810264873cff0f1352e2768ce38428df|what color are her eyes?
o que os homens tem ?|0.0

prompt_a226550b76a0399ca25b68463571d961|how much salt does he need?
quanto sal ele precisa ?|0.16048339679417264

prompt_c6cdcdc49c2e69595d553f4dae76b176|the green bowls are not theirs.
os estudantes vao nao e amanha|0.0

prompt_48b615026104e29128453303774d3d19|some of the boys play basketball.
algumas das arvores conhecimento|0.0

prompt_c8687100c3c27b8f24e87022188afbe1|do you like to play soccer?
voce gosta de jogar futebol ?|0.0

prompt_66a74afabf05dab4f820706215ba92c3|how many children does she have?
quantos quilometros dela e seu ?|0.0

prompt_0411955216a5f68dae43c03c27d1b2ce|i decided not to help you.
eu nao quero que voce ?|0.0

prompt_6365539e712d8c58e9bef0b263ac3106|do i need an operation?
eu preciso de um cafe vermelha ?|0.0

prompt_3070a0222fc2ed546a4652521fdf0e2a|did they have fun in morocco?
eles tem estudantes mes ?|0.0

prompt_3d39b6986c61fb55bc0803d8f43714fb|they are approximately the same age.
eles estao todos os semana !|0.0

prompt_32462be05e7b1bec9d92b328230bd130|we are good at that.
nos temos bons estudantes primeiro longo ?|0.0

prompt_18cf0cac7cb672a97086ee03d0aae671|i will not watch too much tv.
eu nao tenho medo do almoco|0.0

prompt_71beaef4c0a636f26a3638593062080c|i want to stop smoking.
eu quero comer junto !|0.0

prompt_fabcba89db7444abeb28fb0b1a0593fe|i respect them.
eu assisti onde eles ?|0.0

prompt_7aa2325a34c2ae872f97133630ea75a1|fred isn't eating anything.
shorts nao esta aberto daqui|0.0

prompt_0691747383062ad4d9cd9273714684c5|where is the supermarket?
onde e o mais do que a algum ?|0.0

prompt_54cb15967e08cab1e5ddc4a204dfc079|do they have another phone number?
eles tem que esperar com amanha ?|0.0

prompt_d456513b485eedede405761127ee6a81|the nurse came and put a cup of water on the table.
o equipamento minimo e um restaurante de agua|0.0

prompt_25356f22a9c28116af3a3c9508826499|guests should not use the pool after midnight.
ambos nao podem fechar a cama ?|0.0

prompt_b63bcea4dea441a0d69b5bec61d7bd5f|my doctor works at a big hospital.
minha crianca trabalha em uma cidade|0.0

prompt_2cf0be64f62461b63a24fc2eb8891d3f|i would be happy if they gave me a car.
eu olho la que eles me vestir um pouco de festa ?|0.0

prompt_fa72fdea4a0f7e2be5b28b262358c4e0|i really like fruit.
eu realmente gosto de feijao ?|0.0

prompt_0e9f7a5db7c85d01380d146ddb974698|he definitely likes her.
ele gosta da sua manha ?|0.0

prompt_606852e77ad8c43c2d02c12b6f7ce4fb|the model has long, blond hair.
o artista acabou , o rato quanto|0.0

prompt_997a11fa3fe6af9ba41c339632b4aab3|why does the bear hate tomatoes?
por que pensaria sobre todo dia ?|0.0

prompt_5ddd4fc0b1d7cf15304444da97748fbd|my jeans are too big.
minha aula estao grandes|0.0

prompt_412bcf2e855d5e3f65c2ef21102c77a4|the turtles opened a fast food restaurant.
as tartarugas trabalham em um restaurante de leite|0.0

prompt_bec7ce872d0008b15c1d071635acfca3|how many factories do they have?
quantos cantores de musica de ?|0.0

prompt_854eeff1a978e13a610cc17a9f56aa70|what do you eat?
o que voce voce ?|0.0

prompt_28433c0a2183777ce9525270590844b8|very happy.
cada meu cachorro|0.0

prompt_56bc4b6cee02d23be8a6cef33ee4c173|i received my diploma in 2005.
eu mudei meu dicionario em volta da manha|0.0

prompt_f9181232383101155364e3506dccda6a|many people thought that the new dance was bad.
pessoas parece se de tres anos|0.0

prompt_31f326fdd78097aa64be86f8edd186a3|she does not have a family.
ela nao tem um cachorro|0.0

prompt_9000c4e29f152588fbdc72a8f58d4ec1|they eat beef.
eles almocam de violao|0.0

prompt_6ac1a1ac0ec73336a881aa38cad7380a|it's two o'clock now.
sao duas horas|0.0

prompt_024acf7dd560a0995f9b2f97d01fd70f|they bought new furniture.
eles jogam beisebol dele ?|0.0

prompt_573bb068d2735b291ccbe72fc9b70def|she searches for food.
ela procura por um hamburguer|0.0

prompt_5b0f36ef18d2bec26d0450fbd49bdad6|i'm not busy this morning.
eu nao estou triste !|0.0

prompt_5afcbe2d11af0ba4bdb2bab0a55946d0|do birds like salt?
querido irmaos gostou daquela torrada ?|0.0

prompt_53497c511b4bd4d37cfdd747af1fea76|i love my country.
eu amo muitas costas dela !|0.0

prompt_0d51b28b415316ac2cb5fead7fbba69a|the girl eats pork.
o professor come carne !|0.0

prompt_d49bd23cafaf3d0a57a7013fb81c0fdd|i wake up and take a shower.
eu acordo as coisas|0.0

prompt_280f3867ff423218749d4378823e0efc|everyone always asks me that.
todo mundo esta de algo amanha ?|0.0

prompt_3166388039caae61d9a210c69d0ead71|the police haven't come yet.
a policia nao veio ainda ?|0.0

prompt_3e6a59545fde4b977d97f0167be10aa5|they live here.
eles estudam rapido ?|0.0

prompt_3b83b5b7319760237da35d1c4dd7da1e|i usually get up late.
eu normalmente sai|0.0

prompt_4611abd0e9433f431b82f8d8938361ee|the machine was repaired last week.
a praca estava leva promocao|0.0

prompt_26f91bb558aaf30b48f537dd075596c2|do you remember the name of the hotel?
voce o nome daquela caixa ?|0.0

prompt_16b71707c188f058704a5a456c733a00|i have an older brother and a little sister.
eu tenho uma pessoa este pe de pop de pop de pop de pop de pop de pop|0.0

prompt_d01845cae34894dd2a9e98edf3c0ccc6|has marco ever had a job?
aquele lencol sempre um sanduiche com o outro ?|0.0

prompt_e20272ee80dbae845963a1d67ac1eed9|i was a baby.
eu estava um bebe|0.0

prompt_54c70a176684b164cc43485a3811c152|you can use this soap.
voce pode cozinhar esta bem ?|0.0

prompt_03cf49152e801f1793eb399b3d9efcca|she doesn't look like her mom.
ela nao gosta deste escritorio dela|0.0

prompt_57e326ac074cbd1197fadb3d82377ec6|how is your family?
como esta como seu irmao ?|0.0

prompt_5c2af47a8670809496dce88fdb06760f|my cellphone is in my back pocket.
meu filho esta em minha mae de novo|0.0

prompt_97ecb435fdd52c9f3fd27c9e8db6ca8e|she doesn't want to go to the concert.
ela nao quer que sair ao meio dia !|0.0

prompt_e817884a78a669192cb1dea0913915e9|is anyone using the washing machine?
seu tenho que seu cabelo ?|0.0

prompt_5ac5d2b30b28630ec8cd1df88682c4f2|classes are taught in english.
ambos os homens correram para ingles|0.0

prompt_95bd08e50bfbd74a33a0f9ea35688d0f|i will look at the floor.
eu vou olhar o primeiro violao|0.0

prompt_89be45a81ab4769a86c55249acb21533|the kids can go for a swim.
com suas faculdade , como um peixe ?|0.0

prompt_f17915ddeca1c9384a94148313714014|we'll be playing against you guys next week.
nos faremos jogar com aquele tipo de semana|0.0

prompt_1fc97e19f5cacba5fef0290dac59689e|her height, which is five feet, six inches.
o que voce tiver e sobre dez de semana|0.0

prompt_d8eff4b3056d8b3fe73c2ac541e7bf75|we need to reach that train.
nos precisamos estacionar o livro !|0.0

prompt_c114db843354fde78812b6cecae6aa68|they only danced with each other.
eles so falando um restaurante|0.0

prompt_b939e553b5e9b33c1588f97b5eae0ab5|i need to learn.
eu preciso de pasta de cereal ?|0.0

prompt_155b4ccb6942483d343443a8219afb75|the kids will practice the play after school.
as criancas vao cobrir os cachorros|0.0

prompt_9c1fed5e3a8fa392e7ad6b5bcb0c4682|click here to download.
obrigado vem para cachorros|0.0

prompt_a09f1c514a7516f9bb6a3d6ac8ff689f|maybe the directions were wrong.
alberto tocou musica errado ?|0.0

prompt_8838e6670b5e19f1b310a28c09e6a0f9|the people talk to the king.
os estudantes encontrou os filhos dela|0.0

prompt_a4e0e0b9223e89b31d209b106c2c2bda|julia has already shown me around.
com quem voce me contou agora|0.0

prompt_82d1d870cc116a301c7066ae900784ad|he will sleep in the same room as her.
ele vai anotar o passaporte dela|0.0

prompt_aff7811537401a3352b3a468a72b90cb|his brother is in prison.
o prato dele tem o cafe da manha ?|0.0

prompt_4b77f03d30bf87b7f9b5f86c92e7fa9f|there are no bathrooms on the third floor.
nao ha salas de aula no telhado ?|0.0

prompt_54f423d0873efdce03b9276c29fef22e|the girl is too young for that.
a menina e divertido da viagem !|0.0

prompt_880fdfeb6071fcf19dc1aada5077f0c0|they cannot start without us.
eles nao terminamos a reuniao , entao ?|0.0

prompt_dbae4c1d731a48625285660ca89d15fb|they announce your book.
eles anunciam seu livro ?|0.42582019637906887

prompt_4926051bfc3c0ed71eace4f17ba0a9c1|should i add some pepper?
eu deveria trazer ingles ?|0.0

prompt_745596d25a6c14727c75be0f0bde6689|i never used to see you when i was a girl.
eu nunca costumamos ver eu estava com meu filho|0.0

prompt_26689a1314c4a295d6d1e90f52280bb6|the pink car is not ours.
os senadores estao nao e !|0.0

prompt_ac8b36868188d23e3e67ca7255fd73ab|i want to buy clothes.
eu quero comprar violao|0.0

prompt_86fb5e8351ed8ec4dd83d528dedf0d43|did you leave the boxes on the shelf?
voce leu o quarto na loja ?|0.0

prompt_a94a4847a467bc65b4b793bde455dc88|we were standing in the middle of the platform.
nos estavamos no primeiro longo da manha ?|0.0

prompt_72c8f902c1f2e56087dafdf980b263bd|there will be an art show downstairs.
ha um bom um vestido do que cinco de janeiro|0.0

prompt_983ce15f97bc40e181eda0e997ab0e78|take food and water.
minha comida e agua|0.0

prompt_dafd5e1ea22369a0a8beee9d8ce4a90d|what's your favorite band?
qual e sua materia de janeiro ?|0.0

prompt_5c589cf290f75985c87d2505aaad329d|are there any hospitals in this town?
ha direcoes para este carro ?|0.0

prompt_53d5d71f235ff1de02135e979270874a|she wanted her sister's toy.
ela perdeu o namorado dela e roubado !|0.0

prompt_aa728c5d4a9a5ec1d3f6b30c35f5b56d|my father is not as old as he looks.
meu pai nao e o caminho do aeroporto ?|0.0

prompt_001dbd157d83706b3cf32f34313ff3ab|you are driving really fast.
voce esta realmente andar|0.0

prompt_d84eea340212f83bd56509bede9074c4|breakfast will be ready in a few moments.
a esposa nao tem um restaurante na semana|0.0

prompt_6c18b5c1dc38ec0d5ba17ae781afb0b2|can you look down?
voce pode se juntar a nos ?|0.0

prompt_4a55afe7c2f4987dc82566f3f1fdfa9f|she is currently a model.
ela esta em um hospital|0.0

prompt_8460740b75cfb8d525d79cea4cdd3d43|my name is luis.
minha tia esta disponivel !|0.0

prompt_974a9d71b523c049fa8fa4d0a1800e7b|they want to know what happens.
eles querem saber qual manha ?|0.0

prompt_35179a54ea587953021400eb0cd23201|how are you?
como voce e ?|0.0

prompt_9881be4b15dfc4042b0827f80a478ae1|most people in canada speak english or french.
noventa sao em nosso idioma|0.0

prompt_cc30f0f147352a600262f9ea44d3f92f|how much oil should i use?
quanto dinheiro se eu usar se de ?|0.0

prompt_1eb0d1d72a0601b38449ffe23abaa050|i will get a basket for the apples.
eu pegarei a loja de verificar a festa no fim de semana !|0.0

prompt_7f989034f076228282035ae8bcfba2bf|i wash my face every night.
eu entrego minha direcao a noite toda noite|0.0

prompt_e9854cce19de00e9fed0488199fc543e|can i see the blue dress?
eu posso ver o vestido ?|0.0

prompt_7b2bdc04a65f74507c8056f00dbec3e0|they have put their pants on.
eles tem botas no dia deles|0.0

prompt_7de7b0534f64bf55aeb0d1d03efc556e|never mind, it doesn't matter.
deixa pra la , nao come ainda|0.0

prompt_8061fe66ff6d4e8a02ca2c1f7fed02a3|our goal is to spend less.
havia foto e se horas !|0.0

prompt_a53b6ac4719373e5285274e8fe717b5b|he'll be leaving as soon as possible.
ele sera fazer o melhor dela|0.0

prompt_02977d720618d9768e4913a642ef6f78|he needs a job.
ele precisa de um ao jantar|0.0

prompt_9081e3b518960408ab16e4ff54a5999d|do you want any ice cream?
voce quer encontrar um barulho ?|0.0

prompt_8be376443d82ecf64e67046c4de67d9f|my pencil doesn't have an eraser.
minha esposa estarao de tirar o dia dela !|0.0

prompt_6b0feb025f0f7dc2d1467a96ac96287d|i'm going down the street to buy ice cream.
eu vou visitar o hotel para minha bolsa de la|0.0

prompt_af0370bc2a4112effb3b0893aeca853b|we really wanted to go to australia.
nos nunca come para o jornal|0.0

prompt_b9683d936ae8f1109bc5a3cc27486a1a|i made a few mistakes on the test.
eu fiz algumas pessoas na secadora ?|0.0

prompt_a22c29b8b447d601d05664120aabb90d|we had known our mother.
nos tinhamos conhecido aquela rua !|0.0

prompt_0bc7de41e3b4d5336053b39111a9da01|he's still very attractive.
ele nunca fala com o amor|0.0

prompt_1848cbb250623ee1617791af194f0dbb|i use a computer at work.
eu uso um computador no parque ?|0.0

prompt_177842a3065d59ac3ebb57950492cebe|i don't know his first name.
eu nao sei o nome dele ?|0.0

prompt_94b7dbf913aabdb2fb9b0359d06d0000|he and his wife will be at the hotel tonight.
ele e a eletricidade nos estados unidos no sabado|0.0

prompt_f9dfb0c249ec88b3b43483e4f66cadc6|would you like any chocolate ice cream?
voce gostaria de trazer um video ?|0.0

prompt_3e938597728c222d0fbb0a97f37cdf3d|i'm not fine.
eu nao vou bem|0.0

prompt_133512ef50c722b8fd28b6ad59d30228|we lived in germany last year.
nos apresentamos a sua viagem ?|0.0

prompt_3dade48f2d4266941f2c92d15eac9ac9|he speaks many languages.
ele fala la por si de manha|0.0

prompt_be9851b3555b7d9cd1107cbd46823686|don't throw the ball in the house!
nao jogue o caminho a casa ?|0.0

prompt_330f974445e4e51c8e6d3fab308787c0|the girl asks for water.
o professor esta aberto em mim|0.0

prompt_8687368b5ebe6e1320aa0909c838806d|i showed them part of the museum.
eu pensei que os pratos do pe dele|0.0

prompt_f6edb9dc2842b6d5983743dd4c8f4cb3|he stayed at the museum for three hours.
ele vai no aviao na geladeira|0.0

prompt_af74cecbf9bca08705deedca07b85fe7|we're taking the subway to the zoo.
nos estamos indo a porta do que a cama ?|0.0

prompt_e99ba4662d355a4251b72985b0364481|is that monica's phone?
o que esta frio esta dela ?|0.0

prompt_20d4825ab38b67ae08b84800d5da313a|do you need to go?
voce precisa para a alemanha ?|0.0

prompt_a1eae88a2921d55169c158a37670cf2a|hit the ball with the racket.
o que o caminho para o seu marido ?|0.0

prompt_2142c37ff16a118183690cbfb494eaa6|john is too young to drink beer.
esta de john foi sobre a noite , entao , a noite , entao , a noite ,|0.0

prompt_9b149d27a6e6b5da94df405d91cd7834|the bus left at a quarter to nine.
a programacao do trem acabou de um clube a biblioteca ?|0.0

prompt_c72cadf80bfa1a78d729e1f28eec5602|we were not invited.
nos nao precisamos de volta|0.0

prompt_03e4d06e18345fa674f2fe25cf1a6286|don't sit in the sun.
nao envie o trabalho para a italia ?|0.0

prompt_1a6ff2e15b9653b92cf7ad515550ed76|the note is on the yellow paper.
a estacao de trem no fim de janeiro|0.0

prompt_90cf3e8ce4e8d40b9c4a1caf209dbbad|the restaurant opening was great.
o colar estava grande era|0.0

prompt_879d179da96d7f9371e4bf1b1531a26a|i love warm weather!
eu amo minha aula !|0.0

prompt_48f7f94ab7ea668cb121ac54ef640092|what's your weight in pounds?
qual e o livro em caro demais ?|0.0

prompt_1e850df292aace826c85497acf1c32c0|i think we are lost!
eu acho que voces estao daquela noite !|0.0

prompt_5f01e1934d880cb0f4b7f1487eee58e7|i liked both kinds of chocolate.
eu gostei de casas licoes de hip hop|0.0

prompt_04cb3f41f384f47e84635a13c3671722|i've had a cold for two days.
eu ja era um pouco por dois anos|0.0

prompt_8c84a965d8287b03f6fcede3529ca578|i feel hungry.
eu curto bolo|0.0

prompt_123d6772f082e69d450e4d8158c028b3|my main food
minha esposa foi dois de manha|0.0

prompt_88a68c22837250f9c804eb06982be565|i cleaned the kitchen three hours ago, and it's dirty again!
eu treinei coloco as perguntas dela e da semana , e da semana , e da semana ,|0.0

prompt_307906e8b5aeb0a0c505e0a50dc6f6c6|have you seen my camera?
voce viu meu futuro livro ?|0.0

prompt_4615483660575faf203ed4a5e2ae44bc|i left japan on december ninth.
eu pratico canto em dezembro|0.0

