they have free coffee.|Eles têm café grátis.
the dog ate my burger!|O cão comeu o meu hambúrguer!
why did you stay at that job?|Por que ficou naquele trabalho?
tom has lost every match since then.|Tom perdeu todos os jogos desde então.
he became the president in 2010.|ele se tornou presidente em 2010.
do they have jobs?|eles têm empregos?
the vegetables from the supermarket are not very fresh.|os vegetais do supermercado não são muito frescos.
i am getting my diploma next week.|Vou receber meu diploma semana que vem.
we might win this game.|Podemos ganhar este jogo.
let's make omelets for breakfast.|Vamos fazer omeletes para o café da manhã.
the skirts are too expensive.|As saias são muito caras.
i remember when i started to cover this subject.|Lembro-me de quando comecei a cobrir este assunto.
you can't take a train from here.|Você não pode pegar um trem daqui.
what i want is for them to talk, they are brothers.|O que eu quero é que eles falem, eles são irmãos.
the mouse learned a lot of songs in spanish.|o rato aprendeu muitas canções em espanhol.
normally, men are taller than women.|Normalmente, os homens são mais altos do que as mulheres.
her pants are too small.|As calças dela são muito pequenas.
he is going to ireland to visit his parents, isn't he?|Ele está indo para a Irlanda visitar seus pais, não é?
mary's neck hurts when she reads.|O pescoço da Mary dói quando ela lê.
who walked with you to the museum?|Quem te acompanhou até ao museu?
her marriage is over.|O casamento dela acabou.
what part of africa are you from?|De que parte da África você é?
we have turned to the teacher.|nos voltamos para o professor.
it is a new section.|é uma nova seção.
he assumes we are human.|Ele assume que somos humanos.
those shoes are expensive.|Esses sapatos são caros.
there was a great lack of rice that year.|houve uma grande falta de arroz naquele ano.
how much is the rent?|Quanto é o aluguel?
julia likes music.|Julia gosta de música.
the plane will be taking off as soon as possible.|o avião estará decolando o mais rápido possível.
where is the concert?|Onde está o concerto?
can you give me another example?|Pode me dar outro exemplo?
the boss knew about the problems.|o chefe sabia sobre os problemas.
my favorite jacket.|Meu casaco favorito.
i do not think so.|Acho que não.
smoking is bad for you.|Fumar é ruim para você.
we stopped dancing at 1 a.m.|Paramos de dançar à 1 da manhã.
are you making a sandwich now?|Você está fazendo um sanduíche agora?
we can try.|Podemos tentar.
he's looking down.|Está olhando para baixo.
don't put the bananas in the fridge.|Não coloque as bananas na geladeira.
we do not use the scissors.|nós não usamos a tesoura.
tax is not included.|imposto não está incluído.
yesterday we did not drink wine.|ontem não bebemos vinho.
the woman with long hair.|a mulher de cabelo comprido.
i haven't found my bracelet yet.|Ainda não encontrei a minha pulseira.
my uncle is a cook at a german restaurant.|Meu tio é cozinheiro em um restaurante alemão.
why are they playing so badly?|Por que eles estão jogando tão mal?
which form should i fill out?|qual formulário devo preencher?
where do you keep the jam?|Onde você guarda a geléia?
they study together every morning.|estudam juntos todas as manhãs.
this afternoon or this evening?|esta tarde ou esta noite?
they are not independent.|eles não são independentes.
he's thinner than his brother.|Ele é mais magro que o irmão.
this is my sister's pet.|Este é o animal de estimação da minha irmã.
i usually read the news on the internet.|Normalmente leio as notícias na internet.
there is no subway in this city.|Não há metrô nesta cidade.
do you want to study in the united kingdom?|Você quer estudar no Reino Unido?
the salesperson gave us a discount.|o vendedor nos deu um desconto.
what color are her eyes?|De que cor são os olhos dela?
how much salt does he need?|Quanto sal ele precisa?
the green bowls are not theirs.|As tigelas verdes não são deles.
some of the boys play basketball.|Alguns rapazes jogam basquete.
do you like to play soccer?|Você gosta de jogar futebol?
how many children does she have?|Quantos filhos ela tem?
i decided not to help you.|Decidi não te ajudar.
do i need an operation?|preciso de uma operação?
did they have fun in morocco?|Eles se divertiram em Marrocos?
they are approximately the same age.|eles têm aproximadamente a mesma idade.
we are good at that.|Somos bons nisso.
i will not watch too much tv.|Eu não vou assistir muita TV.
i want to stop smoking.|Quero parar de fumar.
i respect them.|Eu os respeito.
fred isn't eating anything.|Fred não está comendo nada.
where is the supermarket?|Onde é o supermercado?
do they have another phone number?|Eles têm outro número de telefone?
my sister has perfect vision.|Minha irmã tem uma visão perfeita.
the nurse came and put a cup of water on the table.|a enfermeira veio e colocou um copo de água na mesa.
guests should not use the pool after midnight.|Os hóspedes não devem utilizar a piscina após a meia-noite.
the ceiling light was not working.|a luz do teto não estava funcionando.
my doctor works at a big hospital.|Meu médico trabalha em um hospital grande.
i would be happy if they gave me a car.|Ficaria feliz se me dessem um carro.
i really like fruit.|Eu realmente gosto de frutas.
he definitely likes her.|Ele definitivamente gosta dela.
the model has long, blond hair.|o modelo tem cabelos longos e loiros.
when did he become the president?|Quando ele se tornou presidente?
why does the bear hate tomatoes?|Por que o urso odeia tomates?
my jeans are too big.|Meus jeans são muito grandes.
the turtles opened a fast food restaurant.|as tartarugas abriram um restaurante de fast food.
how many factories do they have?|Quantas fábricas eles têm?
what do you eat?|O que você come?
very happy.|Muito feliz.
i received my diploma in 2005.|Eu recebi meu diploma em 2005.
i think we should buy four gallons of water.|Acho que devíamos comprar 4 galões de água.
my granddaughter ate too much ice cream.|Minha neta comeu muito sorvete.
many people thought that the new dance was bad.|Muitas pessoas pensavam que a nova dança era ruim.
she does not have a family.|Ela não tem família.
they eat beef.|Eles comem carne.
it's two o'clock now.|São duas horas agora.
they bought new furniture.|eles compraram móveis novos.
she searches for food.|Ela procura comida.
i'm not busy this morning.|Não estou ocupado esta manhã.
do birds like salt?|Pássaros gostam de sal?
i love my country.|Eu amo meu país.
the girl eats pork.|A garota come carne de porco.
i wake up and take a shower.|Eu acordo e tomo um banho.
everyone always asks me that.|Todos sempre me perguntam isso.
the police haven't come yet.|A polícia ainda não chegou.
they live here.|Eles vivem aqui.
the department has a great budget.|o departamento tem um grande orçamento.
i usually get up late.|Normalmente levantei-me tarde.
the machine was repaired last week.|a máquina foi reparada na semana passada.
do you remember the name of the hotel?|Lembra-se do nome do hotel?
i have an older brother and a little sister.|Tenho um irmão mais velho e uma irmã mais nova.
has marco ever had a job?|Marco já teve um emprego?
elizabeth prefers the round plates.|Elizabeth prefere as placas redondas.
i was a baby.|Eu era um bebê.
you can use this soap.|você pode usar este sabão.
she doesn't look like her mom.|Ela não se parece com a mãe.
he sings like elvis.|Ele canta como o Elvis.
how is your family?|Como está sua família?
wine has a strong effect on me.|vinho tem um forte efeito sobre mim.
the population pays taxes for services.|a população paga impostos por serviços.
my cellphone is in my back pocket.|Meu celular está no bolso de trás.
she doesn't want to go to the concert.|Ela não quer ir ao concerto.
is anyone using the washing machine?|Alguém está usando a máquina de lavar?
i remember seeing her last year.|Lembro-me de vê-la no ano passado.
the sheep were upset when they lost the competition.|As ovelhas ficaram chateadas quando perderam a competição.
classes are taught in english.|aulas são ensinadas em inglês.
i will look at the floor.|Vou olhar para o chão.
the kids can go for a swim.|As crianças podem ir nadar.
we'll be playing against you guys next week.|Vamos jogar contra vocês na próxima semana.
monica is going to sing at 8 p.m.|Monica vai cantar às 20h.
her height, which is five feet, six inches.|sua altura, que é de cinco pés, seis polegadas.
we need to reach that train.|Precisamos chegar ao trem.
they only danced with each other.|Eles só dançavam uns com os outros.
i need to learn.|Preciso aprender.
look at the signs above the platforms.|olhar para os sinais acima das plataformas.
the kids will practice the play after school.|As crianças vão praticar a peça depois da escola.
click here to download.|clique aqui para fazer o download.
after their adventures in argentina, they flew home.|depois de suas aventuras na Argentina, eles voaram para casa.
maybe the directions were wrong.|Talvez as direções estivessem erradas.
the people talk to the king.|o povo fala com o rei.
julia has already shown me around.|Julia já me mostrou o lugar.
the drugs had a positive effect.|as drogas tiveram um efeito positivo.
he threw the ball to another player.|ele jogou a bola para outro jogador.
he will sleep in the same room as her.|Ele vai dormir no mesmo quarto que ela.
his brother is in prison.|O irmão dele está na prisão.
there are no bathrooms on the third floor.|não há casas de banho no terceiro andar.
i like chinese food in general.|Eu gosto de comida chinesa em geral.
everything was perfect except the flowers.|Tudo estava perfeito, exceto as flores.
the girl is too young for that.|A garota é muito nova para isso.
they cannot start without us.|Eles não podem começar sem nós.
they announce your book.|Eles anunciam seu livro.
should i add some pepper?|Devo adicionar um pouco de pimenta?
i never used to see you when i was a girl.|Nunca te via quando era miúda.
the pink car is not ours.|O carro rosa não é nosso.
i want to buy clothes.|Quero comprar roupas.
did you leave the boxes on the shelf?|Deixou as caixas na prateleira?
we were standing in the middle of the platform.|estávamos no meio da plataforma.
he likes expensive cameras.|Ele gosta de câmeras caras.
there will be an art show downstairs.|Haverá uma exposição de arte lá em baixo.
she always wears the latest fashions.|Ela sempre usa as últimas modas.
take food and water.|levar comida e água.
what's your favorite band?|Qual é a sua banda favorita?
are there any hospitals in this town?|Há algum hospital nesta cidade?
she wanted her sister's toy.|Ela queria o brinquedo da irmã.
my father is not as old as he looks.|Meu pai não é tão velho quanto parece.
you are driving really fast.|Você está dirigindo muito rápido.
breakfast will be ready in a few moments.|café da manhã estará pronto em alguns instantes.
can you look down?|Pode olhar para baixo?
she is currently a model.|ela é atualmente uma modelo.
my name is luis.|Meu nome é Luis.
they want to know what happens.|Eles querem saber o que acontece.
this was the signal to stop.|Este era o sinal para parar.
how are you?|Como você está?
most people in canada speak english or french.|a maioria das pessoas no Canadá fala inglês ou francês.
how much oil should i use?|quanto óleo devo usar?
what's the coldest month of the year?|Qual é o mês mais frio do ano?
i will get a basket for the apples.|Vou pegar uma cesta para as maçãs.
i wash my face every night.|Eu lavo meu rosto todas as noites.
can i see the blue dress?|Posso ver o vestido azul?
they have put their pants on.|eles colocaram suas calças.
never mind, it doesn't matter.|Não importa, não importa.
our goal is to spend less.|nosso objetivo é gastar menos.
the ties come in a variety of colors.|os laços vêm em uma variedade de cores.
did you find out about the flights?|Você descobriu sobre os vôos?
he'll be leaving as soon as possible.|Ele vai partir o mais rápido possível.
he needs a job.|Ele precisa de um emprego.
do you want any ice cream?|Você quer sorvete?
my pencil doesn't have an eraser.|Meu lápis não tem borracha.
i'm going down the street to buy ice cream.|Vou descer a rua comprar sorvete.
we really wanted to go to australia.|Nós realmente queríamos ir para a Austrália.
i made a few mistakes on the test.|Cometi alguns erros no teste.
there is a bedroom upstairs, isn't there?|Há um quarto lá em cima, não há?
we had known our mother.|conhecíamos a nossa mãe.
he's still very attractive.|Ele ainda é muito atraente.
i use a computer at work.|Eu uso um computador no trabalho.
i don't know his first name.|Não sei o primeiro nome dele.
you'll be an adult soon.|Você será um adulto em breve.
he and his wife will be at the hotel tonight.|Ele e a esposa estarão no hotel esta noite.
i study chinese culture.|Eu estudo cultura chinesa.
would you like any chocolate ice cream?|Gostaria de sorvete de chocolate?
i'm not fine.|Não estou bem.
she's been an engineer for seventeen years.|Ela é engenheira há 17 anos.
we lived in germany last year.|vivíamos na Alemanha no ano passado.
he speaks many languages.|Ele fala muitas línguas.
don't throw the ball in the house!|Não jogue a bola na casa!
the girl asks for water.|a garota pede água.
i showed them part of the museum.|Mostrei-lhes parte do museu.
he stayed at the museum for three hours.|Ele ficou no museu por três horas.
he hates his job.|Ele odeia o trabalho dele.
we're taking the subway to the zoo.|Vamos de metrô para o zoológico.
is that monica's phone?|É o telefone da Monica?
do you need to go?|Você precisa ir?
hit the ball with the racket.|bater a bola com a raquete.
john is too young to drink beer.|John é muito novo para beber cerveja.
the bus left at a quarter to nine.|o ônibus saiu às quinze para as nove.
they'll be praying at the mosque at noon.|Vão rezar na mesquita ao meio-dia.
we were not invited.|Não fomos convidados.
the ship is in the port now.|O navio está no porto agora.
don't sit in the sun.|Não se sente ao sol.
the note is on the yellow paper.|a nota está no papel amarelo.
we're taking three tests today.|Vamos fazer três testes hoje.
the restaurant opening was great.|a abertura do restaurante foi ótimo.
how do we respond to these letters?|como respondemos a estas cartas?
the prize was given to the cows.|o prêmio foi dado às vacas.
i love warm weather!|Adoro o clima quente!
what's your weight in pounds?|Qual é o seu peso em libras?
i think we are lost!|Acho que estamos perdidos!
i liked both kinds of chocolate.|Gostei dos dois tipos de chocolate.
i've had a cold for two days.|Estou resfriado há dois dias.
i feel hungry.|Estou com fome.
my main food|minha comida principal
i will not watch this channel.|Eu não vou assistir este canal.
i cleaned the kitchen three hours ago, and it's dirty again!|Limpei a cozinha há três horas, e está sujo de novo!
he was the strongest man in the competition.|Ele era o homem mais forte da competição.
i need a reservation.|Preciso de uma reserva.
have you seen my camera?|Viste a minha câmara?
i left japan on december ninth.|Deixei o Japão em 9 de dezembro.
they are both short.|Ambos são curtos.
who wrote your favorite book?|Quem escreveu seu livro favorito?
swim towards us!|Nade em nossa direção!
why did you become a dancer?|Por que você se tornou um dançarino?
i forgot my username.|Esqueci meu nome de usuário.
the black horse wanted to run faster.|o cavalo negro queria correr mais rápido.
how to read slowly.|como ler devagar.
when will sarah get back?|Quando Sarah vai voltar?
who swam the fastest?|Quem nadou mais rápido?
which class is the most difficult?|qual classe é a mais difícil?
the refrigerator is next to the wall.|a geladeira está ao lado da parede.
i suppose these leather pants belong to someone else.|Suponho que estas calças de couro pertencem a outra pessoa.
he never checks his email.|Ele nunca verifica seu e-mail.
the meeting was so boring!|A reunião foi tão chata!
the government needs to listen to the people.|o governo precisa ouvir o povo.
it's eight o'clock.|São oito horas.
do you remember?|Você se lembra?
what kind of vegetables would you like?|Que tipo de vegetais você gostaria?
i speak english and portuguese.|Eu falo inglês e português.
it wasn't possible then.|Não era possível então.
i am creating my character's profile.|Estou criando o perfil do meu personagem.
they want to invite us to the party.|Eles querem nos convidar para a festa.
do you have a razor?|Você tem uma navalha?
the bathroom is really small.|o banheiro é muito pequeno.
brown is not my favorite color.|marrom não é a minha cor favorita.
room number two zero four.|Quarto número dois zero quatro.
he lets me drink his wine.|Ele me deixa beber o vinho dele.
it is for my novel.|É para o meu romance.
they import wood from brazil.|eles importam madeira do Brasil.
i didn't study enough.|Não estudei o suficiente.
the more questions you ask, the more you will learn.|Quanto mais perguntas você fizer, mais você aprenderá.
it is the first time the train has stopped there in four years.|É a primeira vez que o trem pára lá em quatro anos.
i have to accept her offer.|Tenho que aceitar a oferta dela.
they'll watch the game with us.|eles vão assistir o jogo com a gente.
i will give you a pen.|Vou te dar uma caneta.
my bed is so soft.|Minha cama é tão macia.
we did not want to tell you.|nós não queríamos lhe contar.
do you teach spanish or portuguese?|Você ensina espanhol ou português?
can i borrow some money from you?|Pode me emprestar algum dinheiro?
i'll lend you a pair of wool socks.|Eu te empresto um par de meias de lã.
do you think that they are unhappy?|Você acha que eles são infelizes?
she works at a small school.|Ela trabalha numa escola pequena.
she was surprised to see a clown.|Ela ficou surpresa ao ver um palhaço.
it's time to get dressed for school.|É hora de se vestir para a escola.
my daughter lost one of her shoes in the train station.|Minha filha perdeu um de seus sapatos na estação de trem.
my sister can swim very well.|Minha irmã sabe nadar muito bem.
whose are the shoes?|De quem são os sapatos?
i ate two pieces of fried chicken.|Comi dois pedaços de frango frito.
i don't know if that's right.|Não sei se está certo.
the cake was baked for forty minutes.|o bolo foi cozido por quarenta minutos.
some of the pieces are missing.|algumas das peças estão faltando.
did the nurse give you the medicine?|A enfermeira te deu o remédio?
they can create a car.|eles podem criar um carro.
i hope that's right.|Espero que esteja certo.
please find out where he is.|Por favor, descubra onde ele está.
they live in a small city.|eles vivem em uma cidade pequena.
my art teacher was really good.|O meu professor de arte era muito bom.
pigs have four legs.|Os porcos têm quatro pernas.
what i am saying is true.|O que estou dizendo é verdade.
what the newspaper says does not affect me.|O que o jornal diz não me afeta.
he never drinks water.|Ele nunca bebe água.
paulo felt sick all day.|Paulo ficou doente o dia todo.
it is very cold this morning.|Está muito frio esta manhã.
do you enjoy listening to music?|Você gosta de ouvir música?
the inside of the house is red.|o interior da casa é vermelho.
can i see that shirt?|Posso ver essa camisa?
can i hold the baby?|Posso segurar o bebê?
they're going to have lunch after the meeting.|Eles vão almoçar depois da reunião.
there's no hospital in the village.|Não há hospital na aldeia.
at what time did he leave?|A que horas ele saiu?
the monkey paid a lot of money for the drums.|O macaco pagou muito dinheiro pelos tambores.
they can prepare a good sandwich.|eles podem preparar um bom sanduíche.
they have danced together twice before.|eles já dançaram juntos duas vezes antes.
do you know how to drive?|Você sabe dirigir?
this is my type of character.|Este é o meu tipo de personagem.
they will be selling food in the square as usual.|eles estarão vendendo comida na praça, como de costume.
a group of friends.|um grupo de amigos.
i always buy coffee at that café.|Eu sempre compro café naquele café.
i got married on june twenty first.|Eu me casei no dia 20 de junho.
what's wrong here?|O que há de errado aqui?
do you speak english every day?|Você fala inglês todos os dias?
he's going to work for a different company.|Ele vai trabalhar para uma empresa diferente.
he wants to meet her.|Ele quer conhecê-la.
we will come at night.|Viremos à noite.
i lost the guidebook, so i bought a new one.|Perdi o guia, então comprei um novo.
have you ever had a million dollars?|Você já teve um milhão de dólares?
where is the meeting?|Onde é a reunião?
she said that i was crazy.|Ela disse que eu era louco.
he wants to ask us a big favor.|Ele quer nos pedir um grande favor.
that doesn't belong to you.|que não pertence a você.
i'm sixteen years old.|Tenho 16 anos.
what do you need?|O que você precisa?
how many countries are there?|Quantos países existem?
i want to read other books, but i cannot.|Quero ler outros livros, mas não posso.
their furniture looks old.|A mobília parece velha.
owls can see very far.|corujas podem ver muito longe.
she explained her culture to me.|Ela me explicou sua cultura.
it is very important in chinese philosophy.|é muito importante na filosofia chinesa.
did you finish the puzzle?|Você terminou o quebra-cabeça?
oh no, one of the wheels is missing!|Oh não, uma das rodas está faltando!
we finished the task.|Terminamos a tarefa.
you can take the form and fill it out later.|você pode pegar o formulário e preenchê-lo mais tarde.
that's the price without tax.|esse é o preço sem impostos.
she would be happy with him.|Ela ficaria feliz com ele.
take this medicine twice daily.|tome este medicamento duas vezes ao dia.
i would not want that for my children.|Eu não iria querer isso para os meus filhos.
a famous museum.|um museu famoso.
he has no information about victims or damage.|ele não tem informações sobre vítimas ou danos.
they chat online every night.|eles conversam online todas as noites.
the museum is close to the train station.|o museu fica perto da estação ferroviária.
please don't smoke.|Por favor, não fume.
i've never used this software before.|Eu nunca usei este software antes.
i had tried everything.|Eu tinha tentado de tudo.
the subway goes towards the airport.|o metrô vai em direção ao aeroporto.
the pink blanket belongs to my daughter.|O cobertor rosa pertence à minha filha.
his aim is to buy that property.|seu objetivo é comprar essa propriedade.
did she give you the receipt?|Ela te deu o recibo?
do you like having wine with dinner?|Você gosta de beber vinho no jantar?
no, my friends do not write from spain.|Não, meus amigos não escrevem da Espanha.
i try to see my girlfriend.|Tento ver a minha namorada.
i enjoy good conversation.|Eu gosto de uma boa conversa.
does anna like dancing?|Anna gosta de dançar?
how old are these stairs?|Quantos anos têm estas escadas?
he wants to study portuguese this month.|ele quer estudar português este mês.
what is she wearing?|O que ela está vestindo?
what is the tallest building in new york?|Qual é o prédio mais alto de Nova York?
you should get a new toothbrush.|Devias comprar uma escova de dentes nova.
i'm not taking any science classes.|Não vou ter aulas de ciências.
her hair is very long.|O cabelo dela é muito comprido.
i like the local food.|Gosto da comida local.
zero, one, two, three.|zero, um, dois, três.
this plant is growing fast.|esta planta está crescendo rápido.
i pay the rent on the first of the month.|Eu pago o aluguel no primeiro dia do mês.
do you want an apple?|Você quer uma maçã?
which class is easier?|qual classe é mais fácil?
she sets the table.|Ela põe a mesa.
germany is definitely different from brazil.|Alemanha é definitivamente diferente do Brasil.
don't climb on those rocks.|Não suba naquelas rochas.
the closet on the left is hers.|O armário à esquerda é dela.
the restrooms are at the end of the hall.|Os banheiros são no final do corredor.
go to their website and create an account.|acessar seu site e criar uma conta.
the plane took off on time.|o avião decolou a tempo.
the teacher talked to them after class.|o professor falou com eles depois da aula.
there is a string in my pasta.|Há uma corda no meu macarrão.
do you want to go to the uk with me?|Você quer ir para o Reino Unido comigo?
this is the same jacket, but in a different color.|esta é a mesma jaqueta, mas em uma cor diferente.
i do not buy fruit in the supermarkets.|Eu não compro frutas nos supermercados.
i will change the end of the book.|Vou mudar o fim do livro.
our teacher didn't prepare us for the test.|Nosso professor não nos preparou para o teste.
who sat next to the monkey on the plane?|Quem sentou ao lado do macaco no avião?
let's go sightseeing downtown on saturday.|Vamos passear no centro no sábado.
the new movie is funnier.|O novo filme é mais engraçado.
my english homework.|Meu dever de casa de inglês.
it's a little noisy.|É um pouco barulhento.
what's the matter with your finger?|Qual é o problema com seu dedo?
the bedroom ceiling looked unusual.|o teto do quarto parecia incomum.
the site is special.|o site é especial.
they want to count the number of flights to china.|eles querem contar o número de voos para a China.
do you want your mother to lose her job?|Quer que sua mãe perca o emprego?
i can't find the entrance!|Não consigo encontrar a entrada!
next, take a left at the corner.|Em seguida, vire à esquerda na esquina.
the elephants were wearing skates when they fell.|Os elefantes estavam usando patins quando caíram.
there's a coffee shop across from the library.|Há um café em frente à biblioteca.
he uses a computer every day.|Ele usa um computador todos os dias.
we had a wonderful time.|Nos divertimos muito.
i could ask for everything that i wanted.|Eu poderia pedir tudo o que eu quisesse.
unfortunately, she has a terrible headache.|Infelizmente, ela tem uma terrível dor de cabeça.
we wash dishes at a restaurant.|lavamos pratos em um restaurante.
do you have thirty dollars?|Você tem trinta dólares?
their house is old.|A casa deles é velha.
we enjoyed working together.|Gostamos de trabalhar juntos.
the information is on their website.|a informação está em seu site.
walk to the middle of the block.|caminhe até o meio do bloco.
the cabinet on the right is empty.|o armário à direita está vazio.
the singer hasn't recorded an album since the accident.|O cantor não gravou um álbum desde o acidente.
did you lose your cellphone?|Perdeu seu celular?
i have never won a competition.|Nunca ganhei uma competição.
what size is this swimsuit?|Que tamanho é este maiô?
why do we have to learn so much vocabulary?|Por que temos que aprender tanto vocabulário?
what level of english are you studying?|Que nível de inglês você está estudando?
where's the exit?|Cadê a saída?
could you get the documents from the printer?|Pode pegar os documentos da impressora?
where's the closest hotel?|Onde fica o hotel mais próximo?
will these curtains look good in the living room?|Essas cortinas ficarão bem na sala de estar?
fred cannot play the guitar.|Fred não pode tocar guitarra.
is your father here?|Seu pai está aqui?
the boy had come from school.|o rapaz tinha vindo da escola.
they crossed the river carefully.|Eles cruzaram o rio com cuidado.
i stayed with my grandparents until the end of the semester.|Fiquei com meus avós até o final do semestre.
the soldiers walk with the students.|Os soldados andam com os alunos.
i am good, thank you.|Estou bem, obrigado.
how are you doing, mr. turner?|Como está, Sr. Turner?
in general, the staff is bilingual.|em geral, a equipe é bilíngüe.
everybody needs water.|Todo mundo precisa de água.
this homework is very easy.|Este dever de casa é muito fácil.
you will like the tomatoes from the garden.|você vai gostar dos tomates do jardim.
at what age do children start paying?|em que idade as crianças começam a pagar?
i hope your wish will come true.|Espero que seu desejo se torne realidade.
i've done this lesson already.|Já fiz esta lição.
that bear eats quite a lot of sweets.|que o urso come um monte de doces.
when you decide, let me know.|Quando decidir, me avise.
they had decided to stay.|eles decidiram ficar.
she cut her finger while she was making dinner.|Ela cortou o dedo enquanto fazia o jantar.
what kind of juice would you like?|Que tipo de suco você gostaria?
