they have free coffee.|possuem café gratuito.
the skirts are too expensive.|as saias estão onerosas demais.
i remember when i started to cover this subject.|estou a me recordar de quando eu comecei a cobrir esse tema.
you can't take a train from here.|você não é capaz de apanhar um comboio desse lugar.
what i want is for them to talk, they are brothers.|quero pra eles é que se falem, são irmãos.
the mouse learned a lot of songs in spanish.|o camundongo aprendeu um monte de canções em espanhol.
normally, men are taller than women.|homens geralmente são maiores do que as mulheres.
her pants are too small.|as suas calças estão pequenas demais.
he is going to ireland to visit his parents, isn't he?|ele está indo pra irlanda para visitar os seus pais, não é mesmo?
mary's neck hurts when she reads.|o pescoço de mary dói quando lê.
who walked with you to the museum?|quem foi que andava contigo até ao museu?
her marriage is over.|o matrimônio dela terminou.
what part of africa are you from?|de qual parte de áfrica estás a vir?
we have turned to the teacher.|nós nos viramos ao professor.
it is a new section.|isso é um novo setor.
he assumes we are human.|ele pensa que sejamos seres humanos.
those shoes are expensive.|aqueles calçados são onerosos.
there was a great lack of rice that year.|existiu uma grande escassez de arroz aquele ano.
how much is the rent?|quanto a locação custa?
julia likes music.|a júlia está a curtir música.
the plane will be taking off as soon as possible.|a aeronave vai estar a descolar tão logo seja possível.
where is the concert?|onde fica a apresentação?
can you give me another example?|seriam capaz de dar pra mim outro exemplo?
the boss knew about the problems.|o chefe soube as dificuldades.
my favorite jacket.|o meu casaco predileto.
i do not think so.|penso que não.
smoking is bad for you.|o fumo faz mal para ti.
we stopped dancing at 1 a.m.|cessamos de bailar à 1h.
are you making a sandwich now?|tu estás a fazer uma sandes neste momento?
we can try.|a gente é capaz de experimentar.
he's looking down.|ele olha o piso.
don't put the bananas in the fridge.|não botem as bananas na geladeira.
we do not use the scissors.|a gente não está a usar a tesoura.
tax is not included.|não estão incluídas as taxas.
yesterday we did not drink wine.|ontem a gente não tomou vinho.
the woman with long hair.|a moça de longos cabelos.
i haven't found my bracelet yet.|não encontrei a minha pulseira ainda.
my uncle is a cook at a german restaurant.|o meu tio é chef em um restaurante da alemanha.
why are they playing so badly?|porque é que elas estão jogando bem mal?
which form should i fill out?|qual ficha devo preencher?
where do you keep the jam?|em que lugar você conserva a geleia?
they study together every morning.|elas estudam em conjunto toda manhã.
this afternoon or this evening?|nesta tarde ou essa noite?
they are not independent.|elas não estão soberanas.
he's thinner than his brother.|ele está mais esbelto que o irmão.
this is my sister's pet.|esse animal de companhia é de minha irmã.
i usually read the news on the internet.|costumo ler notícias na internet.
there is no subway in this city.|neste município não tem metropolitano.
do you want to study in the united kingdom?|você está desejando estudar no reino unido?
the salesperson gave us a discount.|a vendedora ofereceu pra nós desconto.
what color are her eyes?|de qual cor são os seus olhos?
how much salt does he need?|quanto sal ele necessita?
the green bowls are not theirs.|as tigelas esverdeadas não pertencem a eles.
some of the boys play basketball.|alguns guris estão a jogar basquetebol.
do you like to play soccer?|estás curtindo jogar bola?
how many children does she have?|quantas crianças é que ela possui?
i decided not to help you.|eu decidi que não ajudarei vocês.
do i need an operation?|eu estou a precisar de fazer uma operação?
did they have fun in morocco?|elas entretiveram-se em marrocos?
they are approximately the same age.|elas estão aproximadamente na mesma idade.
we are good at that.|a gente é bom naquilo.
i will not watch too much tv.|não irei ver muito tevê.
i want to stop smoking.|estou desejando parar com o fumo.
i respect them.|respeito-as.
fred isn't eating anything.|frederico não está a comer coisa alguma.
where is the supermarket?|em que lugar que o supermercado se situa?
do they have another phone number?|têm mais um número?
my sister has perfect vision.|minha irmã possui a visão perfeita.
the nurse came and put a cup of water on the table.|o enfermeiro chegou e botou um copo d'água sobre a mesa.
guests should not use the pool after midnight.|as convidados não devem usar a piscina depois da meia-noite.
the ceiling light was not working.|a luz de teto não estava a funcionar.
my doctor works at a big hospital.|minha médica está laborando num grande hospital.
i would be happy if they gave me a car.|estaria feliz se dessem-me um carro.
i really like fruit.|eu gosto de verdade de frutas.
he definitely likes her.|ele gosta dela, decididamente.
the model has long, blond hair.|a modelo está com o cabelo comprido e loiro.
when did he become the president?|ele virou o presidente quando?
why does the bear hate tomatoes?|porque é que a ursa está a detestar tomates?
my jeans are too big.|a minha calça jeans é demasiado grande.
the turtles opened a fast food restaurant.|as tartarugas abriram um restaurante de comida pronta.
how many factories do they have?|quantas usinas têm elas?
what do you eat?|vocês estão a comer o quê?
very happy.|bastante animados.
i received my diploma in 2005.|obtive o meu diploma em 2005.
i think we should buy four gallons of water.|eu penso que nós deveríamos comprar 4 galões d'água.
my granddaughter ate too much ice cream.|a minha neta consumiu sorvete demais.
many people thought that the new dance was bad.|muitos acharam que a coreografia nova era ruim.
she does not have a family.|ela não possui parente nenhum.
they eat beef.|elas estão comendo carne vermelha.
it's two o'clock now.|agora são 2 em ponto.
they bought new furniture.|eles compravam nova mobília.
she searches for food.|ela busca alimentos.
i'm not busy this morning.|eu não estou atarefada esta manhã.
do birds like salt?|pássaros estão gostando de sal?
i love my country.|adoro meu país.
the girl eats pork.|a miúda come carne suína.
i wake up and take a shower.|levanto e tomo uma ducha.
everyone always asks me that.|todas me pedem sempre aquilo.
the police haven't come yet.|os policiais não apareceram ainda.
they live here.|eles estão vivendo aqui.
the department has a great budget.|o setor possui uma verba ótima.
i usually get up late.|comumente eu me levanto tarde.
the machine was repaired last week.|o aparelho foi consertado na última semana.
do you remember the name of the hotel?|tu te recordas do do nome do hotel?
i have an older brother and a little sister.|eu possuo um irmão maior e uma irmã mais nova.
has marco ever had a job?|o marco alguma vez teve algum emprego?
elizabeth prefers the round plates.|beth prefere os pratos arredondados.
i was a baby.|eu costumava ser um bebê.
you can use this soap.|pode utilizar este sabão.
she doesn't look like her mom.|ela não parece com a mamãe dela.
he sings like elvis.|ele está cantando como elvis.
how is your family?|como a sua família é?
wine has a strong effect on me.|o vinho causa forte impacto sobre mim.
the population pays taxes for services.|o povo paga tributos pra serviços públicos.
my cellphone is in my back pocket.|o meu telemóvel está dentro do meu bolso de trás.
she doesn't want to go to the concert.|ela não almeja ir à apresentação musical.
is anyone using the washing machine?|alguma pessoa está usando a lavadora?
i remember seeing her last year.|me lembro de ter visto ela no ano que passou.
the sheep were upset when they lost the competition.|as carneiros estavam chateados quando perderam a competição.
classes are taught in english.|turmas são lecionadas no idioma inglês.
i will look at the floor.|olharei o piso.
the kids can go for a swim.|os miúdos são capazes de ir nadar.
we'll be playing against you guys next week.|vamos estar a jogar contra vocês semana que vem.
monica is going to sing at 8 p.m.|monica irá cantar às 8 horas.
her height, which is five feet, six inches.|a altura dela, o que é cinco pés e 6 polegadas.
we need to reach that train.|devemos chegar naquele comboio.
they only danced with each other.|eles dançaram só uns com os outros.
i need to learn.|preciso de aprender.
look at the signs above the platforms.|veja os avisos acima das plataformas.
the kids will practice the play after school.|as crianças ensaiarão a peça depois do colégio.
click here to download.|pressione nesse lugar para fazer o download.
after their adventures in argentina, they flew home.|posterior a suas peripécias na argentina, elas voaram até em casa.
maybe the directions were wrong.|possivelmente a direção estiveram erradas.
the people talk to the king.|o pessoal fala com o rei.
julia has already shown me around.|julia já mostrou-me os arredores.
the drugs had a positive effect.|os remédios tinham um efeito bom.
he threw the ball to another player.|ele atirou a bola para outra jogadora.
he will sleep in the same room as her.|ele irá dormir no mesmo cômodo com ela.
his brother is in prison.|o seu irmão está detido.
there are no bathrooms on the third floor.|não existem banheiros no 3o andar.
i like chinese food in general.|eu gosto no geral da comida chinesa.
everything was perfect except the flowers.|foi tudo óptimo, com exceção das flores.
the girl is too young for that.|a moça é muito jovem para aquilo.
they cannot start without us.|elas não são capazes de iniciar sem a gente.
they announce your book.|elas estão anunciando teu livro.
should i add some pepper?|eu deveria pôr mais pimenta?
i never used to see you when i was a girl.|nunca costumava vê-la quando eu era menina.
the pink car is not ours.|o veículo róseo não é o nosso.
i want to buy clothes.|eu desejo comprar trajes.
did you leave the boxes on the shelf?|tu esqueceste os caixotes na estante?
we were standing in the middle of the platform.|nós estávamos em pé no centro da plataforma.
he likes expensive cameras.|ele curte câmaras dispendiosas.
there will be an art show downstairs.|terá um espectáculo de arte lá embaixo.
she always wears the latest fashions.|ela está trajando sempre a moda mais recente.
take food and water.|apanhe alimentos e água.
what's your favorite band?|qual é o teu grupo de músicos predileto?
are there any hospitals in this town?|tem hospitais neste povoado?
she wanted her sister's toy.|ela queria o brinquedo de irmã.
my father is not as old as he looks.|meu pai não é tão idoso quanto ele parece ser.
you are driving really fast.|tu estás conduzindo bastante veloz.
breakfast will be ready in a few moments.|o pequeno almoço ficará pronto em poucos instantes.
can you look down?|vocês podem olhar pra baixo?
she is currently a model.|no momento, ela é um modelo.
my name is luis.|sou o luiz.
they want to know what happens.|elas querem saber o que está acontecendo.
this was the signal to stop.|isso era o sinal de parada.
how are you?|como é que você vai?
most people in canada speak english or french.|a maior parte das pessoas no canadá conversam em inglês ou francês.
how much oil should i use?|qual quantidade de óleo deveria usar?
what's the coldest month of the year?|qual é o mês no ano mais gelado?
i will get a basket for the apples.|eu irei apanhar uma cesta para as maçãs.
i wash my face every night.|eu limpo a minha face toda noite.
can i see the blue dress?|eu sou capaz de observar o vestido azul?
they have put their pants on.|elas puseram as calças.
never mind, it doesn't matter.|não faz mal, isso não tem importância.
our goal is to spend less.|o nosso propósito é de gastar menos.
the ties come in a variety of colors.|as gravatas vêm em várias nuances.
did you find out about the flights?|te informavas em relação aos voos?
he'll be leaving as soon as possible.|ele vai embora o mais breve possível.
he needs a job.|ele tem necessidade dum trabalho.
do you want any ice cream?|vocês estão desejando sorvete?
my pencil doesn't have an eraser.|o meu lápis não possui uma borracha.
i'm going down the street to buy ice cream.|eu sigo rua abaixo para comprar gelado.
we really wanted to go to australia.|nós queríamos de verdade ir pra austrália.
i made a few mistakes on the test.|eu fazia uns enganos na avaliação.
there is a bedroom upstairs, isn't there?|tem um quarto lá em cima, não é mesmo?
we had known our mother.|conhecêramos a nossa mãe.
he's still very attractive.|ele segue sendo bastante atraente.
i use a computer at work.|uso um computador no emprego.
i don't know his first name.|não conheço o primeiro nome dele.
you'll be an adult soon.|vais ficar logo um adulto.
he and his wife will be at the hotel tonight.|ele e a sua esposa estarão no hotel hoje de noite.
i study chinese culture.|eu estou estudando cultura chinesa.
would you like any chocolate ice cream?|gostariam de um pouco de gelado de chocolate?
i'm not fine.|não vou bem.
she's been an engineer for seventeen years.|ela é uma engenheira faz 17 anos.
we lived in germany last year.|nós residimos na alemanha no último ano.
he speaks many languages.|ele está a falar em diversos idiomas.
don't throw the ball in the house!|não lances a bola dentro de casa!
the girl asks for water.|a guria pede água.
i showed them part of the museum.|eu expus parte do museu a eles.
he stayed at the museum for three hours.|ele permaneceu por 3 horas no museu.
he hates his job.|ele está a detestar o seu serviço.
we're taking the subway to the zoo.|nós tomamos o metropolitano para o jardim zoológico.
is that monica's phone?|aquele aparelho telefônico é o de mônica?
do you need to go?|está a necessitar sair?
hit the ball with the racket.|atinjam a bola com a raquete.
john is too young to drink beer.|o john está muito novo pra beber cerveja.
the bus left at a quarter to nine.|o ônibus partiu a um quarto para as 9h00.
they'll be praying at the mosque at noon.|estarão no templo muçulmano a rezar ao meio-dia.
we were not invited.|não estávamosmos convidados.
the ship is in the port now.|a embarcação está agora no porto.
don't sit in the sun.|não sente-se sob sol.
the note is on the yellow paper.|o escrito fica sobre o papel amarelo.
we're taking three tests today.|nós iremos fazer hoje 3 testes.
the restaurant opening was great.|a inauguração do restaurante foi boa.
how do we respond to these letters?|de que forma reagimos estas cartas?
the prize was given to the cows.|o prêmio era concedido pras vacas.
i love warm weather!|amo clima cálido!
what's your weight in pounds?|qual o vosso peso em libras?
i think we are lost!|eu acredito que estejamos perdidos!
i liked both kinds of chocolate.|gostava das 2 variedades de chocolates.
i've had a cold for two days.|tive um resfriado por 2 dias.
i feel hungry.|sinto-me faminto.
my main food|o meu prato principal
i will not watch this channel.|não irei ver este canal.
i cleaned the kitchen three hours ago, and it's dirty again!|lavei a cozinha três horas atrás, e está suja mais uma vez!
he was the strongest man in the competition.|ele era o homem mais forte do concurso.
i need a reservation.|eu tenho necessidade de fazer uma reserva.
have you seen my camera?|viste a minha máquina de fotografia?
i left japan on december ninth.|parti do japão em nove de dezembro.
they are both short.|elas são igualmente pequenas.
who wrote your favorite book?|quem compôs o vosso livro preferido?
swim towards us!|nadem até a gente.
why did you become a dancer?|porque tornaste-te um bailarino?
i forgot my username.|me esqueci do meu nome do usuário.
the black horse wanted to run faster.|o cavalo preto tinha vontade de cavalgar mais depressa.
how to read slowly.|de que maneira ler gradualmente.
when will sarah get back?|quando é que a sara vai regressar?
who swam the fastest?|quem nadava como o mais rápido de todos?
which class is the most difficult?|que classe é a mais complicada?
the refrigerator is next to the wall.|o frigorífico é perto da parede.
i suppose these leather pants belong to someone else.|acho que essas calças de couro pertençam a outra pessoa.
he never checks his email.|ele nunca está a verificar o seu e-mail.
the meeting was so boring!|o encontro estava tão tedioso!
the government needs to listen to the people.|o governo tem de escutar o povo.
it's eight o'clock.|são 08:00 em ponto.
do you remember?|tu te recordas?
what kind of vegetables would you like?|de quais tipos de vegetais vocês gostariam?
i speak english and portuguese.|estou falando inglês e em português.
it wasn't possible then.|naquela época isto não foi possível.
i am creating my character's profile.|eu crio o perfil da minha personagem.
they want to invite us to the party.|elas estão querendo chamar-nos pra festa.
do you have a razor?|você possui lâmina?
the bathroom is really small.|o quarto de banho é pequeno mesmo.
brown is not my favorite color.|castanho não é minha coloração favorita.
room number two zero four.|o aposento número dois zero quatro.
he lets me drink his wine.|ele deixa-me beber do vinho dele.
it is for my novel.|isso é pro meu livro.
they import wood from brazil.|elas estão importando lenha do brasil.
i didn't study enough.|eu não estudava o suficiente.
the more questions you ask, the more you will learn.|quanto mais perguntas tu perguntares, mais irás aprender.
it is the first time the train has stopped there in four years.|é a primeira vez em que o comboio parou ali em quatro anos.
i have to accept her offer.|tenho que aceitar sua oferta.
they'll watch the game with us.|eles irão assistir com a gente a partida.
i will give you a pen.|eu vou dar uma caneta a ti.
my bed is so soft.|a minha cama está bem macia.
we did not want to tell you.|nós não quisemos dizer para vocês.
do you teach spanish or portuguese?|você está leccionando espanhol ou português?
can i borrow some money from you?|posso pegar emprestado um dinheiro de você?
i'll lend you a pair of wool socks.|emprestarei pra você um par de meias de lã.
do you think that they are unhappy?|consideras eles infelizes?
she works at a small school.|ela está a trabalhar em uma escolinha.
she was surprised to see a clown.|ela esteve admirada quando viu uma palhaça.
it's time to get dressed for school.|esta na hora de arrumar-se para o colégio.
my daughter lost one of her shoes in the train station.|a minha filha perdeu um dos seus calçados na estação de trem.
my sister can swim very well.|minha irmã pode nadar bastante bem.
whose are the shoes?|quem que é a dona dos sapatos?
i ate two pieces of fried chicken.|eu comi 2 fatias de carne de galinha frita.
i don't know if that's right.|não sei se é isso aí.
the cake was baked for forty minutes.|o bolo foi ao forno durante quarenta minutos.
some of the pieces are missing.|estão desaparecidas algumas das peças.
did the nurse give you the medicine?|o enfermeiro entregou para ti o medicamento?
they can create a car.|elas podem inventar um carro.
i hope that's right.|tenho esperança que isso seja correto.
please find out where he is.|por gentileza encontre onde é que está ele.
they live in a small city.|eles habitam em uma cidade pequena.
my art teacher was really good.|a minha professora de arte estava bem mesmo.
pigs have four legs.|as porcas possuem quatro pernas.
what i am saying is true.|o que falo é verdade.
what the newspaper says does not affect me.|o que o jornal publica não afeta-me.
he never drinks water.|ele jamais está bebendo água.
paulo felt sick all day.|o paulo se sentiu mal todo o dia.
it is very cold this morning.|faz bem gelado hoje de manhã.
do you enjoy listening to music?|vocês estão a apreciar escutar música?
the inside of the house is red.|a parte interior da casa é vermelha.
can i see that shirt?|eu sou capaz de olhar aquela blusa?
can i hold the baby?|eu posso segurar a criança de colo?
they're going to have lunch after the meeting.|elas irão almoçar depois do encontro.
there's no hospital in the village.|não há hospital algum na aldeia.
at what time did he leave?|a que horas é que ele saiu?
the monkey paid a lot of money for the drums.|a macaca pagava muito dinheiro pela bateria.
they can prepare a good sandwich.|elas podem preparar uma boa sanduíche.
they have danced together twice before.|eles bailaram juntos antes 2 vezes.
do you know how to drive?|sabes como conduzir?
this is my type of character.|essa é o meu tipo de personagem.
they will be selling food in the square as usual.|eles vão estar vendendo comida na praça como de rotina.
a group of friends.|uma equipe de parceiros.
i always buy coffee at that café.|eu estou adquirindo café nessa cafeteria sempre.
i got married on june twenty first.|casei-me em vinte e um de junho.
what's wrong here?|o que cá está incorreto?
do you speak english every day?|vocês estão falando em inglês cada dia?
he's going to work for a different company.|ele laborará para uma companhia diferente.
he wants to meet her.|ele está desejando se encontrar com ela.
we will come at night.|iremos vir de noite.
i lost the guidebook, so i bought a new one.|eu perdia o guia turístico, logo comprava um novo.
have you ever had a million dollars?|vocês alguma vez tiveram um milhão de dólares?
where is the meeting?|em que lugar é a reunião?
she said that i was crazy.|ela disse que eu era pirado.
he wants to ask us a big favor.|ele deseja pedir um favor grande pra nós.
that doesn't belong to you.|isso não pertence a ti.
i'm sixteen years old.|estou com 16 anos.
what do you need?|tu estás a precisar de quê?
how many countries are there?|existem quantos territórios nesse lugar?
i want to read other books, but i cannot.|quero ler outros livros, porém não consigo.
their furniture looks old.|o seu mobiliário parece velho.
owls can see very far.|corujas têm uma vista ótima.
she explained her culture to me.|ela explicava-me sua cultura.
it is very important in chinese philosophy.|isso é bem importante em filosofia chinesa.
did you finish the puzzle?|tu completavas o quebra-cabeça?
oh no, one of the wheels is missing!|ah não, uma das rodas sumiu!
we finished the task.|nós cumprimos com a atividade.
you can take the form and fill it out later.|tu podes pegar a ficha e preenchê-la depois.
that's the price without tax.|este valor é sem taxa.
she would be happy with him.|ela ia estar feliz com ele.
take this medicine twice daily.|bebam este fármaco 2 vezes diariamente.
i would not want that for my children.|eu não desejaria aquilo pras minhas crianças.
a famous museum.|um ilustre museu.
he has no information about victims or damage.|ele não tem informação a respeito de vítimas ou estrago.
they chat online every night.|elas batem um papo toda noite on-line.
the museum is close to the train station.|o museu situa-se próximo à estação de trem.
please don't smoke.|não solte fumaça, por gentileza.
i've never used this software before.|eu jamais utilizei este software antes.
i had tried everything.|eu experimentei de tudo.
the subway goes towards the airport.|o metro segue até ao aeroporto.
the pink blanket belongs to my daughter.|o cobertor cor-de-rosa é de minha filha.
his aim is to buy that property.|o fim dele é ter aquela propriedade.
did she give you the receipt?|ela deu pra você a nota?
do you like having wine with dinner?|tu estás gostando de beber vinho com o jantar?
no, my friends do not write from spain.|não, minhas amigas não estão a escrever de espanha.
i try to see my girlfriend.|eu tento ver minha amiga.
i enjoy good conversation.|estou a gostar de um bate-papo bom.
does anna like dancing?|a anna curte dançar?
how old are these stairs?|quantos anos esta escada tem?
he wants to study portuguese this month.|ele está querendo estudar português esse mês.
what is she wearing?|que ela está a usar?
what is the tallest building in new york?|qual é o edifício mais alto da cidade de nova york?
you should get a new toothbrush.|deves obter uma nova escova.
i'm not taking any science classes.|eu não estou fazendo nenhuma cadeira de ciências.
her hair is very long.|os seus cabelos são bastante extensos.
i like the local food.|eu gosto da comida nativa.
zero, one, two, three.|zero, 1, dois, três.
this plant is growing fast.|este vegetal está aumentando rapidamente.
i pay the rent on the first of the month.|eu estou a pagar o aluguel no dia 1º do mês.
do you want an apple?|tu estás a querer uma maçã?
which class is easier?|qual disciplina é a mais fácil?
she sets the table.|ela está montando a mesa.
germany is definitely different from brazil.|a alemanha está definitivamente diferente do brasil.
don't climb on those rocks.|não escalem naquelas rochas.
the closet on the left is hers.|o closet na esquerda lhe pertence.
the restrooms are at the end of the hall.|os banheiros ficam ao final do corredor.
go to their website and create an account.|vão para o sitio deles e façam uma conta.
the plane took off on time.|o avião foi na hora.
the teacher talked to them after class.|o professor falou após a aula com eles.
there is a string in my pasta.|existe um barbante em minha massa.
do you want to go to the uk with me?|vocês querem sair para o reino unido comigo?
this is the same jacket, but in a different color.|essa é a mesma jaqueta, porém em uma coloração diferente.
i do not buy fruit in the supermarkets.|eu não adquiro frutas nos supermercados.
i will change the end of the book.|irei mudar o final do livro.
our teacher didn't prepare us for the test.|o nosso professor não nos preparou para a avaliação.
who sat next to the monkey on the plane?|quem sentou próximo à macaca no avião?
let's go sightseeing downtown on saturday.|vamos ir fazer turismo no centro sábado.
the new movie is funnier.|o novo filme está mais engraçado.
my english homework.|minha lição de casa da língua inglesa.
it's a little noisy.|é um pouquinho sonoro.
what's the matter with your finger?|o que há com teu dedo?
the bedroom ceiling looked unusual.|o teto do cômodo parecia extraordinário.
the site is special.|a página da web é especial.
they want to count the number of flights to china.|eles desejam contar o montante de voos que vão para a china.
do you want your mother to lose her job?|desejas que a tua mãe perca o emprego?
i can't find the entrance!|eu não consigo descobrir o portão!
next, take a left at the corner.|então, peguem a esquerda no cruzamento.
the elephants were wearing skates when they fell.|os elefantes estavam a calçar patins quando caíram.
there's a coffee shop across from the library.|existe uma lanchonete em frente à biblioteca.
he uses a computer every day.|ele utiliza computador diariamente.
we had a wonderful time.|nós tivemos um momento formidável.
i could ask for everything that i wanted.|poderia pedir por tudo o que quisesse.
unfortunately, she has a terrible headache.|por azar, ela está com uma cefaleia horrorosa.
we wash dishes at a restaurant.|estamos lavando as louças em um restaurante.
do you have thirty dollars?|tu possuis $30?
their house is old.|a morada deles está velha.
we enjoyed working together.|adorávamos trabalhar juntas.
the information is on their website.|o aviso está no website deles.
walk to the middle of the block.|vá andando para o meio da quadra.
the cabinet on the right is empty.|o armário na direita se encontra vago.
the singer hasn't recorded an album since the accident.|o cantor não tem gravado um álbum desde o imprevisto.
did you lose your cellphone?|você perdeu seu telemóvel?
i have never won a competition.|nunca ganhei uma disputa.
what size is this swimsuit?|qual tamanho tem esse traje de banho?
why do we have to learn so much vocabulary?|porque é que nós estamos necessitando conhecer tanto vocabulário?
what level of english are you studying?|qual nível do idioma inglês tu estás a estudar?
where's the exit?|a saída fica onde?
could you get the documents from the printer?|vocês poderiam me trazer os documentos na impressora?
where's the closest hotel?|onde que situa-se o hotel mais próximo?
will these curtains look good in the living room?|estas cortinas vão ficar bonitas dentro da sala de estar?
fred cannot play the guitar.|o frederick não sabe tocar violão.
is your father here?|o teu pai se encontra cá?
the boy had come from school.|o garoto tinha voltado do colégio.
they crossed the river carefully.|eles cruzavam o riacho de forma cuidadosa.
i stayed with my grandparents until the end of the semester.|fiquei hospedada nos meus vovôs até o final do semestre.
the soldiers walk with the students.|as soldadas caminham junto com os alunos.
i am good, thank you.|eu vou ok, obrigado.
how are you doing, mr. turner?|como vai, seu turner?
in general, the staff is bilingual.|normalmente, os integrantes do quadro de funcionárias são bilíngues.
everybody needs water.|todas as pessoas estão precisando de água.
this homework is very easy.|esta lição é muito simples.
you will like the tomatoes from the garden.|irás curtir os tomates no jardim.
at what age do children start paying?|qual a idade que as filhas começam a pagar?
i hope your wish will come true.|espero que seu desejo vire verdade.
i've done this lesson already.|eu acabei essa lição já.
that bear eats quite a lot of sweets.|aquele urso está comendo um bom tanto de bombons.
when you decide, let me know.|após vocês se decidirem, digam-me.
they had decided to stay.|eles decidiram por permanecer.
she cut her finger while she was making dinner.|ela cortou seu dedo enquanto fazia a janta.
what kind of juice would you like?|de que tipo de sumo você iria gostar?
