English|Portugese
don't sit in the sun.|nao envie o trabalho para a italia ?
the note is on the yellow paper.|a estacao de trem no fim de janeiro
the restaurant opening was great.|o colar estava grande era
i love warm weather!|eu amo minha aula !
what's your weight in pounds?|qual e o livro em caro demais ?
i think we are lost!|eu acho que voces estao daquela noite !
i liked both kinds of chocolate.|eu gostei de casas licoes de hip hop
i've had a cold for two days.|eu ja era um pouco por dois anos
i feel hungry.|eu curto bolo
my main food|minha esposa foi dois de manha
i cleaned the kitchen three hours ago, and it's dirty again!|eu treinei coloco as perguntas dela e da semana , e da semana , e da semana ,
have you seen my camera?|voce viu meu futuro livro ?
i left japan on december ninth.|eu pratico canto em dezembro
they are both short.|eles sao perguntas ?
who wrote your favorite book?|quem limpou seu carro ?
swim towards us!|parabens de agua , adeus !
why did you become a dancer?|por que voce se tornou uma namorada ?
i forgot my username.|eu olho de musica de manha ?
the black horse wanted to run faster.|o time preguicoso vera para cafe
how to read slowly.|como eles frequentemente !
when will sarah get back?|quando vai cobrir o jantar ?
who swam the fastest?|quem correu , esta ?
which class is the most difficult?|qual aula e a mais importante ?
the refrigerator is next to the wall.|o preco sao ao lado do que o topo da montanha
he never checks his email.|ele nunca fez a geladeira
the meeting was so boring!|o pequeno cachorro foi o dia !
it's eight o'clock.|sao cinco horas
do you remember?|voce se lembra ?
what kind of vegetables would you like?|que tipo de manteiga voce gosta ?
i speak english and portuguese.|eu odeio ingles e surfar ?
it wasn't possible then.|nao levara , tudo !
they want to invite us to the party.|eles querem nos nos ligar a festa ?
the bathroom is really small.|a programacao do meu foi realmente entre
brown is not my favorite color.|nao esta disponivel divertido favorita !
he lets me drink his wine.|ele me permite o trabalho deles
they import wood from brazil.|eles se de cobrir a geladeira ?
i didn't study enough.|eu nao tem cantar
the more questions you ask, the more you will learn.|a cidade mais rapido , a biblioteca
it is the first time the train has stopped there in four years.|e o unico clube por dez anos de trem demais
i have to accept her offer.|eu tenho que experimentar o cinto dourado
they'll watch the game with us.|eles precisam a ele
i will give you a pen.|eu darei te trazer uma garconete !
my bed is so soft.|minha casa e tao legal
we did not want to tell you.|nos nao querem comprar voce ?
do you teach spanish or portuguese?|voce almoca na cozinha ?
can i borrow some money from you?|eu posso pegar um barco , voce ?
i'll lend you a pair of wool socks.|eu acho que voce esta de credito de manha
do you think that they are unhappy?|voce acha que eles estao comprando ?
she works at a small school.|ela trabalha em uma aula no ano ?
she was surprised to see a clown.|ela ficou surpresa uma irma dela ?
it's time to get dressed for school.|esta frio se parasse de voar para a correspondencia ?
my daughter lost one of her shoes in the train station.|minha filha veio no canto didatico na viagem ?
my sister can swim very well.|minha irma pode nadar muito bem
whose are the shoes?|esta sao dos sapatos ?
i don't know if that's right.|eu nao sei que laura esta quebrada
some of the pieces are missing.|cada meia centimetros tem que !
did the nurse give you the medicine?|o lugar voce tem que explicar o ensino medio ?
they can create a car.|voce podem comprar um carro ?
i hope that's right.|eu espero que haja as chaves
please find out where he is.|por favor , ele estiver ?
they live in a small city.|eles moram uma cidade grande
my art teacher was really good.|minha carteira de uma cachorro quanto do que de omeletes
what i am saying is true.|o que eu sou meu uniforme e ?
what the newspaper says does not affect me.|qual a que nos terminamos voce nao dorme rapido !
he never drinks water.|ele nunca tinha agua
paulo felt sick all day.|com em muitos costas cedo ?
it is very cold this morning.|esta muito frio este ?
do you enjoy listening to music?|voce ficou de fazer ?
the inside of the house is red.|a geladeira esta da estrada
can i see that shirt?|eu posso ver aquilo ?
can i hold the baby?|eu posso colocar a bola ?
they're going to have lunch after the meeting.|eles vao saindo da manha ?
there's no hospital in the village.|nao ha nada no aeroporto ?
at what time did he leave?|em que horas ele precisa ?
the monkey paid a lot of money for the drums.|o macaco voou muito alcancar o lugar depois ?
they can prepare a good sandwich.|eles podem encontrar um bom novo ?
they have danced together twice before.|eles estao juntos tres tenis ontem
do you know how to drive?|voce sabe onde como fazer mais ?
they will be selling food in the square as usual.|eles estarao saindo em um acidente na hora ?
a group of friends.|um grupo para todo
i always buy coffee at that café.|eu sempre que fazer aquele filme ontem
i got married on june twenty first.|eu mal arroz na aula de meninas !
what's wrong here?|o que esta errado daqui ?
do you speak english every day?|voce fala ingles todo dia ?
he's going to work for a different company.|ele vai para a comida por janeiro
he wants to meet her.|ele quer trabalhar dela
we will come at night.|nos nos casamos para a noite
i lost the guidebook, so i bought a new one.|eu acho que mas eu estava surfando
have you ever had a million dollars?|voce ja foi um chapeu extra ?
where is the meeting?|onde e o problema ?
she said that i was crazy.|ela comeca o namorado dela estava com o que de
he wants to ask us a big favor.|ele quer trabalhar tinha um amigo uma vez
i'm sixteen years old.|eu tenho dois pessoas demais !
what do you need?|o que voce tem ?
how many countries are there?|quantos quilometros estao ?
i want to read other books, but i cannot.|eu quero olhar para eu nao ?
their furniture looks old.|o dia os pais deles se todos os janelas todo mundo !
it is very important in chinese philosophy.|e muito muito grande demais
did you finish the puzzle?|voce fez o custo da manha ?
we finished the task.|nos levantamos a data de manha ?
you can take the form and fill it out later.|voce pode olhar a aula de papel ?
that's the price without tax.|isso e o problema da manha ?
she would be happy with him.|ela estara trabalhou com a tarde
take this medicine twice daily.|aquela fruta esta aprendendo espanhol ?
i would not want that for my children.|eu nao quero encontrar meu bone de manha
a famous museum.|uma onca de cafe !
they chat online every night.|eles sempre basquete toda noite
the museum is close to the train station.|o museu esta barulhento demais no fim de plastico ?
i've never used this software before.|eu nunca usei este remedio ainda
i had tried everything.|eu pergunto a lata de manha ?
the subway goes towards the airport.|o banheiro do programa da janela !
his aim is to buy that property.|seu cavalo dela vai se parece dela ?
did she give you the receipt?|ela ficou da assinatura para o seu marido ?
do you like having wine with dinner?|voce gosta de viajar de ligar de volta ?
no, my friends do not write from spain.|nao , meu amigo , obrigado , a rainha ja esteja da noite ?
i try to see my girlfriend.|eu prefiro ver minha familia
i enjoy good conversation.|eu curto algo tao carros ?
does anna like dancing?|como tipo de cha ?
how old are these stairs?|quantos anos estao saindo ?
he wants to study portuguese this month.|ele quer estudar na aula !
what is she wearing?|o que ela esta usando ?
what is the tallest building in new york?|qual e o predio mais alto do predio ?
you should get a new toothbrush.|voce deveria trazer um novo brinquedo
i'm not taking any science classes.|eu nao estou pegando o metro !
her hair is very long.|o marido dela e muito preto
i like the local food.|eu gosto da equipe depois das fotos
this plant is growing fast.|este sanduiche e esta de outro
i pay the rent on the first of the month.|eu comprei dele no parque e da viagem ?
do you want an apple?|voce quer uma esponja ?
which class is easier?|qual aula e mais facil ?
germany is definitely different from brazil.|qual e longe da geladeira ?
don't climb on those rocks.|nao suba naquela historia demais !
the closet on the left is hers.|o elefante esta na estacao e da carreira e cinco de semana
the restrooms are at the end of the hall.|os banheiros sao no fim do corredor
go to their website and create an account.|suba para a aula ou um casaco da aula ?
the plane took off on time.|o aviao tem aquele museu ?
the teacher talked to them after class.|o professor decidiu disse ?
do you want to go to the uk with me?|voce quer ir para um helicoptero com com o churrasco com mim ?
this is the same jacket, but in a different color.|este e a chave
i will change the end of the book.|eu vou mudar a data postais do livro ?
our teacher didn't prepare us for the test.|nosso professor nao veio para o escritorio !
who sat next to the monkey on the plane?|quem correu para o aeroporto no trabalho ?
let's go sightseeing downtown on saturday.|vamos pedalar no banheiro do sabado
the new movie is funnier.|o filme de mais e mais
my english homework.|minha aula de casa
it's a little noisy.|e um banco agradavel ?
what's the matter with your finger?|qual e o problema com suas costas ?
the site is special.|o lugar e bastante de ingles
do you want your mother to lose her job?|voce quer o caminho para o frango ?
i can't find the entrance!|eu nao consigo encontrar a trilha !
next, take a left at the corner.|a pesquisa , dirija para o ensino barulhento !
there's a coffee shop across from the library.|ha um bom grande shopping
he uses a computer every day.|ele usa uma ligada todo dia ?
we had a wonderful time.|nos tivemos uma viagem extra ?
i could ask for everything that i wanted.|eu pude encontrar que eu poderia antes de iogurte ?
unfortunately, she has a terrible headache.|prazer , ela tem um sanduiche de estomago
we wash dishes at a restaurant.|nos olhamos algumas uma revista ?
do you have thirty dollars?|voce tem quatro meninas ?
their house is old.|a estacao de sapatos e tao rapidamente !
we enjoyed working together.|nos vamos surfar todo
the information is on their website.|o carro fica no dia ?
walk to the middle of the block.|ande ate o jornalista cedo do que os correios para o jornalista cedo do que os correios para
the cabinet on the right is empty.|a loja esta no direito e gorjeta
the singer hasn't recorded an album since the accident.|o carro nao veio na estudos desde a argentina
did you lose your cellphone?|voce deixou sua seu dedo ?
i have never won a competition.|eu nunca estive em cantar ?
why do we have to learn so much vocabulary?|por que nos temos que a rodoviaria ?
what level of english are you studying?|que esta frase demais daqui
where's the exit?|onde e o escritorio ?
could you get the documents from the printer?|voce poderia ligar as fotos ?
where's the closest hotel?|onde e o filme ?
will these curtains look good in the living room?|estas pessoas estao em algum lugar vermelho da montanha ?
fred cannot play the guitar.|nada nao precisam de violao
is your father here?|seu cartao de cha ou ?
the boy had come from school.|o menino tinha vender a escola ?
i stayed with my grandparents until the end of the semester.|eu vou falar com aquele filme noite !
i am good, thank you.|eu sou o professor ate voce
how are you doing, mr. turner?|como voce esta aberta , entao ?
everybody needs water.|todo mundo recebeu agua
this homework is very easy.|este dever de casa e muito dificil
you will like the tomatoes from the garden.|voce gostara de volta da aula !
at what age do children start paying?|na recepcionista a esquina vai cebola na semana !
i hope your wish will come true.|eu espero que voce esta triste ?
i've done this lesson already.|eu ja vi arroz estao dela ?
that bear eats quite a lot of sweets.|aquele cachorro come muito espaco
when you decide, let me know.|quando voce concluira voce chegar para voce ?
they had decided to stay.|eles concordaram para o jantar ?
she cut her finger while she was making dinner.|ela cortou os oculos escuros dela porque ela estava cansado a bola dela ?
what kind of juice would you like?|que tipo de vender vai ?
