English|Portugese
the mouse learned a lot of songs in spanish.|a camundongo consumiu um copo de um cantor
normally, men are taller than women.|os dois de verdade , podemos vir do lado da festa
her pants are too small.|o seu calcas estao grandes em excesso
he is going to ireland to visit his parents, isn't he?|ele ira comecar os estudos no mes de janeiro
mary's neck hurts when she reads.|a gente tem que nos viajemos para o tempo que nos nos se deitar
who walked with you to the museum?|quem e que se com que se com seus ter ?
what part of africa are you from?|qual e que e que e que e que e que e que e que e que e que e
it is a new section.|isto e um dia agua
he assumes we are human.|ele se cortou a gente e humano
those shoes are expensive.|os calcados estao caros
there was a great lack of rice that year.|tinha um grande pacote de uma taca de uma taca de uma taca de uma taca de uma taca de
how much is the rent?|quanto e o aluguel e a custar ?
julia likes music.|os meus parece com os idiomas
the plane will be taking off as soon as possible.|o proximo ira ser daqui a dez minutos
where is the concert?|onde esta a pasta ?
can you give me another example?|voces podem me fornecer um exemplo ?
the boss knew about the problems.|a agente esta a ler o estudante
my favorite jacket.|meu filho esta a adorar esse arquivo
i do not think so.|eu nao estou a pensar a respeito disto
smoking is bad for you.|o aprendizado e um coisa a mesma uma coisa a mesma uma coisa a mesma uma coisa a precisar de
we stopped dancing at 1 a.m.|nos comecamos a curtir futebol com ele
are you making a sandwich now?|voces estao a trabalhar neste momento ?
we can try.|nos comecamos a tentar
he's looking down.|ele e ele e municipios
don't put the bananas in the fridge.|nao ponha a fruta na internet
we do not use the scissors.|nos nao estamos a ler o jornal frequentemente
tax is not included.|fumar nao usa
yesterday we did not drink wine.|nos nao falaram em um outro encontro
the woman with long hair.|as instrucoes que esta a sonhar que ele parasse
i haven't found my bracelet yet.|eu nao vou a minha casa de autocarro
my uncle is a cook at a german restaurant.|meu irmao se e um dicionario em de janeiro
why are they playing so badly?|por que e que estao a mala estao a elas estao a elas ?
which form should i fill out?|qual programa de que programa de que programa de que programa de que programa de que programa de que programa
where do you keep the jam?|em que lugar voce conserva os champinhons ?
they study together every morning.|elas comem o almoco frequentemente
this afternoon or this evening?|esta e isso pertence a
they are not independent.|elas nao estao a nadar
this is my sister's pet.|esse e o meu melhor calor
i usually read the news on the internet.|eu moro no verao eu estou a ela no verao
there is no subway in this city.|nao existe nenhuma outra cadeira disponivel
do you want to study in the united kingdom?|tu desejas ir em um museu ?
what color are her eyes?|de qual cor e de cor de cor de qual coloracao ?
how much salt does he need?|quanto tempo ele esta a minha bolsa ?
the green bowls are not theirs.|as minhas nao se encontram nao foram economicos
some of the boys play basketball.|algumas das das das das das das das das das das das das das das das das das das das
do you like to play soccer?|voce esta gostando de jogar bola ?
how many children does she have?|quantos dentes ela a se ela ?
i decided not to help you.|eu nao estou a conseguir isso
did they have fun in morocco?|eles fizeram uma coruja mais recente ?
they are approximately the same age.|elas estao a falar a falar sobre a comida
we are good at that.|nos somos bem belos
i will not watch too much tv.|eu nao vou sentir falta de operacoes bancarias
i want to stop smoking.|eu quero ir a desejar ir pra festa
i respect them.|eu estou a limpar a bola
fred isn't eating anything.|o passaro nao esta a viver ca
where is the supermarket?|onde e o dentifricio ?
do they have another phone number?|elas estao mais melhores um cardapio ?
the nurse came and put a cup of water on the table.|o enfermeiro pos a sua perna
guests should not use the pool after midnight.|nao estamos a fazer a galinha ate a gargantilha
my doctor works at a big hospital.|meu companheiro esta a laborar em um passeio no dia
i would be happy if they gave me a car.|eu irei se tenho de consultar o tempo antes da viagem
i really like fruit.|eu gosto de verdade
he definitely likes her.|ele esta a adorar as suas
the model has long, blond hair.|o cachorro estao a ler muito rapido
why does the bear hate tomatoes?|porque e que comem o mecanico sobre o dia ?
my jeans are too big.|o meu papai e ferias
the turtles opened a fast food restaurant.|as ovelhas estao a curtir uma hora de casa com as suas estudantes
how many factories do they have?|quantos dentes possui quantos irmaos ?
what do you eat?|o que e que voce esta a comer ?
very happy.|preenche esse retrato
i received my diploma in 2005.|eu estou a natureza nesse livro
many people thought that the new dance was bad.|pessoas populares que estas a ligacao pra nova iorque
she does not have a family.|ela nao esta com uma crianca
they eat beef.|elas estao entregando trilha e entre
it's two o'clock now.|sao mais ou menos
they bought new furniture.|eles estao a adorar drinks conjunto
she searches for food.|ela esta a procura a cada manha
i'm not busy this morning.|eu nao estou bem em demasia
do birds like salt?|esta a gostar de feijao ?
i love my country.|eu adoro a minha mae
the girl eats pork.|a ema esta a rapariga esta a rapariga esta a comer carne de suino
i wake up and take a shower.|eu estou a ir a minha carteira de minha
everyone always asks me that.|todas viva tem agua e agua
the police haven't come yet.|a cada dia ele nao foi a gente nao foi a gente nao foi a gente nao foi a gente
they live here.|elas estao morando ca
i usually get up late.|eu estou a amar comer em breve
the machine was repaired last week.|o professor trocou a sua arvore
do you remember the name of the hotel?|voce esta lembrando do nome dele ?
i have an older brother and a little sister.|eu tenho uma outra companheira de gramatica na minha sala
has marco ever had a job?|alguma vez teve alguma vez mais alguma vez ?
i was a baby.|estava cansado , eu estava muito
you can use this soap.|tu podes usar o arquivo
she doesn't look like her mom.|ela nao gosta deste vestido algum
how is your family?|como esta a sua mulher ?
she doesn't want to go to the concert.|ela nao esta a desejar ir para a partir
is anyone using the washing machine?|o seu professor de coruja de coruja de manga a aula ?
classes are taught in english.|no relogio de banho sao feitas em um livro de em excesso na direcao do premio
i will look at the floor.|eu vou ver as nossas chaves
the kids can go for a swim.|as aves estao a desejar prender os seus biscoitos
we'll be playing against you guys next week.|nos iremos estar a vamos ficar em quando nos nao ha pouco de festas
her height, which is five feet, six inches.|o quarto e , a mais grande , no entanto , a gente e uma grande , no entanto ,
we need to reach that train.|nos temos que a vamos nessa viagem
they only danced with each other.|elas falam que nos um de companhia fazer um tempo de onibus
i need to learn.|eu estou precisando de fazer o pagamento
the kids will practice the play after school.|os meus estudantes estao a sair a ir a ir a ir a ir a ir a ir a ir
click here to download.|clica para mim mais
maybe the directions were wrong.|talvez nos trabalhamos com a direcao oeste e dobrem
the people talk to the king.|a rainha acabou ao povo
julia has already shown me around.|a gente ira ter mais um bem
he will sleep in the same room as her.|ele vai estar a ver a dentro do lado do quarta
his brother is in prison.|o seu filho esta a primeira aula esta a inglaterra
there are no bathrooms on the third floor.|nao ha nenhuma cadeira livre no primeiro piso
the girl is too young for that.|a moca esta a garota esta caro
they cannot start without us.|elas nao se nao conseguem nos
they announce your book.|elas estao a falar em suas filhas
should i add some pepper?|eu tens uma ave ?
i never used to see you when i was a girl.|eu nunca estou a pensar que eu nao enxerguei a me a me a ela
the pink car is not ours.|as criancas nao se alimenta
i want to buy clothes.|eu desejo dar aulas de violao
did you leave the boxes on the shelf?|voce alguma pessoa mais recente a cama ?
we were standing in the middle of the platform.|nos estavamos a um dos seus livro no parque
there will be an art show downstairs.|ha um enorme supermercado enorme
take food and water.|preenche esse comboio e um monte de boi e gentil
what's your favorite band?|qual e a tua cancao de pop favorita ?
are there any hospitals in this town?|tem alguma cancao de graca ?
she wanted her sister's toy.|ela quebrou a sua irma mais
my father is not as old as he looks.|o meu seu servico e o passaporte
you are driving really fast.|voce e muito monte nao estao
breakfast will be ready in a few moments.|o meu conjuge vai estar se parte de banco em uma parte do banco em uma parte do nascimento em
can you look down?|podes olhar a doenca ?
she is currently a model.|ela e um integrante dessa organizacao
my name is luis.|meu filho esta a minha mae
they want to know what happens.|elas estao a desejar de tocar a gente
how are you?|como e que voce esta ?
most people in canada speak english or french.|esse e um canto parou no acostamento da cada
how much oil should i use?|quanto de molho voce esta a precisar de molho ?
i will get a basket for the apples.|eu irei tirar uma embarcacao a cada noite
i wash my face every night.|estou a almocar diariamente uma cada momento
can i see the blue dress?|eu posso olhar a camiseta vermelha ?
they have put their pants on.|eles estao a se na sua camisa
never mind, it doesn't matter.|nao te importes te nao encontrei o nao e que nao encontrei o nao e que nao encontrei o nao
our goal is to spend less.|nossa crianca ira estar a gente sera de corrente para as respostas
he'll be leaving as soon as possible.|ele vai fazer uma media de vez em breve
he needs a job.|ele esta a comer um servico
do you want any ice cream?|voce quer viver em conjunto ?
my pencil doesn't have an eraser.|minha companheira de ser necessidade de cereais gosta de cereais matinais a festa
i'm going down the street to buy ice cream.|eu estou a locar uma volta do lado do lado da licao
we really wanted to go to australia.|nos temos de galinha para as janelas
i made a few mistakes on the test.|eu fiz um bocado de mudancas no horario
we had known our mother.|nos conhecemos a capita o jornal
he's still very attractive.|ele se eu preencham esse retrato de bicicleta
i use a computer at work.|eu estou a laborar no reino unido
i don't know his first name.|eu nao conheco o seu nome bancaria
he and his wife will be at the hotel tonight.|ele escreve o seu trabalho
would you like any chocolate ice cream?|voce gostaria de alguma coisa para beber ?
i'm not fine.|eu nao estou a falta
we lived in germany last year.|nos comecamos a gente estava a gente foi a gente estava a gente foi a gente estava a gente foi
he speaks many languages.|ele tem muitas questoes
don't throw the ball in the house!|nao pessoa os dois os pratos por sua resposta
the girl asks for water.|a capita esta mal esta danificada
i showed them part of the museum.|eu trabalhei no ultimo lugar
he stayed at the museum for three hours.|ele estava a si mesmo ao local de semana
we're taking the subway to the zoo.|nos estamos a ir a locar o veiculo ate o dia na sexta feira
is that monica's phone?|esse e o seu armario ?
do you need to go?|voce esta a precisar de ir pra estacao de roupa ?
hit the ball with the racket.|batam a bola fortemente a bola
john is too young to drink beer.|o nosso primeiro e o nosso calcados que a mais divertido
the bus left at a quarter to nine.|o rato correu para o calice no aviao
we were not invited.|nos nao estamos a nao e capaz de coisa nenhuma
don't sit in the sun.|nao tem o seu nome
the note is on the yellow paper.|a estacao esta na zona do frigorifico
the restaurant opening was great.|as passageiras ouviram um copo e um premio
i love warm weather!|eu estou adorando as tuas calcas jeans !
what's your weight in pounds?|qual e o que e o mais interessante de ingles e gratificacao ?
i think we are lost!|eu acredito que nos estavamos a venda !
i liked both kinds of chocolate.|eu estive a futebol a gente estava a noite
i've had a cold for two days.|eu estava a me um banho e um livro para um livro
i feel hungry.|eu amo a me
my main food|minha gata esta a minha pequena irma
i cleaned the kitchen three hours ago, and it's dirty again!|eu encontrei o teste ha cinco minutos
have you seen my camera?|tu viste as minhas malas ?
i left japan on december ninth.|eu estava a gente estava a um ano anterior a noite
they are both short.|elas estao a falar em cima da mesinha
who wrote your favorite book?|quem foi que especie de soul esta musica soul ?
swim towards us!|a gente esta a gente guardou mais ou menos tres horas !
why did you become a dancer?|por que que tu compraste que ele estava a trez bicicleta ?
i forgot my username.|eu estou a amar fazer o que ele esta a venda
the black horse wanted to run faster.|a crianca de pulso de calcado tentava de pulso de calcado tentava de pulso de calcado tentava de pulso de
how to read slowly.|os seus previnir os seus pais ?
when will sarah get back?|quando e que vamos adquirir alguns jogo de banho ?
who swam the fastest?|quem e que esta a senhora mais rapido ?
which class is the most difficult?|qual e o o mais duro de aula mais atraente ?
the refrigerator is next to the wall.|a livraria esta indo redigir a camundongo
he never checks his email.|ele esta a curtir ela esta a gente esta a gente esta a curtir ela esta a resposta e alpinismo
the meeting was so boring!|as flores rosas estao preparados pra jena !
it's eight o'clock.|sao horas e em ponto
do you remember?|voce esta lembrando ?
what kind of vegetables would you like?|que tipo de videojogos eles gostam ?
i speak english and portuguese.|eu estou a almocar esta a minha bicicleta
it wasn't possible then.|estava duro de mangas grande demais
they want to invite us to the party.|elas querem falar a festa
the bathroom is really small.|o escritorio de trabalho e bom preco
brown is not my favorite color.|nao vem o meu cabelo vermelho
he lets me drink his wine.|ele me permite um cabelo bem
they import wood from brazil.|eles importam o alimento na india
i didn't study enough.|eu nao solicitei a desejar
the more questions you ask, the more you will learn.|as cadeiras de vidro se pessoas
it is the first time the train has stopped there in four years.|este e o mais arriscada a nova iorque
i have to accept her offer.|eu tenho de oculos o seu perfil
they'll watch the game with us.|elas estao a falar a conversar a porta que elas
i will give you a pen.|eu irei ligar te depois
my bed is so soft.|meu meu muito tomou muito bom
we did not want to tell you.|nos nao estamos a encontrar a tempo da hora
do you teach spanish or portuguese?|voce esta a gostar de trabalhar neste momento ?
can i borrow some money from you?|eu posso pegar o outro lado de manteiga ?
i'll lend you a pair of wool socks.|eu estou a ter uma ligada mais agua
do you think that they are unhappy?|voce acha que ele e veridico ?
she works at a small school.|ela esta a trabalhar em uma faculdade no servico
she was surprised to see a clown.|ela foi surpreendida quando eu estava em bolo
it's time to get dressed for school.|e que nos iremos estar a escola
my daughter lost one of her shoes in the train station.|minha filha esta a precisar de fazer uma dor no dia de aula
my sister can swim very well.|minha irma mais me muito depressa
whose are the shoes?|quem e que pertence a quem ?
i don't know if that's right.|eu nao estou a sinto muita forca
some of the pieces are missing.|alguns dos passageiros ouviram um grande !
did the nurse give you the medicine?|o seu esposo vai a comecar o servico ?
they can create a car.|elas sao capazes de um outro escritorio
i hope that's right.|eu estou a explicar o marcelo
please find out where he is.|se faz favor , e possivel que a minha irma ?
they live in a small city.|elas estao a residir em uma equipe de basquete
my art teacher was really good.|minha colega de dormir e a minha taca de bicicleta profundo
what i am saying is true.|eu nao posso fazer isso e que eu nao e mail ?
what the newspaper says does not affect me.|qual a a loja de computador ?
he never drinks water.|ele nunca esta a amar trilha
paulo felt sick all day.|as avos ficaram a curtir mantido no programa de todo dia de que horas em que logo
it is very cold this morning.|e quente esta comendo bastante quente
do you enjoy listening to music?|voces estao a gostar de escutar o radio ?
the inside of the house is red.|o dos vista do preco mais alto da televisao
can i see that shirt?|eu posso olhar essa ?
can i hold the baby?|eu posso ver a camiseta vermelha ?
they're going to have lunch after the meeting.|elas estao indo a ir a ir a ir a ir ate a ir ate a ir ate a ir
there's no hospital in the village.|nao ha nenhuma aula no refrigerador
at what time did he leave?|a max nao escova o meu curso de baseball
the monkey paid a lot of money for the drums.|a simia adormeceu na qualidade de uma nova peripecia nova
they can prepare a good sandwich.|elas gostam de um bom condutor
they have danced together twice before.|eles tem produzido a luz e gratificacao
do you know how to drive?|voce esta voce esta a sua cozinha ?
they will be selling food in the square as usual.|elas irao estar a querer estar a querer estar a querer estar a querer estar a querer estar a querer
a group of friends.|algumas das nossas conjuges estao a ficar pessima
i always buy coffee at that café.|eu estou a sempre um cafe da minha formacao em casa
i got married on june twenty first.|eu fui muito em alguns de dormir
what's wrong here?|o que numero de errado ?
do you speak english every day?|tu estas a praticar a cada dia ingles ?
he's going to work for a different company.|ele ira para a ir para uma revista em seguida
he wants to meet her.|ele esta a desejar tocar a resposta
we will come at night.|nos vamos em dezembro pra dois de festas
i lost the guidebook, so i bought a new one.|eu vi a apresentacao musical quando eu estavamos a apresentacao musical
have you ever had a million dollars?|alguma vez voce ja foram dia viajaram de aviao ?
where is the meeting?|onde esta a pasta dental ?
she said that i was crazy.|ela disse ela esta a respeito de coisa
he wants to ask us a big favor.|ele esta a desejar fazer um grande
i'm sixteen years old.|eu estou a escrever uma carteira
what do you need?|que e que voce gosta de que ?
how many countries are there?|quantos pessoas tem quantos quilometros ?
i want to read other books, but i cannot.|eu quero que eu quero que voce nao esta a desejar que voce nao esta a desejar que voce nao
their furniture looks old.|o seu seu apartamento nao e a anna
it is very important in chinese philosophy.|e muito dificil de elas iorque de minhas criancas
did you finish the puzzle?|voce fez o seu bracelete ?
we finished the task.|nos olhamos uma cesta
you can take the form and fill it out later.|voce pode dar a luz da cidade
that's the price without tax.|esse e o caixote do preco apos a primeira
she would be happy with him.|ela deve pagar conta
take this medicine twice daily.|anota os tributos e gorjeta
i would not want that for my children.|eu nao ia perder o meu irmao
a famous museum.|um dos passageiros sao celebres
they chat online every night.|elas estavam a gostar de jogos a companhia ferroviaria
the museum is close to the train station.|o quarto de o mais lerdo do lado de janeiro e o maior
i've never used this software before.|eu nunca utilizei essa especie de impressora
i had tried everything.|eu vi sim
the subway goes towards the airport.|o escritorio esta localizada a estacao de semana na rua
his aim is to buy that property.|o seu fim dela e ser famosa
did she give you the receipt?|ela se ouviu o tanque ?
do you like having wine with dinner?|voce esta a gostar de explicar todas as coisas ?
no, my friends do not write from spain.|nao , eu nao , eu nao , eu nao , eu nao , eu nao , eu nao ,
i try to see my girlfriend.|eu vou experimentar o que eu irei a gente
i enjoy good conversation.|eu tambem tambem
does anna like dancing?|a habitar ca
how old are these stairs?|como e que idade de voces tem ?
he wants to study portuguese this month.|ele esta a desejar ter o cha com a gente
what is she wearing?|o que e que ela quinze para a janta ?
what is the tallest building in new york?|qual e o maior predio no mundo ?
you should get a new toothbrush.|tu deves ter uma nova banda de usuario
i'm not taking any science classes.|eu nao vou visitar nenhuma ilha nenhuma
her hair is very long.|o seu dos passarinhos estao muito grandes demais
i like the local food.|eu gosto da faca a radio
i pay the rent on the first of the month.|eu estou a ir a aula de confeccoes ao meio dia
do you want an apple?|voce esta a desejar sair neste momento ?
which class is easier?|qual classe e mais espacosa ?
germany is definitely different from brazil.|o jose e abaixo da montanha de grande
don't climb on those rocks.|nao tem monte de seguro
the closet on the left is hers.|o cavalo e a respeito do preco menor
the restrooms are at the end of the hall.|os patos estao a freguesas no quarto de clientes
go to their website and create an account.|eu vamos a gente esta a gente esta a gente esta a gente esta a gente esta a gente esta
the plane took off on time.|o urso pensou durante uma hora
the teacher talked to them after class.|o professor de professor falou com clareza
do you want to go to the uk with me?|voce quer ir para o parque ?
this is the same jacket, but in a different color.|esse e o muito fixe
i will change the end of the book.|eu vou estar a equipe de roupas ao fim de meus escura
our teacher didn't prepare us for the test.|a professora nao pode nos nao nadarmos no mes
who sat next to the monkey on the plane?|quem que a minha filha vai estar indo viajar para a mais a janela ?
let's go sightseeing downtown on saturday.|vamos dar um melhor pra la na cidade
the new movie is funnier.|as estudantes de onibus de onibus e se tornar se de onibus
my english homework.|minha licao de minha propria aulas
it's a little noisy.|e uma pequena ponte pequena
what's the matter with your finger?|qual o problema com o vosso dorso ?
the site is special.|o pes e aberto e gratificacao
do you want your mother to lose her job?|tu desejas ir a lousa ?
i can't find the entrance!|nao estou a conseguir a minha passagem !
next, take a left at the corner.|uma grande , na casa , na casa , na casa , na casa , na casa , na casa
there's a coffee shop across from the library.|ha um mercado de uma parte interna do mercado
he uses a computer every day.|ele esta a comer um ator no servico
we had a wonderful time.|nos tivemos um tempo incrivel juntos
i could ask for everything that i wanted.|eu poderia pegar lhe esperar para ela
unfortunately, she has a terrible headache.|sim , um filho tem um macaco como animal de fato uma macaca como uma macaca como animal de fato
we wash dishes at a restaurant.|nos estamos a gente esta a encontrar as meninas
do you have thirty dollars?|voce tem dolares ?
their house is old.|a casa delas esta casa
we enjoyed working together.|nos tivemos um momento juntos
the information is on their website.|o aviso esta no quadro no ambiente de cozinha mais
walk to the middle of the block.|vai ate ao parque em cima da floresta
the cabinet on the right is empty.|os patos andaram de aviao esta a receber o dia
the singer hasn't recorded an album since the accident.|as criancas nao se hospedando se no aviao
did you lose your cellphone?|tu escovaste o seu filme ?
i have never won a competition.|eu tenho tempo vou a procurar por volta
why do we have to learn so much vocabulary?|porque e que temos que trajar um uniforme ?
what level of english are you studying?|quais que tal o aluguel ?
where's the exit?|em que lugar esta a fabrica ?
could you get the documents from the printer?|voces poderiam ligar a luz ?
where's the closest hotel?|o hospital mais proximo se situa se situa se situa se situa se situa se situa se situa se situa
will these curtains look good in the living room?|voce ainda tem boa demais nesse lugar com maneira ?
fred cannot play the guitar.|o meu filho esta a minha conjuge esta a adorar a indumentaria da comida
is your father here?|o teu papai esta a vossa familia ?
the boy had come from school.|o rapaz estava a ir pro veiculo
i stayed with my grandparents until the end of the semester.|eu estava a me quase a noite eu estava a noite passada
i am good, thank you.|eu estou bem bom , e muito , e muito , e muito , e muito , e muito ,
how are you doing, mr. turner?|como voce esta a se escreve o teu ?
everybody needs water.|o jantar esta a estudar esta sos
this homework is very easy.|esse livro e bem dificil
you will like the tomatoes from the garden.|tu vais encontrar a radio
at what age do children start paying?|a tua irma se tornar a sua pulseira ?
i hope your wish will come true.|eu estou a querer ser que ele vai ser que ele vai ser que ele vai ser que ele vai
i've done this lesson already.|eu estou a fazer esse filme ja
that bear eats quite a lot of sweets.|esse e a ler um lenco muito uma hora
when you decide, let me know.|voce gostaria , voce vai cair
they had decided to stay.|elas tinham o doutor
she cut her finger while she was making dinner.|ela telefonava pra sua familia praticamente todos os dias
what kind of juice would you like?|que tipo de chocolate e aquele tipo ?
