English|Portugese
can you give me another example?|voce pode me dar um outro pedaco ?
the boss knew about the problems.|o chefe sabia sobre a sala de matematica
my favorite jacket.|minha cor de verdade
i do not think so.|eu nao estou a pensar muito um cara
smoking is bad for you.|o sr e terrivel por voce
we stopped dancing at 1 a.m.|nos estamos a gente esta a gente esta a gente esta a gente esta a gente esta a gente esta
are you making a sandwich now?|voce esta fazendo um sanduiche agora ?
we can try.|nos podemos experimentar
he's looking down.|ele esta a procurar
don't put the bananas in the fridge.|nao coloques o empresa no refrigerador
we do not use the scissors.|nos nao estamos a aguardar a tesoura
tax is not included.|o imposto esta incluido
yesterday we did not drink wine.|ontem nos nao bebe sumo de vinho
the woman with long hair.|a mulher so com bastante novos
i haven't found my bracelet yet.|eu nao carreguei o meu bracelete
my uncle is a cook at a german restaurant.|meu tio e um chef em um restaurante italiano
why are they playing so badly?|por que eles tocam tao legal ?
which form should i fill out?|que programa eu deveria assar o que voces ?
where do you keep the jam?|onde voce guarda as roupas ?
they study together every morning.|eles estudam toda a cada manha
this afternoon or this evening?|essa tarde , esta noite ?
they are not independent.|eles nao estao a escutar um jogo de voces
this is my sister's pet.|esta e minha irma a qual a qual e a qual e a qual e a qual e a qual
i usually read the news on the internet.|eu sempre leio a escrever no aviao
there is no subway in this city.|nao existe nenhum nenhuma violencia nessa cidade
do you want to study in the united kingdom?|voce quer estudar no reino unido ?
what color are her eyes?|qual cor sao os seus sapatos ?
how much salt does he need?|quanto de manha esta precisando ?
the green bowls are not theirs.|a sobremesa vem do que nao e delas
some of the boys play basketball.|algumas das brincam de basquete
do you like to play soccer?|voce gosta de jogar futebol ?
how many children does she have?|quantos crianca tem ela ?
i decided not to help you.|eu nao tenho que te ajudar voce
do i need an operation?|eu preciso de uma mesa ?
did they have fun in morocco?|eles tem caminhado por o acucar ?
they are approximately the same age.|eles estao a mesma lugar a
we are good at that.|nos somos bons para isso
i will not watch too much tv.|eu nao irei assistir muito tempo na sombrinha
i want to stop smoking.|eu quero ter conversas de artes
i respect them.|eu amo eles gostam de pao
fred isn't eating anything.|o fred nao come de manga
where is the supermarket?|onde esta o supermercado ?
do they have another phone number?|eles tem um outro telemovel ?
the nurse came and put a cup of water on the table.|o enfermeiro se e um copo de uma mesa de uma mesa
guests should not use the pool after midnight.|os alunos nao utilizar o mesmo apos o almoco
my doctor works at a big hospital.|meu doutor esta laborando em um domicilio grande
i would be happy if they gave me a car.|eu fiz pouco se eu me vou um minuto
i really like fruit.|eu realmente gosto de verdade de estomago
he definitely likes her.|ele gosta desse quadro
the model has long, blond hair.|o numero de tempo tempo e cabelos loiros
why does the bear hate tomatoes?|porque que o que o meu aposento de vinho ?
my jeans are too big.|meus verao sao muito grandes
the turtles opened a fast food restaurant.|as tartarugas nadam uma empregada de arroz
how many factories do they have?|quantos quilogramas eles tem ?
what do you eat?|o que voce gosta de voces ?
very happy.|muito bem
i received my diploma in 2005.|eu tiro meu casaco em relacao a respeito de voces
many people thought that the new dance was bad.|muitas pessoas compram o novo esta shampoo
she does not have a family.|ela nao tem uma cama
they eat beef.|eles comem carne vermelha
it's two o'clock now.|sao horas
they bought new furniture.|eles compraram novos canais
she searches for food.|ela procura pela comida
i'm not busy this morning.|eu nao estou ocupada esta a gente
do birds like salt?|os passaros gostam de preparar ?
i love my country.|eu estou a adorar o meu quarto de voces
the girl eats pork.|a guria mais velho
i wake up and take a shower.|eu acordo as roupas e eu sou uma hora
everyone always asks me that.|todos os me me me a mim esta a mim
the police haven't come yet.|a policia nao vem ainda
they live here.|eles vivem aqui
i usually get up late.|eu adoro estorias de ti
the machine was repaired last week.|a maquina provavelmente foi roubado ?
do you remember the name of the hotel?|voce se lembra do aviao ?
i have an older brother and a little sister.|eu tenho um irmao mais atraente
has marco ever had a job?|alguma vez possuiu um trabalho de estomago ?
i was a baby.|eu estava um bebe
you can use this soap.|voce pode usar este esforcos
she doesn't look like her mom.|ela nao esta a gostar de sua mae
how is your family?|como esta sua familia ?
my cellphone is in my back pocket.|meu chefe esta em minha cabeca de artes
she doesn't want to go to the concert.|ela nao quer ir para o concerto
is anyone using the washing machine?|alguma pessoa esta a usar o quadro de roupas ?
classes are taught in english.|as aulas sao ensinadas em ingles
i will look at the floor.|eu irei olhar no chao
the kids can go for a swim.|os miudos estao a viajar para uma nadada
we'll be playing against you guys next week.|nos vamos estar a jogar futebol nesse sabado ?
her height, which is five feet, six inches.|sua meta , o seu homem
we need to reach that train.|nos precisamos de esse dragoes ao trem
they only danced with each other.|eles so muito com a outra
i need to learn.|eu preciso de construir a estacao de artes
the kids will practice the play after school.|os miudos vao deixar o concerto de escola
click here to download.|clique aqui para mim
maybe the directions were wrong.|talvez o policia favorita de musica de rosa
the people talk to the king.|as pessoas conversar com o rei
julia has already shown me around.|a gente tem me a uma bicicleta me em ingles
he will sleep in the same room as her.|ele vai dormir no lugar desde como a sua forma
his brother is in prison.|o seu nome e no clube de voces
there are no bathrooms on the third floor.|nao ha nenhuma vir no o piso
the girl is too young for that.|a guria esta demasiado dinheiro para isso
they cannot start without us.|eles nao podem comecar o professor
they announce your book.|eles estao a sua livro de voces
should i add some pepper?|eu deveria deixar manteiga ?
i never used to see you when i was a girl.|eu nunca vou ver voce quando eu nao tenho uma menina
the pink car is not ours.|os carro de nao e o nosso quarto
i want to buy clothes.|eu quero comprar uma sombrinha
did you leave the boxes on the shelf?|voce deixou os arquivos a estante de nivel ?
we were standing in the middle of the platform.|nos ficamos no aeroporto na plataforma
there will be an art show downstairs.|ha um dicionario especial no sabado
take food and water.|a ema e agua e agua
what's your favorite band?|qual e a sua ocupacao preferida ?
are there any hospitals in this town?|ha algum passatempo ha pouco ?
she wanted her sister's toy.|ela esta a lavar a sua irma dela
my father is not as old as he looks.|meu pai nao e tao tao que ele e que e que e que e que e que e que
you are driving really fast.|voce esta a nadar muito rapido
breakfast will be ready in a few moments.|o estudantes de policia sal em poucos momentos
can you look down?|voce pode olhar para voce ?
she is currently a model.|ela e um medico
my name is luis.|meu irmao e o aprendizado de artes
they want to know what happens.|eles querem saber que o que e que e ?
how are you?|como voce esta ?
most people in canada speak english or french.|que as pessoas sao no canada
how much oil should i use?|quanto de que quantidade de que deveria eu deveria voce usou ?
i will get a basket for the apples.|eu vou pegar um cesto para os montes
i wash my face every night.|eu estou a minha carteira de noite
can i see the blue dress?|eu posso ver o mais ?
they have put their pants on.|eles produziram a calca todas as meses
never mind, it doesn't matter.|nao se preocupe , no entanto nao e novas
our goal is to spend less.|o nosso homem e de fazer aula de leite
he'll be leaving as soon as possible.|ele vai estar a em breve vai em breve
he needs a job.|ele precisa de um emprego
do you want any ice cream?|voce quer mudar qualquer coisa ?
my pencil doesn't have an eraser.|meu avo nao tem uma caixa de coracao
i'm going down the street to buy ice cream.|eu estou a ir a janela a adquirir a escada
we really wanted to go to australia.|nos estamos a desejar ir fazer um passeio ao meio dia
i made a few mistakes on the test.|eu fiz algumas mudancas no teste
we had known our mother.|nos tinhamos conhecido a minha mae
he's still very attractive.|ele ainda e muito caro
i use a computer at work.|eu uso um computador no servico
i don't know his first name.|eu nao sei o seu nome dele
he and his wife will be at the hotel tonight.|ele e a mulher e a no momento que a no momento que a no momento que a no momento
would you like any chocolate ice cream?|voce gostaria de aviao alguma coisa em demasia ?
i'm not fine.|eu nao estou bem
we lived in germany last year.|nos moramos na alemanha ?
he speaks many languages.|ele esta a habito de ambos idiomas
don't throw the ball in the house!|nao jogue o escritorio na casa !
the girl asks for water.|a guria pra fazer agua
i showed them part of the museum.|eu jogo de voces a mim o museu
he stayed at the museum for three hours.|ele se apresentaram no museu por horas
we're taking the subway to the zoo.|nos estamos a pegar o metro para o zoologico
is that monica's phone?|aquela e a sala de telefone ?
do you need to go?|voce precisa de ir ?
hit the ball with the racket.|acerte a bola com a loja de chuva
john is too young to drink beer.|o jon e muito novo para beber o cafe
the bus left at a quarter to nine.|o museu se em um dia do japao
we were not invited.|nos nao tivemos ainda nao e verdade
don't sit in the sun.|nao se esqueci no sol
the note is on the yellow paper.|o vencedor esta no topo do temporal
the restaurant opening was great.|o par de rio nao e excelente
i love warm weather!|eu amo bastante tempo !
what's your weight in pounds?|qual e o seu time de local ?
i think we are lost!|eu acho que nos estao a vista !
i liked both kinds of chocolate.|eu comi tanto prazer de basebol
i've had a cold for two days.|eu tinha um monte de dois mil e um monte
i feel hungry.|eu me sinto muito mal de skate
my main food|minha cor de aniversario
i cleaned the kitchen three hours ago, and it's dirty again!|eu estou a maior negocio da boa
have you seen my camera?|voce viu minha namorada ?
i left japan on december ninth.|eu fui do japao em breve
they are both short.|eles estao os seus cabelos curtos
who wrote your favorite book?|quem escreveu o seu ultimo livro ?
swim towards us!|para a gente se para a gente !
why did you become a dancer?|por que voce se tornou se de surpresa ?
i forgot my username.|eu me esqueci meu hotel
the black horse wanted to run faster.|o cavalo ocioso desceu se mais depressa
how to read slowly.|como e que voce estava a vida selvagem tirada
when will sarah get back?|quando voce vai chegar em que errado ?
who swam the fastest?|quem enviou o mais veloz ?
which class is the most difficult?|qual aula e a mais ardua ?
the refrigerator is next to the wall.|a geladeira esta ao lado da muralha do temporal
he never checks his email.|ele nunca encontrou o seu email
the meeting was so boring!|o fazendeiro estava muito chato !
it's eight o'clock.|sao
do you remember?|voce lembra ?
what kind of vegetables would you like?|qual tipo de que voces curtem ?
i speak english and portuguese.|eu estou a falar ingles e ingles
it wasn't possible then.|nao esta quente , entao
they want to invite us to the party.|eles querem convidar a festa
the bathroom is really small.|o banheiro e muito chamada
brown is not my favorite color.|o seu nao e minha sacola de voces de voces de voces de voces de voces de voces de voces
he lets me drink his wine.|ele me deixa vinho dele
they import wood from brazil.|eles estao a gostar de carro do brasil
i didn't study enough.|eu nao estudo o suficiente
the more questions you ask, the more you will learn.|a embarcacao a fazer vezes a respeito de ser fresca ?
it is the first time the train has stopped there in four years.|e a primeira vez a praca desde o exterior
i have to accept her offer.|eu tenho que cobrir a sua propria
they'll watch the game with us.|eles vao estar a pe com o jogo de nos
i will give you a pen.|eu vou ligar pra voces uma maca
my bed is so soft.|minha mae esta muito famoso
we did not want to tell you.|nos nao gostamos de ti
do you teach spanish or portuguese?|voce esta a cadeira de lingua do ensino medio em portugues ?
can i borrow some money from you?|eu posso pegar emprestado dinheiro ?
i'll lend you a pair of wool socks.|eu vou me um copo de um pedaco de voces
do you think that they are unhappy?|voce pensa que eles estao ?
she works at a small school.|ela trabalha em uma outra quica
she was surprised to see a clown.|ela ficou surpresa em um actor
it's time to get dressed for school.|e a passar o chegar na escola
my daughter lost one of her shoes in the train station.|minha filha esta a minha filha atraente que a respeito do trem penso que a respeito do trem penso que
my sister can swim very well.|minha irma pode nadar muito bem depressa
whose are the shoes?|o quem esta o professor ?
i don't know if that's right.|eu nao sei se aquele falar a tua
some of the pieces are missing.|algumas das passageiras estao a mais ruins
did the nurse give you the medicine?|o agricultor a homens ?
they can create a car.|eles podem fazer um carro
i hope that's right.|eu espero que o clima nesse exacto momento
please find out where he is.|por favor , se faz esta com ele
they live in a small city.|eles estao a vir de uma cidade pequena
my art teacher was really good.|minha aula nao esta realmente bom
what i am saying is true.|o que eu estou a fazer uso de seguir esta verdade
what the newspaper says does not affect me.|o que e que o que o que nao pense perdido
he never drinks water.|ele nunca esta a beber agua nunca
paulo felt sick all day.|a meu chefe quando ela o dia
it is very cold this morning.|e muito frio essa noite
do you enjoy listening to music?|voce se importa de ficar a ouvir musica ?
the inside of the house is red.|a porcao de casa e a casa e a dirigir
can i see that shirt?|eu posso ver aquela camisa ?
can i hold the baby?|eu posso puxar o bebe ?
they're going to have lunch after the meeting.|eles vao fazer convite para meia noite
there's no hospital in the village.|nao ha um quarto em cima do refrigerador
at what time did he leave?|em que horas que ele atrasou ?
the monkey paid a lot of money for the drums.|o macaco pagou muito para o nosso passeio da floresta
they can prepare a good sandwich.|eles podem fazer uma boa causa
they have danced together twice before.|eles fizeram muita fome por gentileza
do you know how to drive?|voce sabe como voce andar ?
they will be selling food in the square as usual.|eles vao estar a falta de conta na conta de transportes
a group of friends.|um dos pes de policia
i always buy coffee at that café.|eu sempre bebo cafe em demasia
i got married on june twenty first.|eu acordei devido ao monte de ingles
what's wrong here?|o que esta errado ?
do you speak english every day?|voce fala ingles todo dia ?
he's going to work for a different company.|ele vai para uma replica internacional
he wants to meet her.|ele quer falar com sua mao favor
we will come at night.|nos vamos vir a noite
i lost the guidebook, so i bought a new one.|eu vi a maquina de filme ando de um molho no molho
have you ever had a million dollars?|voce ja teve um curso de bicicleta ?
where is the meeting?|onde esta o encontro ?
she said that i was crazy.|ela afirmou que ela estava convidado
he wants to ask us a big favor.|ele quer falar a um grande para a gente
i'm sixteen years old.|eu estou a cama de rosa
what do you need?|o que voce esta a precisar de um cartao ?
how many countries are there?|quantos fotografos quantos quartos ?
i want to read other books, but i cannot.|eu quero viajar de dentro de nossos , eu nao somos ?
their furniture looks old.|a sua equipe de musicos parece descolado de cigarros
it is very important in chinese philosophy.|e muito ou menos ingles
did you finish the puzzle?|voce entendeu as coisas ?
we finished the task.|nos terminei o alimento
you can take the form and fill it out later.|voce pode pegar a reuniao e a esquerda
that's the price without tax.|aquele e o preco , e o tributo
she would be happy with him.|ela tem um se tornou se ele
take this medicine twice daily.|esta a adorar de luz
i would not want that for my children.|eu nao quero que eu tenha um cafe da noite
a famous museum.|um grupo do cardapio
they chat online every night.|eles estao a jogar bola todos dias
the museum is close to the train station.|o museu esta proximo do trem a estacao de almofadas para a estacao de almofadas para a estacao de almofadas
i've never used this software before.|eu nunca usei essa usei esse sentido isso
i had tried everything.|eu tinha tentado de forma felicitacoes quando nasci
the subway goes towards the airport.|a estacao de policia do aeroporto ao aeroporto
his aim is to buy that property.|o seu alvo e de fazer a gente esta a nossa
did she give you the receipt?|ela lhe mostrar a nota ?
do you like having wine with dinner?|voce gosta de ficar com o que a janta ?
no, my friends do not write from spain.|nao , eu nao minhas amigas nao apaixonadas
i try to see my girlfriend.|eu vou ver minha namorada
i enjoy good conversation.|eu gosto de dar me divirto papo com frequencia
does anna like dancing?|a senhora gosta de dancar ?
how old are these stairs?|quantos anos tem quantos ?
he wants to study portuguese this month.|ele quer estudar fotografia nessa mes passado
what is she wearing?|o que e que esta a usar ?
what is the tallest building in new york?|qual e o predio mais alto da construcao ?
you should get a new toothbrush.|voce deveria fazer um novo canais
i'm not taking any science classes.|eu nao estou a querer qualquer coisa eletronico
her hair is very long.|o cabelo dela e muito bem popular
i like the local food.|eu gosto da equipe de autocarro
this plant is growing fast.|este e o lapis rapido
i pay the rent on the first of the month.|eu vou embora da prova no semestre
do you want an apple?|voce quer uma cadeira ?
which class is easier?|qual aula e mais facil ?
germany is definitely different from brazil.|a estacao de carro e meia de onibus
don't climb on those rocks.|nao suba na muralha da tempestade
the closet on the left is hers.|o armario esta a avaliacao e a cama
the restrooms are at the end of the hall.|os banheiros sao no final do corredor
go to their website and create an account.|va ate a sua carteira e uma pouco de forma
the plane took off on time.|o aviao decolou na hora
the teacher talked to them after class.|a professora falou a jogar musicas de aula de aula
do you want to go to the uk with me?|voce quer ir para o reino com o reino ?
this is the same jacket, but in a different color.|essa e a mesma colegios ando no lado de la da cidade diferente
i will change the end of the book.|eu irei mudar o pe do livro
our teacher didn't prepare us for the test.|nosso professor nao remove o teste para o teste
who sat next to the monkey on the plane?|quem se sentava ao lado de aviao ?
let's go sightseeing downtown on saturday.|vamos para o mercado no sabado
the new movie is funnier.|o um filme e mais engracado
my english homework.|minha aula de ingles
it's a little noisy.|e um pequeno e grave
what's the matter with your finger?|qual e o problema com o seu dedo ?
the site is special.|o local e iniciante
do you want your mother to lose her job?|voce quer sua mae ?
i can't find the entrance!|eu nao consigo encontrar a trilha !
next, take a left at the corner.|o dia do dia do lado de dentro da gente foi no lado de livros
there's a coffee shop across from the library.|ha um outro antigo em um caixote do escritorio
he uses a computer every day.|ele usa um computador cada dia
we had a wonderful time.|nos tinhamos um maravilhoso tempo
i could ask for everything that i wanted.|eu me receber para mim essa pouquinho
unfortunately, she has a terrible headache.|infelizmente , ela tem um video barriga
we wash dishes at a restaurant.|nos temos a laborar em um restaurante
do you have thirty dollars?|voce tem dolares ?
their house is old.|a moradia delas esta velha
we enjoyed working together.|nos iniciamos a gente em conjunto de sol !
the information is on their website.|o aviso esta na equipe de artes
walk to the middle of the block.|va a ir para o peixe do quarteirao
the cabinet on the right is empty.|o trabalho se ao calice e setenta
the singer hasn't recorded an album since the accident.|a macaca so nao um meio dia de computador desde o temporal
did you lose your cellphone?|voce conseguiu o seu telefone ?
i have never won a competition.|eu jamais tenho uma notificacao
why do we have to learn so much vocabulary?|por que nos temos que muito depressa ?
what level of english are you studying?|que medida de idioma ingles e ?
where's the exit?|onde esta a fazenda ?
could you get the documents from the printer?|voce pode me os oculos de ela ?
where's the closest hotel?|onde e o hospital mais proximo ?
will these curtains look good in the living room?|estas cortinas sao ouro lemos para a sala ?
fred cannot play the guitar.|o fred nao esta a tocar o violao
is your father here?|o teu pai esta aqui ?
the boy had come from school.|o menino tentava veio na escola
i stayed with my grandparents until the end of the semester.|eu dormi com os meus colegas no semestre
i am good, thank you.|eu estou otimo , obrigada
how are you doing, mr. turner?|como voce vai estar o seu turner ?
everybody needs water.|todos as plantas precisam de agua
this homework is very easy.|este dever de arte e muito facil
you will like the tomatoes from the garden.|voce vai gostar da galinha do topo do barulho
at what age do children start paying?|no que esta partindo do patos ?
i hope your wish will come true.|eu espero que eu ja enxergamos mais
i've done this lesson already.|eu ja assisti a essa aula ha pouco
that bear eats quite a lot of sweets.|aquela gata esta a comer muito bom de bombons
when you decide, let me know.|quando voce evita ali
they had decided to stay.|eles tinham decidiu cobrir antes de boi
she cut her finger while she was making dinner.|ela cortou o seu dedo quando estava surfando
what kind of juice would you like?|que tipo de um poder que voce curte ?
