English|Portugese
are you busy tonight?|voce esta noite ?
the flower shop is just before the mall.|a floricultura e grande e de compras
there is a golden key that opens this box.|ha uma a chave de abrir esta caixa ?
i had a chat with my best friend.|eu tive uma conversa com a minha melhor amigo
my grandfather gave me his watch.|meu avo me lembrar de seu hotel
there are four banks on this street.|existem camas de rua , esta rua
the restaurant is inside the hospital.|o restaurante e no restaurante a um hospital
can i sit here?|eu sou capaz de sentar aqui ?
i will pay in cash.|eu vou de tirar o inicio
i am not as tired as you.|eu nao estou tao cansada como voce
the bear traveled to japan by ship.|o urso viajou ao japao por conta propria
the dog ate my burger!|o cao comeu os meus dentes !
why did you stay at that job?|porque voce estava a fazer nesse trabalho ?
tom has lost every match since then.|a equipe do semestre novo
do they have jobs?|eles tem empregos ?
the vegetables from the supermarket are not very fresh.|as verduras sao mais rapido e muito nao
i am getting my diploma next week.|eu estou a vou pegar o meu certificado em seu aniversario !
we might win this game.|pode ser que pode ser que isso
let's make omelets for breakfast.|vamos fazer um cafe da manha ?
the skirts are too expensive.|a estoria tem muito caro
i remember when i started to cover this subject.|eu me eu iria nevar
you can't take a train from here.|voce nao pode fazer uma cama de banho ?
what i want is for them to talk, they are brothers.|que quero que eles estao a elas estao a elas estao a elas estao a elas estao a elas estao
the mouse learned a lot of songs in spanish.|o rato diretor de bastante tempo em demasia na equipa de rosa
normally, men are taller than women.|o senhor , estao a gostar de tomar mais ou menos que de voces
her pants are too small.|a calca dela tem grandes demais
he is going to ireland to visit his parents, isn't he?|ele vai a ir para a sua conhecer os seus pais se nao e de tirar o seu professor ,
mary's neck hurts when she reads.|a maria esta a uma bicicleta em relacao a ler ?
who walked with you to the museum?|quem dirigiu para o museu ?
what part of africa are you from?|qual e que e que voce e que voce e ?
it is a new section.|isso e um novo cachecol
he assumes we are human.|ele supoe que somos humanos
those shoes are expensive.|esses sapatos sao caras ?
there was a great lack of rice that year.|havia uma falta de bicicleta e de novo
how much is the rent?|quanto e o valor do aluguel ?
julia likes music.|a sua musica soul
the plane will be taking off as soon as possible.|o aviao ira ser a sua filme como possivel
where is the concert?|onde e o show ?
can you give me another example?|voce pode me dar um pouco de me um exemplo ?
the boss knew about the problems.|o chefe sabia do cabelo do cavalo
my favorite jacket.|minha cor de dentes
i do not think so.|eu nao penso isso
smoking is bad for you.|o aprendizado e importante para voce
we stopped dancing at 1 a.m.|nos fomos futebol na funcao de trabalho de pe
are you making a sandwich now?|voce esta a fazer um sanduiche neste momento ?
we can try.|nos podemos vestir os seus brinquedos
he's looking down.|ele esta demandando ver
don't put the bananas in the fridge.|nao coloque as pessoas dentro do frigorifico
we do not use the scissors.|nos nao uso o municipio
tax is not included.|o imposto nao esta incluido
yesterday we did not drink wine.|ontem nao o que nao se de voce
the woman with long hair.|a mulher esta com um cabelo vermelho
i haven't found my bracelet yet.|eu nao encontrei meu bracelete
my uncle is a cook at a german restaurant.|meu tio e uma boa em um restaurante em um restaurante em um restaurante italiano
why are they playing so badly?|por que eles estao a jogar bola quando eu se machucaram ?
which form should i fill out?|qual garfo , eu ja se viste o que ?
where do you keep the jam?|onde voce guarda o website ?
they study together every morning.|eles estao a cada domingo elas estao a cada semana
this afternoon or this evening?|esta noite , esta a venda ?
they are not independent.|eles nao sao o meu cao
this is my sister's pet.|esta e minha irma esta funcionando
i usually read the news on the internet.|eu leio o violino faz a cozinha
there is no subway in this city.|nao tem nenhuma coisa nesta cidade
do you want to study in the united kingdom?|voce quer estudar no que ?
what color are her eyes?|que cor e os seus pais ?
how much salt does he need?|quanto tempo que tem necessidade de quanto sangue ?
the green bowls are not theirs.|a guerra elas nao estao limpos ?
some of the boys play basketball.|algumas das meninas estao brincando de sol
do you like to play soccer?|voce gosta de jogar bola ?
how many children does she have?|quantos dentes tem quantos irmaos ?
i decided not to help you.|eu nao vou ajudar voce
do i need an operation?|eu preciso de uma esponja ?
did they have fun in morocco?|eles tem estado de fechar o mesmo ?
they are approximately the same age.|eles estao a mesma palavra e
we are good at that.|nos estamos a fazer uma rata
i will not watch too much tv.|eu nao vou errar em demasia
i want to stop smoking.|eu quero falar de fumar
i respect them.|eu as irma
fred isn't eating anything.|fred nao esta a gostar de nada
where is the supermarket?|onde e o fogo ?
do they have another phone number?|eles tem um telefone mais uma vez ?
the nurse came and put a cup of water on the table.|a enfermeira se sente uma gorjeta na mesa de mesa de mesa de mesa de mesa de mesa de mesa
guests should not use the pool after midnight.|os sapatos nao pode ser que esta a desejar ficar a respeito de livros
my doctor works at a big hospital.|meu medico trabalha em um grande de um grande ?
i would be happy if they gave me a car.|eu gostaria de beber um tio se eu eles me fizeram um carro
i really like fruit.|eu gosto de fruta
he definitely likes her.|ele esta a gostar de sua cadela
the model has long, blond hair.|o simio tem pouco de cabelos e loiro
why does the bear hate tomatoes?|por que e que o que o que tiver o preco com o teste de ouro ?
my jeans are too big.|meu irmao tem muito grandes ?
the turtles opened a fast food restaurant.|as tartarugas estao a bicicleta mais ?
how many factories do they have?|quantos patos tem elas ?
what do you eat?|o que voce esta comendo ?
very happy.|muito dificil de verdade
i received my diploma in 2005.|eu encontrei meu pe de frances
many people thought that the new dance was bad.|pessoas gastam que a tela novo
she does not have a family.|ela nao tem uma familia
they eat beef.|eles comem carne vermelha
it's two o'clock now.|sao horas e
they bought new furniture.|eles compraram uma caminhada
she searches for food.|ela esta a procura de comer o alimento
i'm not busy this morning.|eu nao estou a gostar de me de todas as vezes
do birds like salt?|as aves estao a gostar de carros ?
i love my country.|eu estou a minha chapeu
the girl eats pork.|a garota come porco
i wake up and take a shower.|eu me levanto e me
everyone always asks me that.|todos os documentos para mim
the police haven't come yet.|a policia nao veio ainda
they live here.|eles moram aqui
i usually get up late.|eu me dar dar dar comida
the machine was repaired last week.|a estacao de tv de boi
do you remember the name of the hotel?|voce se lembra do nome do hotel ?
i have an older brother and a little sister.|eu tenho um pequeno e um pequeno de leite
has marco ever had a job?|o marcos ja teve um trabalho ?
i was a baby.|eu estive um bebe
you can use this soap.|voce pode usar esse e possivel
she doesn't look like her mom.|ela nao esta a se parecendo a sua mae
how is your family?|como esta sua familia ?
my cellphone is in my back pocket.|meu telemovel e meu dorso ?
she doesn't want to go to the concert.|ela nao quer ir para o show
is anyone using the washing machine?|alguem esta a usar a maquina de roupa ?
classes are taught in english.|as aulas sao ensinadas em ingles
i will look at the floor.|eu vou ver o chao
the kids can go for a swim.|as criancas estao a ir pra dar uma coisa
we'll be playing against you guys next week.|nos vamos estar a jogar contra voces na semana que vem
her height, which is five feet, six inches.|a sua crianca e quatro polegadas
we need to reach that train.|nos precisamos de brinquedos para o trem
they only danced with each other.|eles dancaram muito com o outro
i need to learn.|eu preciso de fazer o jantar
the kids will practice the play after school.|as criancas vao estar tocando a brincar de faculdade
click here to download.|clique aqui para baixar ?
maybe the directions were wrong.|talvez a localizacao incorreta
the people talk to the king.|o rei se preparou o rei
julia has already shown me around.|a sua vez pela manha
he will sleep in the same room as her.|ele vai estar a dormir a mesma o seu quarto
his brother is in prison.|o seu irmao esta em sua boca
there are no bathrooms on the third floor.|nao tem classes no chao
the girl is too young for that.|a garota e muito por isso
they cannot start without us.|eles nao pode fazer a gente
they announce your book.|eles estao a sua apresentacao
should i add some pepper?|eu devo comprar um pouco de vez ?
i never used to see you when i was a girl.|eu nunca usei eu nao estava a eu fosse um eu mesmo
the pink car is not ours.|as criancas nao estao a comer
i want to buy clothes.|eu quero comprar nenhuma de eu
did you leave the boxes on the shelf?|voce entendeu de conferir os calcados na estante ?
we were standing in the middle of the platform.|nos estavamos em casa do oceano
there will be an art show downstairs.|havia um concerto de brinquedos no quarto
take food and water.|tire o seu agua
what's your favorite band?|qual e a sua materia de dentes ?
are there any hospitals in this town?|ha algum passatempo no arquivo ?
she wanted her sister's toy.|ela cortou a irma dela
my father is not as old as he looks.|o meu pai nao e tao famoso como se e bom como se e bom como se e bom como
you are driving really fast.|voce esta muito depressa ?
breakfast will be ready in a few moments.|o cafe da tarde vai ser em alguns instantes
can you look down?|voce pode olhar para cima ?
she is currently a model.|ela e um modelo de um agora
my name is luis.|meu irmao e o assunto
they want to know what happens.|eles querem saber o que esta a respeito de manga
how are you?|como voce esta ?
most people in canada speak english or french.|a pessoa mais perigoso o o em o almoco em especie de meu dia ?
how much oil should i use?|quanto de utilizar o aparelho de usar ?
i will get a basket for the apples.|eu vou receber um enfermeiro ao cesto
i wash my face every night.|eu estou a eu vou a minha pulseira na minha aula
can i see the blue dress?|eu posso ver o livro de bicicleta ?
they have put their pants on.|eles tem a calca na sua propria
never mind, it doesn't matter.|nao importa , nao esta fresco , nao e verdade
our goal is to spend less.|o nosso proposito e de vender
he'll be leaving as soon as possible.|ele ira ser que eu vou ser que puder
he needs a job.|ele precisa de um trabalho
do you want any ice cream?|voce quer comer ?
my pencil doesn't have an eraser.|meu irmao nao tem uma camiseta de verdade
i'm going down the street to buy ice cream.|eu vou a me a vestir a me a vestir a ser que responder a ser que responder a ser
we really wanted to go to australia.|nos precisamos de ir a sua casa
i made a few mistakes on the test.|fiz algumas mudancas no exame
we had known our mother.|nos tinhamos conhecido a sua mae
he's still very attractive.|ele esta muito muito atraente
i use a computer at work.|eu uso um computador para o trabalho
i don't know his first name.|eu nao sei o seu nome dele
he and his wife will be at the hotel tonight.|ele e a sua esposa na loja de o seu hotel
would you like any chocolate ice cream?|voce gostaria de gostar de gostar de gelado em demasia ?
i'm not fine.|eu nao estou a conseguir bem
we lived in germany last year.|nos comecamos a europa no ano passado
he speaks many languages.|ele esta a pensar ha idiomas
don't throw the ball in the house!|nao jogue antonio da casa !
the girl asks for water.|a garota esta a anotacao de bicicleta
i showed them part of the museum.|eu me ouco a gente
he stayed at the museum for three hours.|ele esta a tocar no aviao por horas
we're taking the subway to the zoo.|nos estamos a ir ao parque em o zoologico ?
is that monica's phone?|aquela e a ideia do aparelho de ?
do you need to go?|voce precisa de ir ?
hit the ball with the racket.|acerte a bola com a cozinha
john is too young to drink beer.|o jon e muito nova e de tomar pao para beber ?
the bus left at a quarter to nine.|a equipe do minimo para um quarto de ser para as nove
we were not invited.|nos nao estavamos a nos nao foi convidada
don't sit in the sun.|nao me sentar no sol
the note is on the yellow paper.|a mensagem e no cume do centro de banho
the restaurant opening was great.|a embarcacao esta a um casarao
i love warm weather!|eu estou a adorar o tempo !
what's your weight in pounds?|qual e o seu e o filme ?
i think we are lost!|eu acho que nos somos humanos !
i liked both kinds of chocolate.|eu cobri as especies de pais
i've had a cold for two days.|eu tomei uma loja de dois meses para dois dias
i feel hungry.|eu me sinto muito em demasia !
my main food|minha cor de comida japonesa ?
i cleaned the kitchen three hours ago, and it's dirty again!|eu fechei as a partir de graca que e mail , e mail , e mail , e mail ,
have you seen my camera?|voce viu a minha companheira ?
i left japan on december ninth.|eu deixei o japao em de voces
they are both short.|eles estao as pequenos
who wrote your favorite book?|quem foi o seu brinquedo novo ?
swim towards us!|corram ate mais !
why did you become a dancer?|porque voce se tornou um diploma ?
i forgot my username.|eu me encontrando do pe de meu ?
the black horse wanted to run faster.|o cavalo tem que se sente mais rapido
how to read slowly.|de que maneira e que nos ja de modo !
when will sarah get back?|quando voce vai de vir de papel ?
who swam the fastest?|quem e o o mais rapido ?
which class is the most difficult?|qual aula e a mais dispendiosa mais perigoso ?
the refrigerator is next to the wall.|o frigorifico esta ao lado do jogo
he never checks his email.|ele nunca tomou o seu e mail
the meeting was so boring!|a reuniao estava muito chato !
it's eight o'clock.|sao horas
do you remember?|voce se lembra ?
what kind of vegetables would you like?|qual tipo de eu nao comeu ?
i speak english and portuguese.|eu estou a eu estou a eu estou a lingua inglesa e o ingles
it wasn't possible then.|nao era muito em excesso
they want to invite us to the party.|eles querem fazer a festa para a festa
the bathroom is really small.|o banheiro e muito de verdade de verdade
brown is not my favorite color.|o rei nao e a minha cor de minha cor
he lets me drink his wine.|ele me permite me dele
they import wood from brazil.|eles importam a de o brasil
i didn't study enough.|eu nao estou a nenhum o suficiente
the more questions you ask, the more you will learn.|o mais pausadamente , tu deverias fazer um casaco
it is the first time the train has stopped there in four years.|e a primeira vez na equipa de dois anos
i have to accept her offer.|eu preciso de seus dentes
they'll watch the game with us.|eles vao deixar o jogo de nos
i will give you a pen.|eu vou te a uma pergunta
my bed is so soft.|minha cama e muito longo
we did not want to tell you.|nao gostamos de te ajudar voce
do you teach spanish or portuguese?|voce esta a fazer o habito de arroz em ingles ?
can i borrow some money from you?|voce pode me trazer um pouco de voce pode ?
i'll lend you a pair of wool socks.|eu vou ter um par de um par de um monte de um monte de um monte de la
do you think that they are unhappy?|voce acha que eles estao ?
she works at a small school.|ela trabalha em uma universidade
she was surprised to see a clown.|ela ficou surpresa em um monte de verdade
it's time to get dressed for school.|e util pra mim amanha
my daughter lost one of her shoes in the train station.|minha filha se deitar na sua estacao de trem
my sister can swim very well.|minha irma pode nadar muito rapido ?
whose are the shoes?|de quem e que os sapatos estao ?
i don't know if that's right.|eu nao sei o seu problema
some of the pieces are missing.|algumas das disciplinas em excesso !
did the nurse give you the medicine?|o navio ira mostrar a voce o pedido ?
they can create a car.|eles sao capazes de um carro
i hope that's right.|eu espero que existe um problema de banho
please find out where he is.|por favor , estas o que ele esta ?
they live in a small city.|eles estao vivendo em uma cidade pequena
my art teacher was really good.|minha professora estava muito bom
what i am saying is true.|que eu o que e o seu chapeu
what the newspaper says does not affect me.|o que o que esta a fazer o meu nome me ?
he never drinks water.|ele nunca esta a tomar agua
paulo felt sick all day.|o dia ela ja
it is very cold this morning.|esta muito gelado esta manha
do you enjoy listening to music?|voce esta a gostar de escutar musica ?
the inside of the house is red.|o pessoal do caixote e pequena
can i see that shirt?|eu posso ver aquela camisa ?
can i hold the baby?|eu posso pegar o bebe ?
they're going to have lunch after the meeting.|eles vao comer a gente depois do encontro
there's no hospital in the village.|nao tem nenhuma pessoa na cidadezinha
at what time did he leave?|a gente nao e a respeito do que ele nao esta a respeito do que ele nao esta a respeito
the monkey paid a lot of money for the drums.|o macaco pagou muito transito para o fruto na semana
they can prepare a good sandwich.|eles sao capazes de fazer um bom uma boa de aniversario
they have danced together twice before.|eles tem muitos aguardar antes de ir
do you know how to drive?|voce sabe de experimentar ?
they will be selling food in the square as usual.|eles estarao a iniciar a comida na prateleira como e de que eu fosse um pouco de seu namorado
a group of friends.|um grupo de amigos
i always buy coffee at that café.|eu sempre estou a gostar de tomar cafe com aquele vinho ?
i got married on june twenty first.|eu estou a lata de em pouco de alemao
what's wrong here?|o que esta a esse lugar ?
do you speak english every day?|voce fala chines ?
he's going to work for a different company.|ele vai para um acidente em uma companhia com uma empresa com uma companhia em uma empresa com uma companhia
he wants to meet her.|ele quer comer o seu proprio
we will come at night.|nos vamos chegar a noite
i lost the guidebook, so i bought a new one.|eu estou a semana , eu estive um novo problema de um novo problema de um novo problema de um
have you ever had a million dollars?|voce ja teve um tomateiro ?
where is the meeting?|onde e o custo do que ?
she said that i was crazy.|ela disse que eu estava a cara
he wants to ask us a big favor.|ele quer fazer um par de um bom coisa
i'm sixteen years old.|eu estou a beber anos
what do you need?|que e que voce esta a precisar ?
how many countries are there?|quantas cantoras tem quantos veiculos ?
i want to read other books, but i cannot.|eu quero fazer uma outra
their furniture looks old.|o lider delas esta a um ouro
it is very important in chinese philosophy.|e muito de shorts cinza
did you finish the puzzle?|voce deixou o valor do que ?
we finished the task.|nos deixamos o encontro
you can take the form and fill it out later.|voce pode pegar o formulario e mais tarde
that's the price without tax.|esse e o preco com os municipios
she would be happy with him.|ela ira ficar falando com ele
take this medicine twice daily.|vai medicamento esta a fazer o formulario e mail
i would not want that for my children.|eu nao desejo por que eu nao estou a desejar por que minhas coisas
a famous museum.|um jardim zoologico
they chat online every night.|eles jogaram na noite passada
the museum is close to the train station.|o museu esta perto do trem
i've never used this software before.|eu nunca usei esse momento antes
i had tried everything.|eu tinha vendo de oliva
the subway goes towards the airport.|o metro fica ao lado do aeroporto
his aim is to buy that property.|o seu proposito e que responder a se aquele quarto
did she give you the receipt?|ela mostrou a nota fiscal ?
do you like having wine with dinner?|voce gosta de beber vinho ?
no, my friends do not write from spain.|nao , nao escrevem do colegio
i try to see my girlfriend.|eu vou ver a minha namorada
i enjoy good conversation.|eu gosto de uma falta
does anna like dancing?|a anna gosta de danca ?
how old are these stairs?|quantos cm tem ?
he wants to study portuguese this month.|ele quer estudar este mes de dormir
what is she wearing?|o que e que esta a dizer isso ?
what is the tallest building in new york?|qual e o predio mais nova mais rica ?
you should get a new toothbrush.|voce deveria obter um novo
i'm not taking any science classes.|eu nao estou a adorar voar em sua propria
her hair is very long.|o seu cabelo esta muito grande
i like the local food.|eu gosto da comida da comida
this plant is growing fast.|este animal e a fruta de banho ?
i pay the rent on the first of the month.|eu estou a limpar o passeio do passeio do mes que vem
do you want an apple?|voce quer uma esponja ?
which class is easier?|qual aula e mais facil ?
germany is definitely different from brazil.|a gente esta a precisar de um pequeno tipo de fumar
don't climb on those rocks.|nao corra em volta
the closet on the left is hers.|o guarda esta a voar na sua cara
the restrooms are at the end of the hall.|os banheiros sao no final do corredor
go to their website and create an account.|va para a sua roupa e a cama
the plane took off on time.|o aviao tomou a tempo no horario
the teacher talked to them after class.|o professor falou quando eles estao a aula
do you want to go to the uk with me?|voce quer ir para o outro snowboarding ?
this is the same jacket, but in a different color.|esta e a uma camera de uma cor diferente
i will change the end of the book.|eu vou mudar o livro de livro
our teacher didn't prepare us for the test.|nosso professor nao esta a preparar conta para o teste
who sat next to the monkey on the plane?|quem dirigiu para o lado do aviao ?
let's go sightseeing downtown on saturday.|vamos a um no ponto de sabado
the new movie is funnier.|o livro de livro de livro e mais novo
my english homework.|meu curso de ingles
it's a little noisy.|e um pouco de verdade
what's the matter with your finger?|qual o problema com o seu filho ?
the site is special.|o lugar e especial e famosa
do you want your mother to lose her job?|voce quer sua irma ?
i can't find the entrance!|eu nao consigo achar a trilha !
next, take a left at the corner.|corram , vamos a vir na esquina e a comunidade
there's a coffee shop across from the library.|ha um outro pedaco de uma coisa em frente da uma coisa
he uses a computer every day.|ele usa um jornal cada dia
we had a wonderful time.|nos tivemos um tempo fantastico
i could ask for everything that i wanted.|eu poderia fazer um par de isso
unfortunately, she has a terrible headache.|infelizmente , eles tem uma dor de gorros
we wash dishes at a restaurant.|nos vamos ao um restaurante italiano
do you have thirty dollars?|voce tem vinte dolares ?
their house is old.|a residencia delas e velha de faculdade
we enjoyed working together.|nos estavamos a estudar em conjunto
the information is on their website.|a informacao esta na sua saude
walk to the middle of the block.|ande ate o um rato
the cabinet on the right is empty.|o o sabonete esta a fruta
the singer hasn't recorded an album since the accident.|a empresa ainda nao tem um picnic no que o que o que o que o que o que o
did you lose your cellphone?|voce esqueceu o seu telefone ?
i have never won a competition.|eu nunca tenho sido uma rocha !
why do we have to learn so much vocabulary?|porque e que nos devemos trajar um uniforme esta a um uniforme esta a um uniforme esta a um bocado
what level of english are you studying?|qual e o que e o que e o de que e o que e o de que e o
where's the exit?|onde e que esta a guia de onde ?
could you get the documents from the printer?|voce poderia pegar o valor da cidade ?
where's the closest hotel?|onde e o mais proximo hospital ?
will these curtains look good in the living room?|essas sacolas de estar na sua sala de estar ?
fred cannot play the guitar.|fred nao pode tocar o violao
is your father here?|seu pai esta a gostar ?
the boy had come from school.|o menino tem quatro de john chegou da universidade
i stayed with my grandparents until the end of the semester.|eu vendi minha avo no aviao
i am good, thank you.|eu estou otimo , obrigada
how are you doing, mr. turner?|como voce esta voce e que tu estas a fazer o seu hotel ?
everybody needs water.|todo dia de leite
this homework is very easy.|essa licao e muito dificil
you will like the tomatoes from the garden.|voce vai encontrar as musicas da area mais
at what age do children start paying?|o o o o o o o o o o o o o o o o o o o o
i hope your wish will come true.|eu tenho que a querer ser capaz de tomar
i've done this lesson already.|eu ja assisti a cozinha algo
that bear eats quite a lot of sweets.|esse actor esta bem muitos bombons
when you decide, let me know.|quando voce , voce me , eu me , eu me , eu me , por obsequio
they had decided to stay.|eles sairam
she cut her finger while she was making dinner.|ela cortou a sua crianca quando ela estava a sua casa
what kind of juice would you like?|que tipo de comprar um pouco de voces ?
