English|Portugese
my uncle is a cook at a german restaurant.|meu tio e um motorista de uma hora em uma faculdade em uma boate de uma hora em uma faculdade
why are they playing so badly?|por que eles estao a falar bastante depressa ?
which form should i fill out?|que eu crescer
where do you keep the jam?|onde voce guarda os cogumelos ?
they study together every morning.|eles estudam em ingles estao a cada manha
this afternoon or this evening?|esta certo , essa noite ?
they are not independent.|eles nao estao a mim
this is my sister's pet.|esta e minha irma
i usually read the news on the internet.|eu estou a cozinhar a tela por a rua
there is no subway in this city.|nao ha nada nesse municipio
do you want to study in the united kingdom?|voce quer estudar no museu ?
what color are her eyes?|que cor sao os nossos cor ?
how much salt does he need?|quanto de quanto de quanto ?
the green bowls are not theirs.|a guerra estao nao estao a resposta
some of the boys play basketball.|algumas das meninas brincam de basquete
do you like to play soccer?|voce gosta de jogar futebol ?
how many children does she have?|quantos irmaos tem ?
i decided not to help you.|eu nao queria te ajudar
do i need an operation?|eu preciso de uma linguagem ?
did they have fun in morocco?|eles ficaram a partir de partir de partir de aeronave ?
they are approximately the same age.|eles sao as mesmas do que os pes
we are good at that.|nos somos capazes de quase nessa coisa
i will not watch too much tv.|eu nao vou vir em demasia em excesso
i want to stop smoking.|eu quero dar uma loja
i respect them.|eu me as
fred isn't eating anything.|o seu nao nao esta a desejar nada bastante
where is the supermarket?|onde esta o banco ?
do they have another phone number?|eles tem mais um telefone ?
the nurse came and put a cup of water on the table.|a enfermeira colocou bastante grandes de cima da hora
guests should not use the pool after midnight.|os nao devemos utilizar o monte bem ontem
my doctor works at a big hospital.|meu medico trabalha em uma grande universidade
i would be happy if they gave me a car.|eu gostaria de estar a preocupar
i really like fruit.|eu realmente gosto de verdade
he definitely likes her.|ele realmente gosta de sua
the model has long, blond hair.|o guarda tem muita coberta e um escritorio
why does the bear hate tomatoes?|por que a mecanica rapido ?
my jeans are too big.|os meus amigos sao muito grande
the turtles opened a fast food restaurant.|as tartarugas fizeram uma nova banda de um favor
how many factories do they have?|quantas mangas tem elas ?
what do you eat?|o que voce come o que ?
very happy.|ele esta feliz
i received my diploma in 2005.|eu retiro meu bone de meu quarto
many people thought that the new dance was bad.|varias meias , esse retrato estava terrivel
she does not have a family.|ela nao tem uma familia
they eat beef.|eles almocam de boi
it's two o'clock now.|sao seis horas
they bought new furniture.|eles compraram novos cedo
she searches for food.|ela procura pela comida
i'm not busy this morning.|eu nao estou atarefado em excesso
do birds like salt?|as aves gostam de feijoes ?
i love my country.|eu amo minha pulseira
the girl eats pork.|a menina esta a comer carne
i wake up and take a shower.|eu me levanto de tres agua e um pouco de um pouco
everyone always asks me that.|todo mundo sempre a mim que aquilo
the police haven't come yet.|a policia nao veio ainda
they live here.|eles moram aqui
i usually get up late.|eu li uma aplicacao pra explicar duvidas
the machine was repaired last week.|a secretaria estava chegaram na ultima hora
do you remember the name of the hotel?|voce lembra do nome do hotel ?
i have an older brother and a little sister.|eu tenho um livro e um tratamento
has marco ever had a job?|o marco fez um emprego em um trabalho ?
i was a baby.|eu estava um bebe
you can use this soap.|voce pode usar esse livro deste jeito
she doesn't look like her mom.|ela nao esta a comer o seu nome
how is your family?|como esta a sua familia ?
my cellphone is in my back pocket.|meu telefone e em minha cadeira de estimacao
she doesn't want to go to the concert.|ela nao quer ir para a tv
is anyone using the washing machine?|alguem esta a usar a maquina de lavar roupa ?
classes are taught in english.|as arvores sao em chines
i will look at the floor.|eu vou olhar o piso
the kids can go for a swim.|as criancas pode ir para uma pergunta
we'll be playing against you guys next week.|a gente ira jogar contra a semana passada
her height, which is five feet, six inches.|a sua esposa , isso e apaixonado as pessoas
we need to reach that train.|nos precisamos de possuir aquele trem
they only danced with each other.|eles somente possuiram um com uns com a aula
i need to learn.|eu preciso de fazer alguma coisa
the kids will practice the play after school.|as criancas vao praticar a danca
click here to download.|clique aqui para fazer o novo
maybe the directions were wrong.|possivelmente a iluminacao foram vermelhas
the people talk to the king.|os dois falam quase ao norte
julia has already shown me around.|a julia tem que eu canto ao redor
he will sleep in the same room as her.|ele vai dormir no seu quarto
his brother is in prison.|seu irmao esta no programa de dente
there are no bathrooms on the third floor.|nao ha classes no aeroporto
the girl is too young for that.|a menina e muito feliz por excesso
they cannot start without us.|eles nao chegaram a gente ja nos
they announce your book.|eles estao a sua neta mais
should i add some pepper?|eu devo colocar um pouco de vir ?
i never used to see you when i was a girl.|eu nunca costumava ver te quando eu crescer
the pink car is not ours.|as casa de cor de cor de cor de cor de cafe da verdade
i want to buy clothes.|eu quero comprar vestimentas
did you leave the boxes on the shelf?|voce esqueceu o bracelete na prateleira ?
we were standing in the middle of the platform.|nos ficamos em um picnic na festa
there will be an art show downstairs.|ha um melhor especial no meio de fora de fora de fora de fora de fora de fora de fora
take food and water.|a gente e agua e agua
what's your favorite band?|qual e sua materia de pop ?
are there any hospitals in this town?|ha algum quarto de sala de aviao ?
she wanted her sister's toy.|ela quis comer a sua irma
my father is not as old as he looks.|meu pai nao e tao dispendioso em que ele e bem bem
you are driving really fast.|voce e muito bonitas de skate
breakfast will be ready in a few moments.|o seu conjuge recebeu um papo no peito ontem
can you look down?|voce pode olhar para mim ?
she is currently a model.|ela e uma boa uma uma uma modelo
my name is luis.|meu cachorro e o luis
they want to know what happens.|eles querem saber que acontece
how are you?|como voce esta voce ?
most people in canada speak english or french.|a gente mais ou no idioma ingles estao a flauta de anos
how much oil should i use?|quanto tempo que eu o duo ?
i will get a basket for the apples.|eu vou pegar um credito para a policia
i wash my face every night.|eu estou a minha coruja todos os dias
can i see the blue dress?|eu posso ver a sua cor de musicos ?
they have put their pants on.|eles tem olhos estao a sua calca
never mind, it doesn't matter.|nao se preocupe , nao tem ?
our goal is to spend less.|nosso objetivo e a gente tem jogado tenis
he'll be leaving as soon as possible.|ele vai estar a sair no estomago em excesso
he needs a job.|ele precisa de um emprego
do you want any ice cream?|voce quer alguma algum ?
my pencil doesn't have an eraser.|meu namorado nao tem uma blusa
i'm going down the street to buy ice cream.|eu estou a tentar as rua a partir de novo hoje
we really wanted to go to australia.|nos realmente gosto de ir para a gente
i made a few mistakes on the test.|eu fiz um pouco de teste no teste
we had known our mother.|nos tinhamos conhecido nosso proprio
he's still very attractive.|ele esta muito charmoso mesmo
i use a computer at work.|eu estou a utilizar computador no emprego
i don't know his first name.|eu nao sei o seu nome
he and his wife will be at the hotel tonight.|ele e a sua mao de la a noite
would you like any chocolate ice cream?|voce gostaria de utilizar bastante qualquer locacao ?
i'm not fine.|eu nao estou capacitado a aplicacao
we lived in germany last year.|nos nos nos nos nos nos nos nos nos nos nos nos nos nos nos nos nos nos nos nos
he speaks many languages.|ele esta a saber um idiomas
don't throw the ball in the house!|nao jogue a bola na cidade !
the girl asks for water.|a menina esta a esperar por agua
i showed them part of the museum.|eu vi a mim as estudantes
he stayed at the museum for three hours.|ele se na escola durante duas horas
we're taking the subway to the zoo.|nos estamos a ir a comida do jardim do parque
is that monica's phone?|esse e o seu telefone ?
do you need to go?|voce precisa ir ?
hit the ball with the racket.|acerte a bola com a tempestade
john is too young to drink beer.|john e muito rapido para beber cerveja
the bus left at a quarter to nine.|o horario se encontra para as
we were not invited.|nos nao estavamos dirigimos
don't sit in the sun.|nao se sentar no sol
the note is on the yellow paper.|a questao esta na lousa
the restaurant opening was great.|a investigacao esta fundo em excesso
i love warm weather!|eu amo a gostar !
what's your weight in pounds?|qual e o seu cabelo de animais de seus pais ?
i think we are lost!|eu acho que nos corremos com demasia !
i liked both kinds of chocolate.|eu fiz avaliacao de leite
i've had a cold for two days.|eu tive um copo de um quarto
i feel hungry.|eu me sinto estorias de boi
my main food|minha cor diferentes
i cleaned the kitchen three hours ago, and it's dirty again!|eu estou a curtir tres aulas de chuveiro ha tres sanduiches de galinha !
have you seen my camera?|voce viu meu outro ?
i left japan on december ninth.|eu vi o japao a cama de frances
they are both short.|eles sao os seus filhos
who wrote your favorite book?|quem escreveu o seu brinquedo porque de aviao ?
swim towards us!|nos vamos nos pedimos
why did you become a dancer?|por que voce colocou uma viagem ?
i forgot my username.|eu estava a minha amiga
the black horse wanted to run faster.|o cobertor nao quis ser mais rapido
how to read slowly.|qual jeito uma mensagem de volta ?
when will sarah get back?|quando vai iniciar daqui ?
who swam the fastest?|quem escreveu o formulario ?
which class is the most difficult?|qual aula e a mais interessante ?
the refrigerator is next to the wall.|a geladeira esta ao lado da montanha
he never checks his email.|ele nunca se a sua marca
the meeting was so boring!|a festa estava bem perfeitamente !
it's eight o'clock.|sao horas
do you remember?|voce lembra se ?
what kind of vegetables would you like?|que tipo de levar para voce gosta ?
i speak english and portuguese.|eu estou a falar ingles e lingua do idioma ingles e uma coruja
it wasn't possible then.|nao estava quente , ela
they want to invite us to the party.|eles querem visitar a festa
the bathroom is really small.|a casa de pequeno e realmente e de demasia
brown is not my favorite color.|o seu nao e meu desporte
he lets me drink his wine.|ele me permite beber vinho
they import wood from brazil.|eles importam de diferentes de direcao do brasil
i didn't study enough.|eu nao estudo de fruta
the more questions you ask, the more you will learn.|a intencao esta a fazer uma chapeu para a mais uma boa
it is the first time the train has stopped there in four years.|e a gente a estacao de trem da parte do lado de camas no minimo de camas no minimo de
i have to accept her offer.|eu tenho de ver o seu lado de banho
they'll watch the game with us.|eles vao fazer a partida com a gente
i will give you a pen.|eu irei ligar pra voce
my bed is so soft.|minha mae e muito lenta
we did not want to tell you.|nos nao gostamos de te
do you teach spanish or portuguese?|voce esta a morar de bicicleta ou de portugues ?
can i borrow some money from you?|eu posso pegar um pouco de pe de ti mesmo ?
i'll lend you a pair of wool socks.|eu vou gostar de volta de um pouco de um pouco de dois carros
do you think that they are unhappy?|voce cre que eles estao bem ?
she works at a small school.|ela esta laborando em uma pequena a trabalhar
she was surprised to see a clown.|ela estava surpresa ao marcelo uma amiga
it's time to get dressed for school.|agora ela vai ter que a ir para a escola
my daughter lost one of her shoes in the train station.|minha filha faleceu ha um desconto na loja de onibus de onibus
my sister can swim very well.|minha irma pode nadar muito bem
whose are the shoes?|as chaves estao ?
i don't know if that's right.|eu nao sei se aquele ator esta a direita
some of the pieces are missing.|alguns dos restaurantes estao a questao
did the nurse give you the medicine?|a guerra imprimiu o resto escritorio ?
they can create a car.|eles podem trabalhar
i hope that's right.|eu espero que essa coberta , tenha capaz de que esta bem
please find out where he is.|por favor , se esta ele esta a
they live in a small city.|eles estao a habitar em uma cidade pequena
my art teacher was really good.|minha professora de fato foi muito bom
what i am saying is true.|o que eu sou a minha coruja e de galinha
what the newspaper says does not affect me.|que a gata nao levara muito ?
he never drinks water.|ele nunca bebe agua
paulo felt sick all day.|por gente esta se todos os dias inteiro
it is very cold this morning.|e muito frio este cafe
do you enjoy listening to music?|voce gosta de ouvir musicas
the inside of the house is red.|a estacao de flores e neste momento
can i see that shirt?|eu posso ver aquilo ?
can i hold the baby?|eu posso tomar a bebe ?
they're going to have lunch after the meeting.|eles estao indo almocar depois da festa
there's no hospital in the village.|nao ha um banco no vilarejo
at what time did he leave?|a duo tem que ele esta a partir ?
the monkey paid a lot of money for the drums.|o macaco pagou uma chavena de estar no lugar na floresta
they can prepare a good sandwich.|eles podem ouvir um bom tempo
they have danced together twice before.|eles tiveram varios entrar por isso
do you know how to drive?|voce sabe como vai fazer musica ?
they will be selling food in the square as usual.|eles estarao a tocar na sua bolsa
a group of friends.|um grupo de onibus
i always buy coffee at that café.|eu sempre estou a tomar cafe em relacao a gente
i got married on june twenty first.|eu sentei ao dia vinte e de tres
what's wrong here?|o que esta errado aqui ?
do you speak english every day?|voce fala ingles todos os dias ?
he's going to work for a different company.|ele vai trabalhar para uma vez no momento internacional
he wants to meet her.|ele quer se a respeito do seu
we will come at night.|nos vamos vir a noite
i lost the guidebook, so i bought a new one.|eu almocei no que eu entrei em um pouco tempo
have you ever had a million dollars?|voce ja tiveram um correio eletronico ?
where is the meeting?|onde e a qual lugar ?
she said that i was crazy.|ela disse que eu odeio do pe esquerdo
he wants to ask us a big favor.|ele quer perguntar por um homem
i'm sixteen years old.|eu estou preocupado por cabelo de shorts
what do you need?|que e que esta precisando de um ?
how many countries are there?|quantas pontes ha ?
i want to read other books, but i cannot.|eu quero dar mais uma cerveja , mas eu nao a minha vez , nao que nao esta funcionando
their furniture looks old.|as nossas estao bem antigos
it is very important in chinese philosophy.|e muito importante monte de uma media
did you finish the puzzle?|voce fez o fazenda ?
we finished the task.|nos escolhemos o proximo modo
you can take the form and fill it out later.|voce pode dar a agente da conta de tarde
that's the price without tax.|esse e o custo de tributos
she would be happy with him.|ela iria adorar estar com um pouco de ela
take this medicine twice daily.|preenche danca novos
i would not want that for my children.|eu nao gostaria de minha companheira
a famous museum.|um jardim
they chat online every night.|eles comecaram a praticar hockey a cada noite toda noite
the museum is close to the train station.|o museu e perto do trem
i've never used this software before.|eu nunca utilizei esse saldo antes
i had tried everything.|eu havia tentado de tudo bem
the subway goes towards the airport.|o sofa esta a olhar para o aeroporto
his aim is to buy that property.|a sua meta e ser que os filhos
did she give you the receipt?|ela mostrou a nota ?
do you like having wine with dinner?|voce gosta de ouvir o radio com o jantar ?
no, my friends do not write from spain.|nao , meus amigos nao estao a minha bicicleta nem andar
i try to see my girlfriend.|eu estou a tentar encontrar minha namorada
i enjoy good conversation.|eu estou curtindo cantar com certeza
does anna like dancing?|a senhora gosta de jaqueta ?
how old are these stairs?|qual e quantos aniversarios estao caminhando ?
he wants to study portuguese this month.|ele quer estudar em portugues nesse mes
what is she wearing?|o que ela esta a usar ?
what is the tallest building in new york?|qual e o edificio mais novo ?
you should get a new toothbrush.|voce deve fazer um novo cachecol
i'm not taking any science classes.|eu nao estou a doer o meu momento
her hair is very long.|o seu fregues e muito comprida
i like the local food.|eu gosto da equipe de funcionarios
this plant is growing fast.|este bife e a guarda chuvas
i pay the rent on the first of the month.|eu estou a televisao no setor no mundo
do you want an apple?|voce quer uma questao ?
which class is easier?|qual aula e mais facil ?
germany is definitely different from brazil.|a cada procura e diferente do brasil
don't climb on those rocks.|nao suba as cidades
the closet on the left is hers.|o guarda esta a policia esta pequena
the restrooms are at the end of the hall.|os wcs sao no fim do corredor
go to their website and create an account.|va para a sua geracao e algumas de alunos
the plane took off on time.|o aviao andava no aviao
the teacher talked to them after class.|a professora disse para a aula com a aula
do you want to go to the uk with me?|voce quer ir para o reino a radio para mim ?
this is the same jacket, but in a different color.|esta e a mesma de casa nacional
i will change the end of the book.|eu vou mudar a bola ao livro
our teacher didn't prepare us for the test.|a nossa professora nao foram a viajar de aeronave
who sat next to the monkey on the plane?|quem se sentava junto ao minimo na aeronave ?
let's go sightseeing downtown on saturday.|vamos dar uma loja de semana
the new movie is funnier.|o projecto que e mais divertido
my english homework.|minha aula de bicicletas
it's a little noisy.|e um pequeno mapa
what's the matter with your finger?|qual e o problema com seu telefone ?
the site is special.|o site e especial
do you want your mother to lose her job?|voce quer tua mae adiantado de ?
i can't find the entrance!|eu nao consigo encontrar a entrada !
next, take a left at the corner.|o seu taxi para a esquina
there's a coffee shop across from the library.|ha uma aranha mais entre a biblioteca
he uses a computer every day.|ele usa um dicionario todos os dias
we had a wonderful time.|nos tivemos um tempo impressionante
i could ask for everything that i wanted.|eu poderia perguntar por aquilo
unfortunately, she has a terrible headache.|infelizmente , ela esta a nova longa
we wash dishes at a restaurant.|nos casamos em um restaurante
do you have thirty dollars?|voce tem dolares ?
their house is old.|a morada deles e velha
we enjoyed working together.|nos iniciamos a habitar juntos
the information is on their website.|a informacao esta na cadeira do jantar
walk to the middle of the block.|vai ate o camundongo do caixote do video
the cabinet on the right is empty.|o carro esta na area e setenta
the singer hasn't recorded an album since the accident.|a avaliacao nao gravam um navio no domingo
did you lose your cellphone?|voce viu o seu telefone ?
i have never won a competition.|eu nunca tenho muitos ter um medico
why do we have to learn so much vocabulary?|por que e que e que e que e que e que e que e que e que e que
what level of english are you studying?|que e qual tipo de idioma que facil ?
where's the exit?|onde e a senhora esta a carta ?
could you get the documents from the printer?|voce poderia pegar a iluminacao da cidade ?
where's the closest hotel?|onde e o hospital mais ?
will these curtains look good in the living room?|essas cortinas estao a manga e em ponto de convivio ?
fred cannot play the guitar.|o antonio nao sabe tocar o violino
is your father here?|vosso pai e aqui ?
the boy had come from school.|o menino tem de ir embora do jantar
i stayed with my grandparents until the end of the semester.|eu cortei o meu show quando os dias no semestre passado
i am good, thank you.|estou otimo , obrigada
how are you doing, mr. turner?|como voce esta a gostar de seu pais ?
everybody needs water.|todo pais agua e agua
this homework is very easy.|esta licao esta muito bem
you will like the tomatoes from the garden.|voce vai tocar violino da estacao de livros
at what age do children start paying?|a vossa avo a fazer os estudantes ?
i hope your wish will come true.|eu tenho esperanca que tenha que tenha que seu papai vai tres coberta
i've done this lesson already.|eu ja vi essa a ela ja
that bear eats quite a lot of sweets.|aquela camiseta esta bem famoso bastante grandes
when you decide, let me know.|quando voce vai te , vamos
they had decided to stay.|eles cultivam se apresentaram se neste momento
she cut her finger while she was making dinner.|ela cortou a sua pulseira dela quando ela estava a surfar
what kind of juice would you like?|que tipo de chocolate voce gosta ?
