English|Portugese
don't put the bananas in the fridge.|nao coloque as janelas no canada
we do not use the scissors.|nos nao usamos o casaco
tax is not included.|obrigado nao e afiada
yesterday we did not drink wine.|quando nao vai vinho praticar snowboard
the woman with long hair.|a mulher os homens se completamente diferente
i haven't found my bracelet yet.|eu nao encontrou minha pulseira ainda
my uncle is a cook at a german restaurant.|meu tio e um sanduiche de um restaurante italiano
why are they playing so badly?|por que eles estao cultivando como ?
which form should i fill out?|qual maca eu canto com isso ?
where do you keep the jam?|onde voce guarda o cafe ?
they study together every morning.|eles estudam juntos todo dia
this afternoon or this evening?|este voce e mais perigoso ?
they are not independent.|eles nao estao tao caro
this is my sister's pet.|este e minha culpa e a aula
i usually read the news on the internet.|eu nao leio as criancas do tom
there is no subway in this city.|nao ha algo esta dentro
do you want to study in the united kingdom?|voce quer estudar na australia ?
what color are her eyes?|o que horas estao dele ?
how much salt does he need?|quanto sal ele precisa ?
the green bowls are not theirs.|os cheques estavam nao demais
some of the boys play basketball.|algumas das meninas brincam com todo
do you like to play soccer?|voce gosta de jogar futebol ?
how many children does she have?|quantos corredores ela tem ?
i decided not to help you.|eu nao sabia voce
do i need an operation?|eu preciso de uma prova ?
did they have fun in morocco?|eles tem muitas perguntas ?
they are approximately the same age.|eles sao as flores eram famosos
we are good at that.|nos estamos otimos no trabalho
i will not watch too much tv.|eu nao vou assistir nada ate
i want to stop smoking.|eu quero deixar online
i respect them.|eu estou anteriormente as
fred isn't eating anything.|a que nao sao cozinhar nada
where is the supermarket?|onde esta ao supermercado ?
do they have another phone number?|eles tem outro novo soul favorito ?
the nurse came and put a cup of water on the table.|a enfermeira parece pronto e uma gorjeta da mesa
guests should not use the pool after midnight.|ela nao usar as criancas do tom
my doctor works at a big hospital.|meu medico trabalha em um hospital
i would be happy if they gave me a car.|eu estarei de que eles me dar um dicionario
i really like fruit.|eu realmente gosto muito
he definitely likes her.|ele gosta de cafe dela
the model has long, blond hair.|a senhora demais demais , e completamente
why does the bear hate tomatoes?|por que comecar quando aquela banda ?
my jeans are too big.|meu papel sao de janeiro
the turtles opened a fast food restaurant.|o teste de uma nova na rua
how many factories do they have?|quantos quilometros eles tem ?
what do you eat?|o que voce come ?
very happy.|john tem
i received my diploma in 2005.|eu moro com aquele macarrao
many people thought that the new dance was bad.|pessoas gastam pretas descanso
she does not have a family.|ela nao tem uma familia
they eat beef.|eles almocam carne bovina
it's two o'clock now.|sao duas horas
they bought new furniture.|eles compraram algumas idiomas
she searches for food.|ela procura por comida dos fundos
i'm not busy this morning.|eu nao estou ocupado mais dificil
do birds like salt?|passaros gostam de lavar ?
i love my country.|eu amo minha aula de fotografia
the girl eats pork.|a menina tem seu cargo
i wake up and take a shower.|eu acordo a hamburguer
everyone always asks me that.|todo mundo nao gosta de isso
the police haven't come yet.|a policia nao veio ainda
they live here.|eles moram aqui
i usually get up late.|eu nao me ver , entao
the machine was repaired last week.|a estacao de menos menos na semana passada
do you remember the name of the hotel?|voce a tv da viagem ?
i have an older brother and a little sister.|eu tenho um pouco de um pouco de um pouco de um pouco de um pouco de um
has marco ever had a job?|meus amigos ja comeu um trabalho ?
i was a baby.|eu estava um bebe
you can use this soap.|voce pode usar aquele tipo de onibus
she doesn't look like her mom.|ela nao comem como a atriz dela
how is your family?|como sua senha ?
my cellphone is in my back pocket.|meu historico esta tocando minha minha minha tia
she doesn't want to go to the concert.|ela nao quer ir para a festa
is anyone using the washing machine?|alguem esta aqui a sua bicicleta especial ?
classes are taught in english.|aquelas sao ensinadas as licoes de ingles
i will look at the floor.|eu vou olhar o chao
the kids can go for a swim.|as criancas gostam de algo para uma saia
we'll be playing against you guys next week.|nos estaremos jogando contra entao que na poltrona no tempo na semana
her height, which is five feet, six inches.|o hotel , por que vinte e magra
we need to reach that train.|nos precisamos estacionar naquela loja
they only danced with each other.|eles so almoca com o outro
i need to learn.|eu preciso da aula
the kids will practice the play after school.|as criancas estavam coberto com a cama dele dele
click here to download.|clique aqui para baixar o almoco
maybe the directions were wrong.|talvez a massa estavam em tres
the people talk to the king.|os estudantes chegaram ao meio
julia has already shown me around.|julia ja fez me volta
he will sleep in the same room as her.|ele estara nebuloso a loja de quarto esta com a minha casa
his brother is in prison.|o apartamento dele e em ingles
there are no bathrooms on the third floor.|nao ha duas na parede
the girl is too young for that.|a menina esta disponivel para mim
they cannot start without us.|eles nao pode tocar de aviao
they announce your book.|eles assistem seu livro
should i add some pepper?|eu deveria carne nem video la ?
i never used to see you when i was a girl.|eu nunca tinha sentido que eu cheguei em mim
the pink car is not ours.|o peixe roxo nao foi seco
i want to buy clothes.|eu quero comprar os pratos
did you leave the boxes on the shelf?|voce obteve os pratos em o campo ?
we were standing in the middle of the platform.|nos vamos de a biblioteca do hotel
there will be an art show downstairs.|sera um livro por dois anos
take food and water.|nosso comida e agua
what's your favorite band?|qual e a sua musica pop ?
are there any hospitals in this town?|ha alguma atividade neste papel mais baratos ?
she wanted her sister's toy.|ela sempre dele o cavalo do almoco
my father is not as old as he looks.|meu pai nao e tao camiseta branco
you are driving really fast.|voce e como tao rapido
breakfast will be ready in a few moments.|o cafe vai ficar em uma carta
can you look down?|voce pode melhorar la ?
she is currently a model.|ela e linda de vestido
my name is luis.|meu nome e cafe da manha
they want to know what happens.|eles querem saber como amanha
how are you?|como voce e o luis ?
most people in canada speak english or french.|arabe e pelo menos ingles ?
how much oil should i use?|quanto menos se eu usar ?
i will get a basket for the apples.|eu terei um incendio em odio
i wash my face every night.|eu moro todo meu computador toda
can i see the blue dress?|eu posso ver claro ?
they have put their pants on.|eles fez joias de alemao as cidades
never mind, it doesn't matter.|deixa pra la , nao errara !
our goal is to spend less.|nosso objetivo e vender na geladeira
he'll be leaving as soon as possible.|ele estara saindo muito tempo demais
he needs a job.|ele precisa de um trabalho
do you want any ice cream?|voce quer nenhum dirigir disso ?
my pencil doesn't have an eraser.|meu hotel nao tem uma namorada
i'm going down the street to buy ice cream.|eu vou me enviar a lata de vez
we really wanted to go to australia.|nos nao quis ir para minhas costas
i made a few mistakes on the test.|eu fiz algumas mudancas na comida
we had known our mother.|nos tinhamos conhecido a mae
he's still very attractive.|ele estao tao muito do almoco
i use a computer at work.|eu uso um computador no trabalho
i don't know his first name.|eu nao sei o primeiro dentro dele
he and his wife will be at the hotel tonight.|ele e o resultado estao na loja esta dele
would you like any chocolate ice cream?|voce gostaria de algo por isso ?
i'm not fine.|eu nao sou bom
we lived in germany last year.|nos dirigimos no escritorio na hora
he speaks many languages.|ele fala moram juntos
don't throw the ball in the house!|nao jogue o video a geladeira !
the girl asks for water.|a menina , sem ver agua
i showed them part of the museum.|eu uso o bebe da tarde
he stayed at the museum for three hours.|ele vai no museu por tres horas
we're taking the subway to the zoo.|nos vamos pegar o metro para a cama
is that monica's phone?|aquele saco dificil de telefone ?
do you need to go?|voce precisa ir ?
hit the ball with the racket.|vire a pergunta com todos a franca
john is too young to drink beer.|john e completamente tao cansada
the bus left at a quarter to nine.|a programacao do alho de bom em agosto
we were not invited.|nos nao moramos
don't sit in the sun.|nao o incomode no sol
the note is on the yellow paper.|o fotografo esta na oitava milhas
the restaurant opening was great.|o restaurante o outro e
i love warm weather!|eu amo chamar com ontem !
what's your weight in pounds?|qual e o seu peso em outubro ?
i think we are lost!|eu acho que nos somos !
i liked both kinds of chocolate.|eu gostei de prata e claro
i've had a cold for two days.|eu tomei uma fruta para a quebrou
i feel hungry.|eu me quando os chapeus
my main food|minha costas fala todo
i cleaned the kitchen three hours ago, and it's dirty again!|eu acertei ingles e cinco anos
have you seen my camera?|voce viu minha casa ?
i left japan on december ninth.|eu deixei emocionante !
they are both short.|eles sao duas horas
who wrote your favorite book?|quem escreveu seu seu livro ?
swim towards us!|claro nos gatos !
why did you become a dancer?|por que voce comprou uma pessoa ?
i forgot my username.|eu deveria minha bicicleta de usuario
the black horse wanted to run faster.|o site branco que eu corro
how to read slowly.|como eu coloquei falar chines
when will sarah get back?|quando vai se tornou ingles ?
who swam the fastest?|quem faz o mais rapido ?
which class is the most difficult?|qual aula e a mais cara ?
the refrigerator is next to the wall.|a estacao esta ao lado da rodoviaria
he never checks his email.|ele nunca conversamos seu e manha
the meeting was so boring!|o menino estava muito !
it's eight o'clock.|sao trezentos horas
do you remember?|voce a equipe ?
what kind of vegetables would you like?|que tipo de videogames voce ?
i speak english and portuguese.|eu faco ingles e portugues
it wasn't possible then.|nao esta demais , os gatos
they want to invite us to the party.|eles querem entender a ele da festa
the bathroom is really small.|o banheiro e realmente legal
brown is not my favorite color.|e nao e minha cor favorita
he lets me drink his wine.|ele vai beber o passaporte dela
they import wood from brazil.|eles vem de metro dela por nove
i didn't study enough.|eu nao estudo toda
the more questions you ask, the more you will learn.|a menina mais rapido , nao pode do rio
it is the first time the train has stopped there in four years.|e a estacao de trem em nosso fim de pessoas da cidade
i have to accept her offer.|eu tenho que voces saindo sozinho la
they'll watch the game with us.|eles anunciam o recibo quando ele
i will give you a pen.|eu darei uma crianca muito
my bed is so soft.|minha aula e tao legal
we did not want to tell you.|nos nao quer dividir voce
do you teach spanish or portuguese?|voce fala positivo ?
can i borrow some money from you?|eu posso pegar emprestado a placa ?
i'll lend you a pair of wool socks.|eu pude voce tem uma omelete de la
do you think that they are unhappy?|voce acha que eles estao infeliz ?
she works at a small school.|ela trabalha em uma mae dele
she was surprised to see a clown.|ela foi muitos sair
it's time to get dressed for school.|e frequente vender traga que na escola
my daughter lost one of her shoes in the train station.|minha filha decolou faz o lugar na hora da argentina
my sister can swim very well.|minha irma me nadar muito bem
whose are the shoes?|de realmente e a fazenda ?
i don't know if that's right.|eu nao sei que isso esta frase
some of the pieces are missing.|algumas das ovelhas sao feitas
did the nurse give you the medicine?|a enfermeira se voce na com ?
they can create a car.|eles podem criar um carro
i hope that's right.|eu espero que isso e sairam
please find out where he is.|por favor , ele se ele e
they live in a small city.|eles moram muito pequena
my art teacher was really good.|minha irma pequena era realmente bom
what i am saying is true.|qual eu sou seu e caro
what the newspaper says does not affect me.|o que comer se diz
he never drinks water.|ele nunca vai agua
paulo felt sick all day.|o elefante bebe todo dia
it is very cold this morning.|e muito frio este predio
do you enjoy listening to music?|voce quer comer tenis musica ?
the inside of the house is red.|a cidade do casa e magra
can i see that shirt?|eu posso ver isso ?
can i hold the baby?|eu posso olhar para o google ?
they're going to have lunch after the meeting.|eles vao ter nenhum dentro do hotel
there's no hospital in the village.|nao ha o centro na proxima sexta feira
at what time did he leave?|a que horas que ele para ?
the monkey paid a lot of money for the drums.|o macaco ja fez o rei dinheiro para o parque
they can prepare a good sandwich.|eles podem escrever um sanduiche de usuario
they have danced together twice before.|eles so fazem licoes novamente
do you know how to drive?|voce sabe como aqui ?
they will be selling food in the square as usual.|eles estarao perguntas na direita perto do hotel
a group of friends.|um grupo demais
i always buy coffee at that café.|eu sempre comprar cafe na chuva
i got married on june twenty first.|eu gostaria de historias postais
what's wrong here?|o que esta errado aqui ?
do you speak english every day?|voce fala seu dentes ?
he's going to work for a different company.|ele vai para o uma vez
he wants to meet her.|ele quer jogar basquete dela
we will come at night.|nos ainda estamos no sabado
i lost the guidebook, so i bought a new one.|eu perdi a rainha , por um jornal
have you ever had a million dollars?|voce ja teve um grande !
where is the meeting?|onde esta a placa ?
she said that i was crazy.|ela ganhou aquele medico foi em meia
he wants to ask us a big favor.|ele quer encontra escrever um tratamento
i'm sixteen years old.|eu estou dificil entre dois meses
what do you need?|o que voce precisa ?
how many countries are there?|quantos quilometros tem ?
i want to read other books, but i cannot.|eu quero te encontrar a tarde , mas eu nao pode
their furniture looks old.|as meninas parecem antigas
it is very important in chinese philosophy.|e muito dificil no jeans
did you finish the puzzle?|voce tentou a data a noite ?
we finished the task.|nos olhamos as cinco horas
you can take the form and fill it out later.|voce pode olhar a pasta e vire a reuniao e por favor
that's the price without tax.|isso e o preco este dolares
she would be happy with him.|ela estara indo com ele
take this medicine twice daily.|este remedio se seus relogios
i would not want that for my children.|eu nao quero que minha bolsa na cama
a famous museum.|um clube de meninas
they chat online every night.|eles vem de soletracao toda noite
the museum is close to the train station.|o corredor e perto da mesa
i've never used this software before.|eu nunca vou usar esse programa
i had tried everything.|eu acabei de trabalho
the subway goes towards the airport.|a estacao de casa para o oeste do rio
his aim is to buy that property.|o site dele e voaram para a cama
did she give you the receipt?|ela tem voce a bolsa ?
do you like having wine with dinner?|voce gosta de usar com raiva dele ?
no, my friends do not write from spain.|nao , minha carteira demais , a presunto no lugar em breve
i try to see my girlfriend.|eu faco ver minha namorada
i enjoy good conversation.|eu curto carne em janeiro
does anna like dancing?|ele gosta de dancar ?
how old are these stairs?|quantos anos tem aqueles homens ?
he wants to study portuguese this month.|ele quer estudar quando este trabalho
what is she wearing?|o que ela esta usando ?
what is the tallest building in new york?|qual e o predio mais alto do seu coracao ?
you should get a new toothbrush.|voce deveria fazer uma escova de volta
i'm not taking any science classes.|eu nao estou fazendo melhor na pagina doze de violao
her hair is very long.|o filme e muito jovem
i like the local food.|eu gosto da musica nas montanhas
this plant is growing fast.|este e a reduzir
i pay the rent on the first of the month.|eu odeio a agencia da viagem
do you want an apple?|voce quer uma camisa ?
which class is easier?|qual aula e mais mais velho ?
germany is definitely different from brazil.|a que esta bom completamente depois da manha
don't climb on those rocks.|nao suba no castelo na cama
the closet on the left is hers.|a atriz do trem esta da manha
the restrooms are at the end of the hall.|os banheiros sao os funcionarios da rodoviaria
go to their website and create an account.|va ate cantar deste sorvete
the plane took off on time.|o aviao ja fez os sapatos
the teacher talked to them after class.|o professor conversou sobre a cama da aula
do you want to go to the uk with me?|voce quer ir para o carro ?
this is the same jacket, but in a different color.|este e o cavalo , mas e em uma mesa
i will change the end of the book.|eu vou mudar a biblioteca e o livro
our teacher didn't prepare us for the test.|nosso professor nao tinha ido ao quarto
who sat next to the monkey on the plane?|quem sentou ao medico se na tarde ?
let's go sightseeing downtown on saturday.|vamos dar uma foto na praia amanha
the new movie is funnier.|a licao de papel mais engracado
my english homework.|minha aula de tres
it's a little noisy.|e uma boa velha
what's the matter with your finger?|qual e o problema com suas costas ?
the site is special.|o site e tao chato
do you want your mother to lose her job?|voce quer sua mae a minha mae ?
i can't find the entrance!|eu nao consigo encontrar a resposta !
next, take a left at the corner.|no que ele tem no canto
there's a coffee shop across from the library.|ha um cafe dos correios da frente
he uses a computer every day.|ele usa um computador todo dia
we had a wonderful time.|nos nos temos muito caras
i could ask for everything that i wanted.|eu poderia fazer com tudo que eu nao vi
unfortunately, she has a terrible headache.|infelizmente , ela tem um guarda dia todo
we wash dishes at a restaurant.|ambos ambos os medicos para um restaurante
do you have thirty dollars?|voce tem papel dolares ?
their house is old.|a casa deles e quinze
we enjoyed working together.|nos esperamos que meus amigos
the information is on their website.|a informacao esta no seu marido
walk to the middle of the block.|ande ate a agua do show
the cabinet on the right is empty.|a nova bebeu a esquina e perigosa
the singer hasn't recorded an album since the accident.|o cozinheiro queria fazer uma coruja todo
did you lose your cellphone?|voce escovou seu celular ?
i have never won a competition.|eu nunca estive em um video
why do we have to learn so much vocabulary?|por que nos temos que a rodovia ?
what level of english are you studying?|o que tal e como ?
where's the exit?|onde e a pessoa ?
could you get the documents from the printer?|voce poderia ligar a resposta da cama ?
where's the closest hotel?|onde e o garotinho ?
will these curtains look good in the living room?|estas cortinas brancas em casa da sala ?
fred cannot play the guitar.|a que voce saber o jeans
is your father here?|seu quarto esta aqui ?
the boy had come from school.|o menino tinha voar na escola
i stayed with my grandparents until the end of the semester.|eu amo com meus amigos ao longo do semestre
i am good, thank you.|eu estou bom , obrigado
how are you doing, mr. turner?|como voce esta indo , sr ?
everybody needs water.|agora saber mais
this homework is very easy.|este dever de casa e muito alto
you will like the tomatoes from the garden.|voce nao estou no assunto do jantar ?
at what age do children start paying?|a que os passaros estao na parede ?
i hope your wish will come true.|eu espero seu filho muito tempo
i've done this lesson already.|eu ja colocou este filme teve uma janela
that bear eats quite a lot of sweets.|aquele chapeu ganhou muito tempo
when you decide, let me know.|quando voce , eu nao corro
they had decided to stay.|eles anunciam muitos contratos para
she cut her finger while she was making dinner.|ela cortou a eles estao fazendo
what kind of juice would you like?|que tipo de que voce ?
