English|Portugese
you can use this soap.|voce e capaz de pagar aqui
she doesn't look like her mom.|ela nao esta a sua irma
how is your family?|como e que esta passando a vossa esposa ?
she doesn't want to go to the concert.|ela nao esta desejando sala
is anyone using the washing machine?|o sarah e pessoa que ?
classes are taught in english.|davis viajara em ingles
i will look at the floor.|eu vou andar a ele
the kids can go for a swim.|os rapazes irao estar a partir em uma hora
we'll be playing against you guys next week.|a gente ira estar a fazer o dia de alemao quarta feira
her height, which is five feet, six inches.|o , o seu e o meu gabinete e noventa e noventa e cinco
we need to reach that train.|nos necessitamos de pagar
they only danced with each other.|eles possuem um bebe em cima da semana
i need to learn.|eu preciso de fazer o pagamento
the kids will practice the play after school.|os meus amigos estao a ir no minimo a de danca a precipitacao
click here to download.|clique , lugar para imprimir
maybe the directions were wrong.|possivelmente nos ja fez um bom bailarino
the people talk to the king.|os alunos estao a estacao de fora
julia has already shown me around.|o carro de casa , no seu pai
he will sleep in the same room as her.|ele vai ter o seu curso de sua mae
his brother is in prison.|o de de de de de de de de de de de de de de de de de de de
there are no bathrooms on the third floor.|nao ha classes no o piso
the girl is too young for that.|a rapariga esta muito grande
they cannot start without us.|eles nao se esqueceriam
they announce your book.|eles estao a se parecendo com seus filhos
should i add some pepper?|eu deveria deixar a empregada de lixo ?
i never used to see you when i was a girl.|eu nao estou a fazer um companheiro por um bocado de computador
the pink car is not ours.|as de de nosso de nosso de nosso de nosso de nosso de nosso de nosso de nosso de nosso
i want to buy clothes.|eu estou a querer comprar
did you leave the boxes on the shelf?|voce esqueceu a reuniao ?
we were standing in the middle of the platform.|nos deveriamos falar sobre a tempestade de volta
there will be an art show downstairs.|ha um quarto por um livro para um livro
take food and water.|estas homens tem responsabilidade
what's your favorite band?|qual e a sua disciplina preferida ?
are there any hospitals in this town?|ha alguma pratica na igreja essa semana ?
she wanted her sister's toy.|ela tinha a sua pulseira anteontem
my father is not as old as he looks.|o meu pai nao e capaz de fazer o seu pai
you are driving really fast.|voce esta bem jovem
breakfast will be ready in a few moments.|o que comprar um cantor de negocios em um cafe ?
can you look down?|consegues tu capaz de escutar a ti ?
she is currently a model.|ela e um membro dessa empresa
my name is luis.|o meu dia de estudar
they want to know what happens.|eles falam um com a tomar um com eles estao vermelhos
how are you?|de que jeito e que ?
most people in canada speak english or french.|a gente tem passeio do brasil
how much oil should i use?|quanto de arroz devemos cozinhar ?
i will get a basket for the apples.|vou deixar a biblioteca em meu proprio gosto
i wash my face every night.|estou lavando a minha mochila
can i see the blue dress?|eu posso observar o cardapio , srta smith ?
they have put their pants on.|elas estiveram famosas que e laranjas
never mind, it doesn't matter.|nao se , achei o meu skate
our goal is to spend less.|a precisar de estar a jogar bola
he'll be leaving as soon as possible.|ele vai ter um pouco de pouco mais um pouco tempo
he needs a job.|ele esta a ter um cachorro
do you want any ice cream?|voce deseja comer boa ?
my pencil doesn't have an eraser.|o meu filha nao esta a ir embora
i'm going down the street to buy ice cream.|eu vou ate o lado da loja
we really wanted to go to australia.|nos estamos a gente ira visitar a danca
i made a few mistakes on the test.|fiz um monte de modificacoes no itinerario
we had known our mother.|nos haviamos conhecido a irma delas
he's still very attractive.|ele esta a jogar com esta a respeito dele bastante
i use a computer at work.|eu utilizo um banho um dicionario
i don't know his first name.|eu nao conheco a preocupar
he and his wife will be at the hotel tonight.|ele e a cada semana , no mes passado
would you like any chocolate ice cream?|tu gostarias de um algumas torradas ?
i'm not fine.|nao sou leitura
we lived in germany last year.|nos trabalhavamos na comida no ano
he speaks many languages.|ele levantou a falta
don't throw the ball in the house!|nao cortem os frutos para a sua propria conta
the girl asks for water.|a rapariga esta a luz
i showed them part of the museum.|eu respondia a danca
he stayed at the museum for three hours.|ele fez a aula de ele
we're taking the subway to the zoo.|nos estamos a ler o dia dois
is that monica's phone?|esta e a camera de verdade ?
do you need to go?|voces estao precisando de assento ?
hit the ball with the racket.|batam com a bola com a bola
john is too young to drink beer.|o hotel de tomar arroz
the bus left at a quarter to nine.|o joguei teve de casa de casa
we were not invited.|nos nao o tempo a
don't sit in the sun.|nao te preocupes no teste
the note is on the yellow paper.|o caminho e a tocar no minimo
the restaurant opening was great.|a praca esta otimo
i love warm weather!|eu sinto muito !
what's your weight in pounds?|qual e a sua duvida ?
i think we are lost!|eu acho que as minhas amigas de precos !
i liked both kinds of chocolate.|eu assisti a prova de skate muito ha minutos
i've had a cold for two days.|eu havia um tempo um ano
i feel hungry.|eu sinto lhe ligado
my main food|o meu numero de
i cleaned the kitchen three hours ago, and it's dirty again!|eu vi a prova de champo na internet
have you seen my camera?|voces viram a minha embora do meu pe esquerdo ?
i left japan on december ninth.|eu fiz um copo de champanhe na noite passada
they are both short.|eles estao a estudar
who wrote your favorite book?|quem e o seu cantor de quem e o seu cantor de quem e o seu cantor de quem e
swim towards us!|conversam um passeio ?
why did you become a dancer?|porque e que voce comprou uma nova ?
i forgot my username.|eu creio que os meus e a minha infancia
the black horse wanted to run faster.|o peixe tem de estar a ir as respostas delas
how to read slowly.|quanto arroz no preco com isto ?
when will sarah get back?|quando e que lugar de que lugar de que lugar ?
who swam the fastest?|quem esta recado ?
which class is the most difficult?|qual e a mais fascinante parte no quarto ?
the refrigerator is next to the wall.|o time de comida do lado da chuvarada
he never checks his email.|ele nao gosta de seu irmao
the meeting was so boring!|o , teve estava maravilhoso !
it's eight o'clock.|sao mais
do you remember?|voces estao a compreender me ?
what kind of vegetables would you like?|qual tipo de que tipo de que tipo de que tipo de que tipo de que tipo de que tipo
i speak english and portuguese.|eu prefiro o meu casaco de ingles
it wasn't possible then.|nao , nao e muito rapido
they want to invite us to the party.|elas querem escrever a gente
the bathroom is really small.|o banheiro esta entre quartos de dormir
brown is not my favorite color.|o nosso ainda nao e o meu telefone
he lets me drink his wine.|ele parece me curtos
they import wood from brazil.|elas vao estar a vir de ouro de esportes
i didn't study enough.|nao solicitei dicas
the more questions you ask, the more you will learn.|a facil de custo mais caro que sao melhor motorista em que vem
it is the first time the train has stopped there in four years.|e a area de trem no municipio inteiro
i have to accept her offer.|eu tenho de fazer a ele tenho que vem
they'll watch the game with us.|elas estao a se inscrever para a comida em cima da faculdade
i will give you a pen.|eu vou mostrar pra ti
my bed is so soft.|os meus avos fizeram tres criancas cidadezinha
we did not want to tell you.|nao nos nao nos nao nos nao nos nao nos nao nos nao nos nao concluimos a parada de beisebol
do you teach spanish or portuguese?|tu sabes tu gostas mais recente ?
can i borrow some money from you?|voces podem me mais cafe ?
i'll lend you a pair of wool socks.|eu vou querer ser uma vez mais tarde
do you think that they are unhappy?|voce acha que eu pensas que eles estao a sua mae ?
she works at a small school.|ela esta a trabalhar na funcao de uma empregada de aulas
she was surprised to see a clown.|ela foi surpresa em ver um filme
it's time to get dressed for school.|e o tempo e de ficar no momento
my daughter lost one of her shoes in the train station.|a minha filha esta a partir de prender a serie
my sister can swim very well.|a minha irma e capaz de trazer muito desse dia
whose are the shoes?|a tartaruga e ?
i don't know if that's right.|eu nao sei como fazer uso aquele programa
some of the pieces are missing.|alguns dos selos sao do preco
did the nurse give you the medicine?|a moca a mala ?
they can create a car.|elas podem vir para a gente
i hope that's right.|eu estou a um jardim
please find out where he is.|por obsequio , te , faz favor
they live in a small city.|eles estao a residir em uma embarcacao
my art teacher was really good.|meu companheiro esta tao bom
what i am saying is true.|o meu cachorro ?
what the newspaper says does not affect me.|o que e que esta o cafe de cafe ?
he never drinks water.|ele nunca gosta de ensino
paulo felt sick all day.|voce usa ingles cada noite ?
it is very cold this morning.|e muito quente nesse final de semana
do you enjoy listening to music?|voce esta a gostar de comida japonesa ?
the inside of the house is red.|o soldado olhava em direcao ao acervo de madeira
can i see that shirt?|eu posso ver a camisa ?
can i hold the baby?|posso pegar a mim a mim ?
they're going to have lunch after the meeting.|elas vao fazer pescaria no mar
there's no hospital in the village.|tem uma feira livre no colegio
at what time did he leave?|gostaria de falar em breve
the monkey paid a lot of money for the drums.|a macaca trocou de lugares com o camundongo
they can prepare a good sandwich.|eles estao a olhar uma cadela
they have danced together twice before.|elas tem meloes frescos e laranjas
do you know how to drive?|tu sabes em que lugar ?
they will be selling food in the square as usual.|elas tocarao com soul e jazz
a group of friends.|um copo de banho tem uns de ingles
i always buy coffee at that café.|eu estou a curtir carne de levar bastante
i got married on june twenty first.|eu tentei de olhar
what's wrong here?|o que ha de errado ?
do you speak english every day?|tu falas o dia de ingles ?
he's going to work for a different company.|ele esta a ir a estudar em janeiro
he wants to meet her.|ele esta com vontade de voltar ao lado
we will come at night.|a gente vai fazer a ele vier
i lost the guidebook, so i bought a new one.|eu creio que nos estavamos a respeito de maneira
have you ever had a million dollars?|voce alguma vez alguma vez ?
where is the meeting?|em qual lugar e o correio ?
she said that i was crazy.|ela pensou que nem o meu nome e nem um nome e nem um nome e nem um nome e
he wants to ask us a big favor.|ele quer trabalhar em casa
i'm sixteen years old.|eu estou a minha carteira de autocarro
what do you need?|o que e que voces estao a beber ?
how many countries are there?|quantos quartos nessa rua ?
i want to read other books, but i cannot.|eu quero fazer um fogo na janela quando eu nao esta funcionando
their furniture looks old.|o veiculo de banho
it is very important in chinese philosophy.|e muito dificil
did you finish the puzzle?|voce o construiu por conta propria ?
we finished the task.|nos sabemos o relatorio minutos
you can take the form and fill it out later.|voce e capaz de melhorar as notas , nao e ?
that's the price without tax.|e dolares e centavos
she would be happy with him.|ela foi roubado
take this medicine twice daily.|por favor , a porta
i would not want that for my children.|nao iria faltar a gente
a famous museum.|uma horta e pequena
they chat online every night.|eles jogaram hockey cada dia
the museum is close to the train station.|o museu e a ir para o pais
i've never used this software before.|eu nunca usei aquele genero de impressora
i had tried everything.|eu ouvi lo
the subway goes towards the airport.|a estacao do outro zoologico
his aim is to buy that property.|o seu objetivo e ser famosa
did she give you the receipt?|ela viu o recibo ?
do you like having wine with dinner?|estas a comer o habito de comer o almoco ?
no, my friends do not write from spain.|nao , eles nao escrevem de seu escritorio
i try to see my girlfriend.|eu vou tirar o cabelo na sua propria
i enjoy good conversation.|eu estou a querer todos os tipos
does anna like dancing?|o max esta a gostar ?
how old are these stairs?|quantos anos tem quantos km ?
he wants to study portuguese this month.|ele esta a comer em seu trabalho
what is she wearing?|o que esta ela a se ?
what is the tallest building in new york?|qual e o edificio mais alto no mundo ?
you should get a new toothbrush.|tu deverias fazer um livro de usar um nome e agua
i'm not taking any science classes.|eu nao estou a desejar trabalho
her hair is very long.|o seu bone de estar bastante
i like the local food.|eu gosto do quadro local de funcionarias
i pay the rent on the first of the month.|eu estou a iniciar o melhor fotografia da producao
do you want an apple?|voce esta a desejar uma tv ?
which class is easier?|qual aula e mais cafe ?
germany is definitely different from brazil.|o aniversario do shopping
don't climb on those rocks.|nao vas telefonando para ela
the closet on the left is hers.|o meu web e o miudo e cima do monte
the restrooms are at the end of the hall.|os quartos de banho sao no menos clientes no segundo trem
go to their website and create an account.|prossiga para o fim da rua
the plane took off on time.|o navio se encontra se
the teacher talked to them after class.|o professor esta a aluna pra estudante
do you want to go to the uk with me?|voce quer ir para a mesa ?
this is the same jacket, but in a different color.|essa e uma variedade de filosofia
i will change the end of the book.|eu vou ter acesso a conferencia
our teacher didn't prepare us for the test.|o nosso professor nao esta a querer a gente a gente a gente
who sat next to the monkey on the plane?|quem e a maquina de banho ?
let's go sightseeing downtown on saturday.|vamos pegar uma caminhada no segundo dia
the new movie is funnier.|o hospital esta mais ou menos baixo
my english homework.|os saia esta
it's a little noisy.|e uma via uma
what's the matter with your finger?|o que e o problema com o vosso dorso ?
the site is special.|o retrato e aberta
do you want your mother to lose her job?|voce quer uma sala ?
i can't find the entrance!|eu nao consigo me rua , mas nao sou capaz !
next, take a left at the corner.|ta otimo , eu um banho
there's a coffee shop across from the library.|ha uma arvore tem uma coruja
he uses a computer every day.|ele esta a usar um dicionario em casa
we had a wonderful time.|nos tinhamos um momento espetacular
i could ask for everything that i wanted.|eu estou a acreditar que ele esta chovendo
unfortunately, she has a terrible headache.|desafortunadamente , eles nao estao a casa
we wash dishes at a restaurant.|nos estamos a estudar um almoco em quando
do you have thirty dollars?|voce tem dolares ?
their house is old.|a nossa casa esta maior
we enjoyed working together.|nos deixavamos o espetaculo para o museu
the information is on their website.|o meu trem esta a sair de intervalo
walk to the middle of the block.|vao andando a caminhar ate a esquina e dobre a esquerda
the cabinet on the right is empty.|o cavalo preguicoso para o aeroporto
the singer hasn't recorded an album since the accident.|o muro foi o riacho de modo lento
did you lose your cellphone?|voce esqueceu a sua capa de chuva ?
i have never won a competition.|eu nao sou uma gata ja
why do we have to learn so much vocabulary?|porque e que nos devemos trajar uniforme ?
what level of english are you studying?|que voces podem levar o seu quarto ?
where's the exit?|aonde e a chacara ?
could you get the documents from the printer?|voces poderiam ligar a iluminacao ?
where's the closest hotel?|em que lugar e que esta o mais proximo o mais perto ?
will these curtains look good in the living room?|a iluminacao sao bons com este vestido ?
fred cannot play the guitar.|o seu filha ganhou o violao
is your father here?|o seu cabelo esta darei ?
the boy had come from school.|o garoto tinha de banho
i stayed with my grandparents until the end of the semester.|eu estou a prova do teste
i am good, thank you.|eu estou muito bom
how are you doing, mr. turner?|como e que maneira estas a sua esposa ?
everybody needs water.|esta precisando de flores
this homework is very easy.|essa licao e complicada
you will like the tomatoes from the garden.|tu vais adorar as suas maos com o pedido
at what age do children start paying?|quem sabe eu prove um livro de janeiro
i hope your wish will come true.|eu estou indo tomar um livro para o seu proprio
i've done this lesson already.|eu ja assisti a saber um video legal
that bear eats quite a lot of sweets.|aquela manteve algumas ovelhas estao muito atraente
when you decide, let me know.|quando voce poderia , iria fazer uma omelete ?
they had decided to stay.|eles tinham sentido dor
she cut her finger while she was making dinner.|ela soubesse a outra amiga
what kind of juice would you like?|qual sorte de que especie de errado ?
